epoch,step,train/L_coord_epoch,train/L_coord_step,train/L_depth_anchor_epoch,train/L_depth_anchor_step,train/L_geo_pred_pred_art_epoch,train/L_geo_pred_pred_art_step,train/L_kld_epoch,train/L_kld_step,train/L_mask_epoch,train/L_mask_step,train/L_motion_recon_epoch,train/L_motion_recon_step,train/L_motion_type_epoch,train/L_motion_type_step,train/L_origin_epoch,train/L_origin_map_epoch,train/L_origin_map_step,train/L_origin_step,train/L_p_rev_balance_epoch,train/L_p_rev_balance_step,train/L_point_3d_epoch,train/L_point_3d_step,train/L_point_map_epoch,train/L_point_map_step,train/L_traj_proj_epoch,train/L_traj_proj_step,train/L_trajectory_epoch,train/L_trajectory_m2,train/L_trajectory_step,train/L_vae_total_epoch,train/L_vae_total_step,train/loss_total_epoch,train/loss_total_step,train/p_rev_mean,val/L_coord,val/L_depth_anchor,val/L_geo_pred_pred_art,val/L_kld,val/L_mask,val/L_motion_recon,val/L_motion_type,val/L_origin,val/L_origin_map,val/L_p_rev_balance,val/L_point_3d,val/L_point_map,val/L_traj_proj,val/L_trajectory,val/L_trajectory_m2,val/L_vae_total,val/loss_total
0,9,,0.3191837966442108,,0.1081586703658104,,0.34889161586761475,,0.0,,1.1348273754119873,,1.0,,0.570248007774353,,,0.0,0.0,,0.039691660553216934,,198.978515625,,4.672085762023926,,25.238353729248047,,,1.0812301635742188,,1.0,,15.79103946685791,,,,,,,,,,,,,,,,,,
0,19,,0.13576878607273102,,0.08890452980995178,,0.26678305864334106,,0.0,,1.1604177951812744,,1.0,,0.424452006816864,,,0.0,0.0,,0.008827140554785728,,190.20712280273438,,3.801046848297119,,10.509780883789062,,,1.0876885652542114,,1.0,,7.879051685333252,,,,,,,,,,,,,,,,,,
0,29,,0.0870419591665268,,0.028428493067622185,,0.201919287443161,,0.0,,1.2377067804336548,,1.0,,0.36720550060272217,,,0.0,0.0,,0.0020011707674711943,,203.27452087402344,,3.4753623008728027,,2.088758945465088,,,1.0171822309494019,,1.0,,3.479841709136963,,,,,,,,,,,,,,,,,,
0,39,,0.08113586902618408,,0.06856756657361984,,0.16699664294719696,,0.0,,0.8215671181678772,,1.0,,0.34332817792892456,,,0.0,0.0,,0.0005079711554571986,,196.713134765625,,2.680140256881714,,8.842925071716309,,,1.1277530193328857,,1.0,,6.2641215324401855,,,,,,,,,,,,,,,,,,
0,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2571779191493988,0.0866800919175148,0.18090689182281494,0.0,1.2633295059204102,1.0,0.3463118374347687,0.0,0.0,0.0006559359026141465,197.36146545410156,2.1224164962768555,6.065783500671387,1.1180648803710938,1.9704591035842896,1.0,4.916112899780273
0,39,0.17516347765922546,,0.12972600758075714,,0.274919331073761,,0.0,,2.453437328338623,,1.0,,0.4690326154232025,,0.0,0.0,,,0.02122936211526394,,201.05630493164062,,6.513710021972656,,13.241003036499023,,1.0958813428878784,2.0065135955810547,,1.0,,11.294629096984863,,0.3466774821281433,,,,,,,,,,,,,,,,,
1,49,,0.07780274748802185,,0.07300696521997452,,0.13933151960372925,,0.0,,0.7566159963607788,,1.0,,0.32452839612960815,,,0.0,0.0,,2.023633714998141e-05,,200.38706970214844,,2.5861425399780273,,5.700252532958984,,,1.0778383016586304,,1.0,,4.61085319519043,,,,,,,,,,,,,,,,,,
1,59,,0.07884152233600616,,0.03819818049669266,,0.1261480748653412,,0.0,,0.7062786221504211,,1.0,,0.3266472816467285,,,0.0,0.0,,3.657480556285009e-05,,204.1931610107422,,2.467047691345215,,1.841843605041504,,,1.1563410758972168,,1.0,,2.578737735748291,,,,,,,,,,,,,,,,,,
1,69,,0.048350125551223755,,0.03448003903031349,,0.09955068677663803,,0.0,,0.6565786004066467,,1.0,,0.32666388154029846,,,0.0,0.0,,4.3475953134475276e-05,,209.4867401123047,,1.9805115461349487,,1.5501102209091187,,,1.1117675304412842,,1.0,,2.1449921131134033,,,,,,,,,,,,,,,,,,
1,79,,0.053393032401800156,,0.023601943626999855,,0.09184317290782928,,0.0,,0.6403353214263916,,1.0,,0.33587008714675903,,,0.0,0.0,,0.0002248949749628082,,201.10919189453125,,1.8791590929031372,,0.9478251934051514,,,1.0781676769256592,,1.0,,1.7814542055130005,,,,,,,,,,,,,,,,,,
1,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04540563002228737,0.03694041445851326,0.09272010624408722,0.0,0.575613796710968,1.0,0.3386829197406769,0.0,0.0,0.0003705653070937842,197.00631713867188,1.324173927307129,1.3311456441879272,1.1953624486923218,1.985453724861145,1.0,1.6660969257354736
1,79,0.0662236288189888,,0.05058496445417404,,0.11762885004281998,,0.0,,0.7375019788742065,,1.0,,0.3282086253166199,,0.0,0.0,,,0.00011081420962000266,,201.41845703125,,2.2648274898529053,,2.522036552429199,,1.127285361289978,2.021792411804199,,1.0,,2.8324058055877686,,0.23260533809661865,,,,,,,,,,,,,,,,,
2,89,,0.05453226715326309,,0.06379853188991547,,0.09084475040435791,,0.0,,0.6204404830932617,,1.0,,0.33919018507003784,,,0.0,0.0,,0.0003186489921063185,,204.75186157226562,,1.7148343324661255,,2.117943286895752,,,1.2291179895401,,1.0,,2.295017957687378,,,,,,,,,,,,,,,,,,
2,99,,0.06712524592876434,,0.0505363754928112,,0.06840057671070099,,0.0,,0.5576512813568115,,1.0,,0.31849241256713867,,,0.0,0.0,,2.681466639842256e-06,,196.7723388671875,,1.7027686834335327,,2.365330934524536,,,1.1514806747436523,,1.0,,2.3785476684570312,,,,,,,,,,,,,,,,,,
2,109,,0.05265847593545914,,0.034230589866638184,,0.08062373846769333,,0.0,,0.5438873767852783,,1.0,,0.33025139570236206,,,0.0,0.0,,7.383773481706157e-05,,199.08773803710938,,1.8887608051300049,,2.178114652633667,,,1.117283821105957,,1.0,,2.3569254875183105,,,,,,,,,,,,,,,,,,
