epoch,step,train/L_coord_epoch,train/L_coord_step,train/L_depth_anchor_epoch,train/L_depth_anchor_step,train/L_geo_pred_pred_art_epoch,train/L_geo_pred_pred_art_step,train/L_kld_epoch,train/L_kld_step,train/L_mask_epoch,train/L_mask_step,train/L_motion_recon_epoch,train/L_motion_recon_step,train/L_motion_type_epoch,train/L_motion_type_step,train/L_origin_epoch,train/L_origin_map_epoch,train/L_origin_map_step,train/L_origin_step,train/L_p_rev_balance_epoch,train/L_p_rev_balance_step,train/L_point_3d_epoch,train/L_point_3d_step,train/L_point_map_epoch,train/L_point_map_step,train/L_traj_proj_epoch,train/L_traj_proj_step,train/L_trajectory_epoch,train/L_trajectory_m2,train/L_trajectory_step,train/L_vae_total_epoch,train/L_vae_total_step,train/loss_total_epoch,train/loss_total_step,train/p_rev_mean,val/L_coord,val/L_depth_anchor,val/L_geo_pred_pred_art,val/L_kld,val/L_mask,val/L_motion_recon,val/L_motion_type,val/L_origin,val/L_origin_map,val/L_p_rev_balance,val/L_point_3d,val/L_point_map,val/L_traj_proj,val/L_trajectory,val/L_trajectory_m2,val/L_vae_total,val/loss_total
0,9,,0.11050505191087723,,0.15367145836353302,,0.010233206674456596,,0.0,,0.5514127016067505,,1.0,,0.31039270758628845,,,0.0,0.0,,0.0011715323198586702,,199.3670654296875,,0.35190579295158386,,1.1997095346450806,,,9.128725051879883,,1.0,,1.185211420059204,,,,,,,,,,,,,,,,,,
0,19,,0.0592346228659153,,0.04494865983724594,,0.0063333818688988686,,0.0,,0.45290473103523254,,1.0,,0.3895481824874878,,,0.0,0.0,,0.0011517649982124567,,198.35360717773438,,0.246119886636734,,1.4323830604553223,,,10.519987106323242,,1.0,,1.1190046072006226,,,,,,,,,,,,,,,,,,
0,29,,0.0736360251903534,,0.05370144918560982,,0.006276101805269718,,0.0,,0.43612509965896606,,1.0,,0.33563339710235596,,,0.0,0.0,,0.0003099630121141672,,207.19041442871094,,0.24207821488380432,,0.6666768789291382,,,6.295811176300049,,1.0,,0.7368913888931274,,,,,,,,,,,,,,,,,,
0,39,,0.050592489540576935,,0.011581212282180786,,0.006282278336584568,,0.0,,0.34920960664749146,,1.0,,0.3254743218421936,,,0.0,0.0,,5.0297931011300534e-05,,199.22821044921875,,0.22391927242279053,,1.4148839712142944,,,11.982019424438477,,1.0,,1.0257465839385986,,,,,,,,,,,,,,,,,,
0,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0550713986158371,0.018812527880072594,0.004996952135115862,0.0,0.3581244945526123,1.0,0.3213123679161072,0.0,0.0,0.0004336986457929015,199.8728485107422,0.21769694983959198,1.717390775680542,16.194019317626953,4.837222576141357,1.0,1.1842645406723022
0,39,0.08503293246030807,,0.16304777562618256,,0.00870339386165142,,0.0,,0.4829464554786682,,1.0,,0.33446311950683594,,0.0,0.0,,,0.00164858961943537,,203.15016174316406,,0.3188077211380005,,1.9011526107788086,,10.675040245056152,4.569338321685791,,1.0,,1.4771884679794312,,0.21042117476463318,,,,,,,,,,,,,,,,,
1,49,,0.0738806426525116,,0.019110947847366333,,0.004921889863908291,,0.0,,0.345138818025589,,1.0,,0.3543374538421631,,,0.0,0.0,,0.00012141127808718011,,203.3349609375,,0.22367320954799652,,1.3270597457885742,,,11.18967342376709,,1.0,,0.99498450756073,,,,,,,,,,,,,,,,,,
1,59,,0.051302216947078705,,0.015569059178233147,,0.005909194238483906,,0.0,,0.3097049295902252,,1.0,,0.3287370204925537,,,0.0,0.0,,0.00018450853531248868,,206.52191162109375,,0.2033955454826355,,0.3891211152076721,,,11.485143661499023,,1.0,,0.48522961139678955,,,,,,,,,,,,,,,,,,
1,69,,0.043589361011981964,,0.02227604016661644,,0.004590306896716356,,0.0,,0.2694632411003113,,1.0,,0.34043464064598083,,,0.0,0.0,,3.849643235298572e-06,,212.1182098388672,,0.19992390275001526,,0.7413719296455383,,,11.031445503234863,,1.0,,0.6387732028961182,,,,,,,,,,,,,,,,,,
1,79,,0.04751187935471535,,0.026141084730625153,,0.004531384911388159,,0.0,,0.3001800775527954,,1.0,,0.33995625376701355,,,0.0,0.0,,4.390716696889285e-07,,202.30931091308594,,0.19664345681667328,,0.561373770236969,,,8.382939338684082,,1.0,,0.5663785338401794,,,,,,,,,,,,,,,,,,
1,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.046248652040958405,0.012603864073753357,0.004458969924598932,0.0,0.26460129022598267,1.0,0.3087606728076935,0.0,0.0,0.0008958223625086248,199.36582946777344,0.19482913613319397,1.0514922142028809,17.162248611450195,5.021838188171387,1.0,0.7857813239097595
1,79,0.055852752178907394,,0.017246834933757782,,0.005351389292627573,,0.0,,0.32340100407600403,,1.0,,0.3434202969074249,,0.0,0.0,,,0.00018112636462319642,,203.78204345703125,,0.20904679596424103,,0.7239177823066711,,12.043127059936523,4.9741997718811035,,1.0,,0.6653581857681274,,0.2255609929561615,,,,,,,,,,,,,,,,,
2,89,,0.041215430945158005,,0.02297532558441162,,0.00469127157703042,,0.0,,0.2801660895347595,,1.0,,0.3528761863708496,,,0.0,0.0,,0.0002384313993388787,,206.69091796875,,0.19354858994483948,,0.48164302110671997,,,15.782878875732422,,1.0,,0.5103625655174255,,,,,,,,,,,,,,,,,,
2,99,,0.04370986670255661,,0.0041726515628397465,,0.00497667770832777,,0.0,,0.24177344143390656,,1.0,,0.3525853753089905,,,0.0,0.0,,9.210933785652742e-05,,199.2388153076172,,0.1942032277584076,,0.45468080043792725,,,10.836455345153809,,1.0,,0.4698137044906616,,,,,,,,,,,,,,,,,,
2,109,,0.04145689681172371,,0.012821163050830364,,0.0048517147079110146,,0.0,,0.2753443717956543,,1.0,,0.338823527097702,,,0.0,0.0,,3.943533101846697e-06,,201.0570068359375,,0.1939462125301361,,0.5926852822303772,,,9.570212364196777,,1.0,,0.5586141347885132,,,,,,,,,,,,,,,,,,
2,119,,0.03598403185606003,,0.03204241022467613,,0.005016270559281111,,0.0,,0.2219523936510086,,1.0,,0.32588762044906616,,,0.0,0.0,,1.2954002158949152e-05,,208.1390838623047,,0.19158606231212616,,0.37837129831314087,,,14.341464042663574,,1.0,,0.43047618865966797,,,,,,,,,,,,,,,,,,
2,119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.036136444658041,0.02779972553253174,0.004438372794538736,0.0,0.22971026599407196,1.0,0.31352904438972473,0.0,0.0,0.0005787548725493252,199.4458770751953,0.1858595609664917,0.7960343360900879,17.24652671813965,5.043572425842285,1.0,0.6385034322738647
2,119,0.04119738191366196,,0.01602741703391075,,0.004874660633504391,,0.0,,0.26518017053604126,,1.0,,0.3391987681388855,,0.0,0.0,,,0.00012482257443480194,,203.7881622314453,,0.1944642812013626,,0.49022942781448364,,12.31136703491211,5.068382740020752,,1.0,,0.5040991902351379,,0.22636373341083527,,,,,,,,,,,,,,,,,
3,129,,0.0315701887011528,,0.0049278708174824715,,0.004123057704418898,,0.0,,0.1984979510307312,,1.0,,0.3119664788246155,,,0.0,0.0,,0.00033436762169003487,,202.2017059326172,,0.18864259123802185,,0.44375401735305786,,,15.600223541259766,,1.0,,0.4342758059501648,,,,,,,,,,,,,,,,,,
3,139,,0.031578607857227325,,0.03941121697425842,,0.00453175138682127,,0.0,,0.20159366726875305,,1.0,,0.33068642020225525,,,0.0,0.0,,1.798681182663131e-06,,209.63238525390625,,0.18505381047725677,,0.3264223039150238,,,10.135336875915527,,1.0,,0.39248383045196533,,,,,,,,,,,,,,,,,,
