epoch,step,train/L_coord_epoch,train/L_coord_step,train/L_depth_anchor_epoch,train/L_depth_anchor_step,train/L_geo_pred_pred_art_epoch,train/L_geo_pred_pred_art_step,train/L_kld_epoch,train/L_kld_step,train/L_mask_epoch,train/L_mask_step,train/L_motion_recon_epoch,train/L_motion_recon_step,train/L_motion_type_epoch,train/L_motion_type_step,train/L_origin_epoch,train/L_origin_map_epoch,train/L_origin_map_step,train/L_origin_step,train/L_p_rev_balance_epoch,train/L_p_rev_balance_step,train/L_point_3d_epoch,train/L_point_3d_step,train/L_point_map_epoch,train/L_point_map_step,train/L_traj_proj_epoch,train/L_traj_proj_step,train/L_trajectory_epoch,train/L_trajectory_m2,train/L_trajectory_step,train/L_vae_total_epoch,train/L_vae_total_step,train/loss_total_epoch,train/loss_total_step,train/p_rev_mean,val/L_coord,val/L_depth_anchor,val/L_geo_pred_pred_art,val/L_kld,val/L_mask,val/L_motion_recon,val/L_motion_type,val/L_origin,val/L_origin_map,val/L_p_rev_balance,val/L_point_3d,val/L_point_map,val/L_traj_proj,val/L_trajectory,val/L_trajectory_m2,val/L_vae_total,val/loss_total
0,9,,0.33071985840797424,,0.12038500607013702,,0.35496363043785095,,0.0,,1.1473383903503418,,1.0,,0.5723073482513428,,,0.0,0.0,,0.040239330381155014,,199.0614471435547,,4.82582426071167,,17.382884979248047,,,1.0817208290100098,,1.0,,11.959192276000977,,,,,,,,,,,,,,,,,,
0,19,,0.20170488953590393,,0.12090103328227997,,0.3186911344528198,,0.0,,1.1860089302062988,,1.0,,0.44188496470451355,,,0.0,0.0,,0.011616338044404984,,190.21031188964844,,4.129833698272705,,4.9726762771606445,,,1.0811340808868408,,1.0,,5.343240261077881,,,,,,,,,,,,,,,,,,
0,29,,0.10476101189851761,,0.02057349495589733,,0.22025196254253387,,0.0,,1.241302251815796,,1.0,,0.38508298993110657,,,0.0,0.0,,0.0036807789001613855,,203.36148071289062,,3.363692283630371,,5.4028000831604,,,1.0201313495635986,,1.0,,5.090430736541748,,,,,,,,,,,,,,,,,,
0,39,,0.0937981978058815,,0.05608779564499855,,0.17721369862556458,,0.0,,0.891839325428009,,1.0,,0.36231791973114014,,,0.0,0.0,,0.0016205114079639316,,197.25802612304688,,2.746011734008789,,9.3688325881958,,,1.13508939743042,,1.0,,6.596816062927246,,,,,,,,,,,,,,,,,,
0,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.34948936104774475,0.16904139518737793,0.19713382422924042,0.0,1.3073945045471191,1.0,0.3615807890892029,0.0,0.0,0.001563149387948215,197.9416961669922,2.4286839962005615,29.376401901245117,1.120936393737793,1.9703307151794434,1.0,16.836002349853516
0,39,0.1936217099428177,,0.12390489876270294,,0.2930096387863159,,0.0,,2.4680237770080566,,1.0,,0.48166757822036743,,0.0,0.0,,,0.022871747612953186,,201.16891479492188,,6.611791133880615,,15.119035720825195,,1.093931794166565,2.0054895877838135,,1.0,,12.298925399780273,,0.35723552107810974,,,,,,,,,,,,,,,,,
1,49,,0.07229054719209671,,0.03334027901291847,,0.14535170793533325,,0.0,,0.773555338382721,,1.0,,0.33595961332321167,,,0.0,0.0,,0.0002469599130563438,,201.1241912841797,,2.546849250793457,,3.385756731033325,,,1.0800625085830688,,1.0,,3.4205548763275146,,,,,,,,,,,,,,,,,,
1,59,,0.07472115755081177,,0.04167304188013077,,0.13815250992774963,,0.0,,0.7559603452682495,,1.0,,0.3292113244533539,,,0.0,0.0,,7.622606790391728e-05,,205.026611328125,,2.398314952850342,,1.4853452444076538,,,1.152708649635315,,1.0,,2.3918609619140625,,,,,,,,,,,,,,,,,,
1,69,,0.05834197252988815,,0.08256389200687408,,0.1136355847120285,,0.0,,0.6753805875778198,,1.0,,0.32507818937301636,,,0.0,0.0,,2.6688110665418208e-05,,210.02798461914062,,2.007189989089966,,2.319420337677002,,,1.1138440370559692,,1.0,,2.582825183868408,,,,,,,,,,,,,,,,,,
1,79,,0.05773894861340523,,0.04102809727191925,,0.10304104536771774,,0.0,,0.6630066633224487,,1.0,,0.33457404375076294,,,0.0,0.0,,0.00019838413572870195,,200.70225524902344,,1.846907138824463,,1.6214969158172607,,,1.0776056051254272,,1.0,,2.1254920959472656,,,,,,,,,,,,,,,,,,
