epoch,step,train/L_coord_epoch,train/L_coord_step,train/L_depth_anchor_epoch,train/L_depth_anchor_step,train/L_geo_pred_pred_art_epoch,train/L_geo_pred_pred_art_step,train/L_kld_epoch,train/L_kld_step,train/L_mask_epoch,train/L_mask_step,train/L_motion_recon_epoch,train/L_motion_recon_step,train/L_motion_type_epoch,train/L_motion_type_step,train/L_origin_epoch,train/L_origin_map_epoch,train/L_origin_map_step,train/L_origin_step,train/L_p_rev_balance_epoch,train/L_p_rev_balance_step,train/L_point_3d_epoch,train/L_point_3d_step,train/L_point_map_epoch,train/L_point_map_step,train/L_traj_proj_epoch,train/L_traj_proj_step,train/L_trajectory_epoch,train/L_trajectory_m2,train/L_trajectory_step,train/L_vae_total_epoch,train/L_vae_total_step,train/loss_total_epoch,train/loss_total_step,train/p_rev_mean,val/L_coord,val/L_depth_anchor,val/L_geo_pred_pred_art,val/L_kld,val/L_mask,val/L_motion_recon,val/L_motion_type,val/L_origin,val/L_origin_map,val/L_p_rev_balance,val/L_point_3d,val/L_point_map,val/L_traj_proj,val/L_trajectory,val/L_trajectory_m2,val/L_vae_total,val/loss_total
0,9,,0.3626940846443176,,0.13288851082324982,,0.44131895899772644,,0.0,,1.3129503726959229,,1.0,,0.5650300979614258,,,0.0,0.0,,0.038431473076343536,,198.4033203125,,7.273481369018555,,43.107547760009766,,,1.2101078033447266,,1.0,,26.15812873840332,,,,,,,,,,,,,,,,,,
0,19,,0.08056249469518661,,0.06313768029212952,,0.5711667537689209,,0.0,,1.2952847480773926,,1.0,,0.3609274923801422,,,0.0,0.0,,0.0014862028183415532,,202.25938415527344,,3.626399040222168,,7.036901473999023,,,1.2184969186782837,,1.0,,6.109002590179443,,,,,,,,,,,,,,,,,,
0,29,,0.06938229501247406,,0.0381912887096405,,0.3434792160987854,,0.0,,0.9014403820037842,,1.0,,0.32857179641723633,,,0.0,0.0,,6.9615532993339e-05,,202.7668914794922,,2.242115020751953,,4.260952949523926,,,1.2516727447509766,,1.0,,3.790423631668091,,,,,,,,,,,,,,,,,,
0,39,,0.07024280726909637,,0.0404556542634964,,0.13345178961753845,,0.0,,0.6499385237693787,,1.0,,0.3332240879535675,,,0.0,0.0,,0.00019546542898751795,,208.0302734375,,1.7937376499176025,,5.227173805236816,,,1.274493932723999,,1.0,,3.90421724319458,,,,,,,,,,,,,,,,,,
0,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09475976973772049,0.059120308607816696,0.15663081407546997,0.0,0.9072105884552002,1.0,0.3426007330417633,0.0,0.0,0.000521573587320745,201.31658935546875,1.5028138160705566,9.14194107055664,1.2501132488250732,2.3822522163391113,1.0,5.868846416473389
0,40,0.14701145887374878,,0.06939882785081863,,0.4537052512168884,,0.0,,2.398247241973877,,1.0,,0.42999815940856934,,0.0,0.0,,,0.01733640767633915,,200.5120086669922,,6.74224853515625,,19.16869354248047,,1.2860181331634521,1.9870866537094116,,1.0,,14.31683349609375,,0.31262829899787903,,,,,,,,,,,,,,,,,
1,49,,0.048731233924627304,,0.05800444260239601,,0.07762938737869263,,0.0,,0.5386656522750854,,1.0,,0.3294317126274109,,,0.0,0.0,,0.0001016726964735426,,208.84934997558594,,1.5935289859771729,,2.6945559978485107,,,1.2439792156219482,,1.0,,2.4745566844940186,,,,,,,,,,,,,,,,,,
1,59,,0.06072951480746269,,0.04629030078649521,,0.06199408322572708,,0.0,,0.44675886631011963,,1.0,,0.32917681336402893,,,0.0,0.0,,8.58049897942692e-05,,198.8441162109375,,1.3135204315185547,,2.6487090587615967,,,2.08146333694458,,1.0,,2.2642464637756348,,,,,,,,,,,,,,,,,,
1,69,,0.044315651059150696,,0.03930801525712013,,0.04595135152339935,,0.0,,0.41502925753593445,,1.0,,0.3250047564506531,,,0.0,0.0,,2.7815052817459218e-05,,198.6417694091797,,1.0260186195373535,,2.1962361335754395,,,1.5125830173492432,,1.0,,1.8650630712509155,,,,,,,,,,,,,,,,,,
1,79,,0.043164968490600586,,0.03129614144563675,,0.036843374371528625,,0.0,,0.4043680429458618,,1.0,,0.32258185744285583,,,0.0,0.0,,5.464744390337728e-06,,191.7671356201172,,0.9908889532089233,,2.5539631843566895,,,1.4886720180511475,,1.0,,2.0155277252197266,,,,,,,,,,,,,,,,,,
1,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.027970654889941216,0.018069883808493614,0.03522592410445213,0.0,0.32079222798347473,1.0,0.3252709209918976,0.0,0.0,3.604876110330224e-05,203.1562042236328,0.6723954081535339,1.403438687324524,1.4163475036621094,2.4173460006713867,1.0,1.2248740196228027
1,81,0.05287938565015793,,0.042481161653995514,,0.06569072604179382,,0.0,,0.48017409443855286,,1.0,,0.32900360226631165,,0.0,0.0,,,0.0001563330733915791,,201.1934814453125,,1.2624534368515015,,3.1303822994232178,,1.3518524169921875,2.012620687484741,,1.0,,2.4908323287963867,,0.23399244248867035,,,,,,,,,,,,,,,,,
