epoch,step,train/L_coord_epoch,train/L_coord_step,train/L_depth_anchor_epoch,train/L_depth_anchor_step,train/L_geo_pred_pred_art_epoch,train/L_geo_pred_pred_art_step,train/L_kld_epoch,train/L_kld_step,train/L_mask_epoch,train/L_mask_step,train/L_motion_recon_epoch,train/L_motion_recon_step,train/L_motion_type_epoch,train/L_motion_type_step,train/L_origin_epoch,train/L_origin_map_epoch,train/L_origin_map_step,train/L_origin_step,train/L_p_rev_balance_epoch,train/L_p_rev_balance_step,train/L_point_3d_epoch,train/L_point_3d_step,train/L_point_map_epoch,train/L_point_map_step,train/L_traj_proj_epoch,train/L_traj_proj_step,train/L_trajectory_epoch,train/L_trajectory_m2,train/L_trajectory_step,train/L_vae_total_epoch,train/L_vae_total_step,train/loss_total_epoch,train/loss_total_step,train/p_rev_mean,val/L_coord,val/L_depth_anchor,val/L_geo_pred_pred_art,val/L_kld,val/L_mask,val/L_motion_recon,val/L_motion_type,val/L_origin,val/L_origin_map,val/L_p_rev_balance,val/L_point_3d,val/L_point_map,val/L_traj_proj,val/L_trajectory,val/L_trajectory_m2,val/L_vae_total,val/loss_total
0,9,,0.2991063594818115,,0.13228707015514374,,0.33062583208084106,,0.0,,1.3709783554077148,,1.0,,0.45407161116600037,,,0.0,0.0,,0.013592823408544064,,191.15841674804688,,6.880890846252441,,19.400602340698242,,,1.057722568511963,,1.0,,14.081792831420898,,,,,,,,,,,,,,,,,,
0,19,,0.07185572385787964,,0.060750119388103485,,0.12733981013298035,,0.0,,1.0719971656799316,,1.0,,0.31358060240745544,,,0.0,0.0,,4.045976311317645e-05,,202.741943359375,,3.461453676223755,,3.804290294647217,,,1.2444034814834595,,1.0,,4.247927188873291,,,,,,,,,,,,,,,,,,
0,29,,0.07743880152702332,,0.044256869703531265,,0.0425226166844368,,0.0,,0.7471786141395569,,1.0,,0.2899070680141449,,,0.0,0.0,,0.0009547612862661481,,206.84210205078125,,2.3167359828948975,,3.446381092071533,,,1.7153254747390747,,1.0,,3.320725202560425,,,,,,,,,,,,,,,,,,
0,39,,0.06646290421485901,,0.04761491343379021,,0.030285265296697617,,0.0,,0.6834429502487183,,1.0,,0.33276939392089844,,,0.0,0.0,,0.00016293051885440946,,200.4816131591797,,1.7927546501159668,,2.3720200061798096,,,1.295030951499939,,1.0,,2.484257936477661,,,,,,,,,,,,,,,,,,
0,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12413022667169571,0.07262927293777466,0.033697325736284256,0.0,1.1095976829528809,1.0,0.34146711230278015,0.0,0.0,0.0005005621933378279,201.26734924316406,1.9656050205230713,4.816249847412109,1.3005881309509277,2.393186330795288,1.0,4.047726631164551
0,40,0.1371220499277115,,0.08319512754678726,,0.16449551284313202,,0.0,,2.163011074066162,,1.0,,0.38828805088996887,,0.0,0.0,,,0.01270870491862297,,201.1719970703125,,6.171934127807617,,11.890121459960938,,1.2202173471450806,1.9792804718017578,,1.0,,10.245492935180664,,0.2769578695297241,,,,,,,,,,,,,,,,,
1,49,,0.06206819787621498,,0.051262468099594116,,0.017676018178462982,,0.0,,0.5355827808380127,,1.0,,0.34388187527656555,,,0.0,0.0,,0.0005691051483154297,,200.24578857421875,,1.5372388362884521,,3.834179162979126,,,1.35172700881958,,1.0,,3.0122179985046387,,,,,,,,,,,,,,,,,,
1,59,,0.05265146866440773,,0.040633585304021835,,0.01764063909649849,,0.0,,0.5114816427230835,,1.0,,0.3193410038948059,,,0.0,0.0,,3.700775152992719e-08,,197.24020385742188,,1.1533925533294678,,2.0557899475097656,,,1.7108603715896606,,1.0,,1.9087387323379517,,,,,,,,,,,,,,,,,,
1,69,,0.04583034664392471,,0.06211868301033974,,0.01693161576986313,,0.0,,0.4461634159088135,,1.0,,0.3130667507648468,,,0.0,0.0,,5.141049041412771e-05,,198.5723114013672,,1.1744861602783203,,2.4245240688323975,,,1.903045654296875,,1.0,,2.078280210494995,,,,,,,,,,,,,,,,,,
1,79,,0.04995398223400116,,0.046450793743133545,,0.014673605561256409,,0.0,,0.4097062945365906,,1.0,,0.3119329512119293,,,0.0,0.0,,6.154354923637584e-05,,201.12344360351562,,0.9851170182228088,,2.0594065189361572,,,1.7157683372497559,,1.0,,1.776815414428711,,,,,,,,,,,,,,,,,,
