epoch,step,train/L_coord_epoch,train/L_coord_step,train/L_depth_anchor_epoch,train/L_depth_anchor_step,train/L_geo_pred_pred_art_epoch,train/L_geo_pred_pred_art_step,train/L_kld_epoch,train/L_kld_step,train/L_mask_epoch,train/L_mask_step,train/L_motion_recon_epoch,train/L_motion_recon_step,train/L_motion_type_epoch,train/L_motion_type_step,train/L_origin_epoch,train/L_origin_map_epoch,train/L_origin_map_step,train/L_origin_step,train/L_p_rev_balance_epoch,train/L_p_rev_balance_step,train/L_point_3d_epoch,train/L_point_3d_step,train/L_point_map_epoch,train/L_point_map_step,train/L_traj_proj_epoch,train/L_traj_proj_step,train/L_trajectory_epoch,train/L_trajectory_m2,train/L_trajectory_step,train/L_vae_total_epoch,train/L_vae_total_step,train/loss_total_epoch,train/loss_total_step,train/p_rev_mean,val/L_coord,val/L_depth_anchor,val/L_geo_pred_pred_art,val/L_kld,val/L_mask,val/L_motion_recon,val/L_motion_type,val/L_origin,val/L_origin_map,val/L_p_rev_balance,val/L_point_3d,val/L_point_map,val/L_traj_proj,val/L_trajectory,val/L_trajectory_m2,val/L_vae_total,val/loss_total
0,9,,0.36720871925354004,,0.020029257982969284,,0.4607023000717163,,0.0,,1.1482043266296387,,1.0,,0.5868623852729797,,,0.0,0.0,,0.0441298745572567,,204.49697875976562,,6.524103164672852,,19.894758224487305,,,1.1893620491027832,,1.0,,14.045287132263184,,,,,,,,,,,,,,,,,,
0,19,,0.07403397560119629,,0.009820803999900818,,0.558288037776947,,0.0,,1.2280104160308838,,1.0,,0.3547202944755554,,,0.0,0.0,,0.0010701342253014445,,202.7991180419922,,3.5628373622894287,,2.863884210586548,,,1.1336029767990112,,1.0,,3.925657272338867,,,,,,,,,,,,,,,,,,
0,29,,0.07932542264461517,,0.010330659337341785,,0.2710166871547699,,0.0,,0.8633105754852295,,1.0,,0.33485478162765503,,,0.0,0.0,,0.00021475180983543396,,205.08761596679688,,2.360748291015625,,2.4517486095428467,,,1.1761443614959717,,1.0,,2.909940719604492,,,,,,,,,,,,,,,,,,
0,39,,0.07723360508680344,,0.011376052163541317,,0.17254239320755005,,0.0,,0.6438394784927368,,1.0,,0.32968461513519287,,,0.0,0.0,,0.00011590289796004072,,210.0400848388672,,1.8622877597808838,,2.298562526702881,,,1.212097406387329,,1.0,,2.4639618396759033,,,,,,,,,,,,,,,,,,
0,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09371306002140045,0.01175234466791153,0.1917630136013031,0.0,0.9678075313568115,1.0,0.33735790848731995,0.0,0.0,0.0003433797974139452,204.2078094482422,1.9467506408691406,2.743359327316284,1.163834571838379,2.358409881591797,1.0,2.9010396003723145
0,40,0.1505645364522934,,0.026087982580065727,,0.44404736161231995,,0.0,,2.382096767425537,,1.0,,0.42934855818748474,,0.0,0.0,,,0.017161859199404716,,202.457275390625,,6.748178005218506,,10.594122886657715,,1.2222105264663696,1.969923496246338,,1.0,,10.003510475158691,,0.31227073073387146,,,,,,,,,,,,,,,,,
1,49,,0.05235143005847931,,0.007277228403836489,,0.1462765634059906,,0.0,,0.5281007885932922,,1.0,,0.3306014835834503,,,0.0,0.0,,0.0001488624984631315,,210.37576293945312,,1.7759840488433838,,1.7371289730072021,,,1.1505612134933472,,1.0,,2.0651233196258545,,,,,,,,,,,,,,,,,,
1,59,,0.0691276416182518,,0.010102297179400921,,0.09490437805652618,,0.0,,0.4788670241832733,,1.0,,0.32925406098365784,,,0.0,0.0,,0.00011214245751034468,,201.8028564453125,,1.3316203355789185,,1.748122215270996,,,1.6799006462097168,,1.0,,1.8284661769866943,,,,,,,,,,,,,,,,,,
1,69,,0.06264012306928635,,0.011368896812200546,,0.07462038099765778,,0.0,,0.432550847530365,,1.0,,0.3241559863090515,,,0.0,0.0,,3.529871173668653e-05,,199.47076416015625,,1.2395055294036865,,1.3992081880569458,,,1.302351951599121,,1.0,,1.5801165103912354,,,,,,,,,,,,,,,,,,
1,79,,0.05900716409087181,,0.013300384394824505,,0.06587628275156021,,0.0,,0.42196011543273926,,1.0,,0.32567670941352844,,,0.0,0.0,,4.784859629580751e-05,,193.2142333984375,,1.066056489944458,,1.3152035474777222,,,1.2631820440292358,,1.0,,1.4443753957748413,,,,,,,,,,,,,,,,,,
