epoch,step,train/L_coord_epoch,train/L_coord_step,train/L_geo_pred_pred_art_epoch,train/L_geo_pred_pred_art_step,train/L_kld_epoch,train/L_kld_step,train/L_mask_epoch,train/L_mask_step,train/L_motion_recon_epoch,train/L_motion_recon_step,train/L_motion_type_epoch,train/L_motion_type_step,train/L_origin_epoch,train/L_origin_map_epoch,train/L_origin_map_step,train/L_origin_step,train/L_p_rev_balance_epoch,train/L_p_rev_balance_step,train/L_point_3d_epoch,train/L_point_3d_step,train/L_point_map_epoch,train/L_point_map_step,train/L_traj_proj_epoch,train/L_traj_proj_step,train/L_trajectory_epoch,train/L_trajectory_m2,train/L_trajectory_step,train/L_vae_total_epoch,train/L_vae_total_step,train/loss_total_epoch,train/loss_total_step,train/p_rev_mean,val/L_coord,val/L_geo_pred_pred_art,val/L_kld,val/L_mask,val/L_motion_recon,val/L_motion_type,val/L_origin,val/L_origin_map,val/L_p_rev_balance,val/L_point_3d,val/L_point_map,val/L_traj_proj,val/L_trajectory,val/L_trajectory_m2,val/L_vae_total,val/loss_total
0,9,,0.15279245376586914,,0.546080470085144,,0.0,,1.3389979600906372,,1.0,,0.5112636685371399,,,0.0,0.0,,0.02569923922419548,,195.74520874023438,,6.0400495529174805,,4.193007469177246,,,1.6917915344238281,,1.0,,5.929881572723389,,,,,,,,,,,,,,,,,
0,19,,0.0766848623752594,,0.5665736198425293,,0.0,,0.8595733046531677,,1.0,,0.3555436134338379,,,0.0,0.0,,0.0012859504204243422,,170.27696228027344,,2.90964412689209,,1.8509304523468018,,,1.2055362462997437,,1.0,,2.90571665763855,,,,,,,,,,,,,,,,,
0,29,,0.046244751662015915,,0.22797003388404846,,0.0,,0.6442148685455322,,1.0,,0.3658412992954254,,,0.0,0.0,,0.002019102219492197,,159.09945678710938,,2.1589622497558594,,1.400807499885559,,,1.106382966041565,,1.0,,2.148921251296997,,,,,,,,,,,,,,,,,
0,39,,0.05106382817029953,,0.15010538697242737,,0.0,,0.523094892501831,,1.0,,0.3460690379142761,,,0.0,0.0,,0.000664701743517071,,160.60366821289062,,1.6838757991790771,,0.9612855911254883,,,1.0684900283813477,,1.0,,1.6250029802322388,,,,,,,,,,,,,,,,,
0,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05688320845365524,0.18021570146083832,0.0,0.8292629718780518,1.0,0.34463265538215637,0.0,0.0,0.0006334123900160193,158.34017944335938,1.287226915359497,1.2310545444488525,1.0940206050872803,2.3467695713043213,1.0,1.7205522060394287
0,40,0.1120196282863617,,0.49050191044807434,,0.0,,1.337192177772522,,1.0,,0.43770062923431396,,0.0,0.0,,,0.016775451600551605,,174.19338989257812,,4.307363510131836,,3.877833366394043,,1.2037025690078735,1.9679187536239624,,1.0,,4.874642372131348,,0.3220151960849762,,,,,,,,,,,,,,,,
1,49,,0.058984555304050446,,0.11013306677341461,,0.0,,0.4422141909599304,,1.0,,0.3217189908027649,,,0.0,0.0,,9.255109034711495e-06,,152.73497009277344,,1.4942506551742554,,0.9049233794212341,,,1.1484431028366089,,1.0,,1.4612042903900146,,,,,,,,,,,,,,,,,
1,59,,0.04348345473408699,,0.10820864886045456,,0.0,,0.4416729807853699,,1.0,,0.34321796894073486,,,0.0,0.0,,0.0005334401503205299,,156.39627075195312,,1.043461799621582,,0.7777011394500732,,,1.0345349311828613,,1.0,,1.1642472743988037,,,,,,,,,,,,,,,,,
1,69,,0.04384689778089523,,0.09229438006877899,,0.0,,0.38036078214645386,,1.0,,0.32960671186447144,,,0.0,0.0,,0.00011280967737548053,,156.39059448242188,,0.8889124393463135,,0.7148709297180176,,,1.0886774063110352,,1.0,,1.0232813358306885,,,,,,,,,,,,,,,,,
1,79,,0.04904214292764664,,0.09778419137001038,,0.0,,0.39440932869911194,,1.0,,0.3410881757736206,,,0.0,0.0,,0.00039374869083985686,,152.60650634765625,,0.7519576549530029,,0.7980703115463257,,,1.0998034477233887,,1.0,,1.0067150592803955,,,,,,,,,,,,,,,,,
1,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.026878729462623596,0.078874871134758,0.0,0.31295299530029297,1.0,0.32648059725761414,0.0,0.0,7.37565424060449e-05,153.5876007080078,0.4936801493167877,0.7410814166069031,1.0836176872253418,2.3420140743255615,1.0,0.7952209711074829
1,81,0.048639215528964996,,0.10743889957666397,,0.0,,0.43111518025398254,,1.0,,0.3322540521621704,,0.0,0.0,,,0.00021131057292222977,,153.5771026611328,,1.1559090614318848,,0.8421473503112793,,1.0981502532958984,1.943957805633545,,1.0,,1.249754786491394,,0.23792116343975067,,,,,,,,,,,,,,,,
2,89,,0.04028221219778061,,0.07720606029033661,,0.0,,0.32933855056762695,,1.0,,0.3342958390712738,,,0.0,0.0,,0.0001934937754413113,,148.36306762695312,,0.6818423271179199,,0.7557151317596436,,,1.0918283462524414,,1.0,,0.9114064574241638,,,,,,,,,,,,,,,,,
2,99,,0.032947782427072525,,0.07468810677528381,,0.0,,0.30621153116226196,,1.0,,0.32924288511276245,,,0.0,0.0,,8.5523359302897e-05,,150.5609130859375,,0.4915018379688263,,0.681389570236206,,,1.1145035028457642,,1.0,,0.7635369300842285,,,,,,,,,,,,,,,,,
2,109,,0.02939281053841114,,0.06885302066802979,,0.0,,0.29697978496551514,,1.0,,0.32237300276756287,,,0.0,0.0,,3.861288405460073e-06,,153.24752807617188,,0.43097102642059326,,0.64349764585495,,,1.0576372146606445,,1.0,,0.7073078155517578,,,,,,,,,,,,,,,,,
2,119,,0.02629661187529564,,0.06762707233428955,,0.0,,0.30952566862106323,,1.0,,0.3239469528198242,,,0.0,0.0,,1.6789435903774574e-05,,152.20761108398438,,0.40476417541503906,,0.6628701686859131,,,1.0661975145339966,,1.0,,0.7084994316101074,,,,,,,,,,,,,,,,,
2,122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.022064222022891045,0.06459862738847733,0.0,0.2501524090766907,1.0,0.328206866979599,0.0,0.0,9.956236317520961e-05,152.18084716796875,0.2901211380958557,0.6608365178108215,1.0891778469085693,2.3434813022613525,1.0,0.6180968284606934
2,122,0.035291388630867004,,0.07532215863466263,,0.0,,0.3107399642467499,,1.0,,0.3293624520301819,,0.0,0.0,,,0.00011208934301976115,,151.99191284179688,,0.4867328107357025,,0.682957649230957,,1.1015007495880127,1.9448637962341309,,1.0,,0.7654493451118469,,0.23426416516304016,,,,,,,,,,,,,,,,
3,129,,0.02174212411046028,,0.06129545345902443,,0.0,,0.2792818248271942,,1.0,,0.3356846868991852,,,0.0,0.0,,0.00024145930365193635,,149.1465301513672,,0.3219989836215973,,0.6399298310279846,,,1.1710759401321411,,1.0,,0.6377266645431519,,,,,,,,,,,,,,,,,
3,139,,0.01990940235555172,,0.059027206152677536,,0.0,,0.26259756088256836,,1.0,,0.3282482922077179,,,0.0,0.0,,5.377697743824683e-05,,156.34616088867188,,0.29849857091903687,,0.5460784435272217,,,1.1340545415878296,,1.0,,0.569471538066864,,,,,,,,,,,,,,,,,
3,149,,0.022695347666740417,,0.06394857913255692,,0.0,,0.2651624083518982,,1.0,,0.33441361784935,,,0.0,0.0,,0.00019007318769581616,,150.01980590820312,,0.3000253736972809,,0.6116640567779541,,,1.2836132049560547,,1.0,,0.6062635183334351,,,,,,,,,,,,,,,,,
3,159,,0.02551187388598919,,0.05020079016685486,,0.0,,0.25146153569221497,,1.0,,0.3262162208557129,,,0.0,0.0,,2.7560381568036973e-05,,148.47598266601562,,0.2884644865989685,,0.5506335496902466,,,1.1473413705825806,,1.0,,0.5630695819854736,,,,,,,,,,,,,,,,,
