model,object,axis_unsigned_deg,axis_signed_deg,p_rev,radius_m,hinge_offset_frac,z_p
field,capsulemachine/capsulemachine,86.687,93.313,0.9606,0.1036,0.1809,1.443
field,capsulemachine/capsulemachine,58.399,58.399,0.9485,0.0425,0.0453,1.462
field,capsulemachine/capsulemachine,50.178,129.822,0.9173,0.0959,0.0134,1.370
field,capsulemachine/capsulemachine,60.384,60.384,0.9486,0.1159,0.0103,1.403
field,capsulemachine/capsulemachine,5.245,5.245,0.9556,0.0488,0.0360,1.392
field,capsulemachine/capsulemachine,82.657,97.343,0.9568,0.1958,0.0107,1.231
field,capsulemachine/capsulemachine,61.787,118.213,0.9436,0.0592,0.0965,1.362
field,capsulemachine/capsulemachine,81.953,98.047,0.9558,0.2073,0.0045,1.314
field,capsulemachine/capsulemachine,81.676,98.324,0.9597,0.0693,0.1019,1.470
field,capsulemachine/capsulemachine,75.011,104.989,0.9598,0.1262,0.0919,1.373
field,capsulemachine/capsulemachine,72.471,107.529,0.9638,0.2153,0.1972,1.309
field,capsulemachine/capsulemachine,63.621,116.379,0.9598,0.1521,0.1669,1.148
field,capsulemachine/capsulemachine,71.210,71.210,0.9606,0.1007,0.0433,1.488
field,capsulemachine/capsulemachine,50.242,50.242,0.9478,0.1508,0.0556,1.333
field,scissors/scissors,67.410,67.410,0.9534,0.0335,0.0054,1.423
field,scissors/scissors,66.442,66.442,0.9300,0.0540,0.0561,1.448
field,scissors/scissors,53.843,53.843,0.9518,0.0548,0.0375,1.432
field,scissors/scissors,55.259,55.259,0.9286,0.0874,0.0935,1.462
field,scissors/scissors,72.415,72.415,0.9604,0.0024,0.0058,1.407
field,scissors/scissors,74.225,74.225,0.9482,0.0125,0.0229,1.435
field,scissors/scissors,75.529,75.529,0.9529,0.0106,0.0111,1.386
field,scissors/scissors,69.210,69.210,0.9536,0.0359,0.0311,1.418
field,scissors/scissors,66.752,66.752,0.9490,0.0256,0.0270,1.428
field,scissors/scissors,60.707,60.707,0.9544,0.0375,0.0535,1.440
field,scissors/scissors,66.151,66.151,0.9356,0.0935,0.0948,1.449
field,scissors/scissors,56.920,56.920,0.9550,0.0155,0.0535,1.443
field,scissors/scissors,55.126,55.126,0.9536,0.0254,0.0500,1.445
field,scissors/scissors,59.665,59.665,0.9523,0.0321,0.0544,1.443
field,scissors/scissors,66.425,66.425,0.9430,0.0207,0.0381,1.466
