model,object,axis_unsigned_deg,axis_signed_deg,p_rev,radius_m,hinge_offset_frac,z_p
20260913_joint4_decoder_cfframe_query,capsulemachine/capsulemachine,51.079,51.079,0.9335,4.5803,0.0332,0.101
20260913_joint4_decoder_cfframe_query,capsulemachine/capsulemachine,69.145,110.855,0.9188,3.5920,0.1702,0.105
20260913_joint4_decoder_cfframe_query,capsulemachine/capsulemachine,40.531,40.531,0.9319,1.2646,0.0258,2.071
20260913_joint4_decoder_cfframe_query,capsulemachine/capsulemachine,72.165,72.165,0.9412,3.7379,0.2550,0.103
20260913_joint4_decoder_cfframe_query,capsulemachine/capsulemachine,66.417,113.583,0.9238,2.0781,0.1448,3.434
20260913_joint4_decoder_cfframe_query,capsulemachine/capsulemachine,64.659,64.659,0.8966,0.2673,0.2037,0.509
20260913_joint4_decoder_cfframe_query,capsulemachine/capsulemachine,31.272,31.272,0.9238,3.0728,0.0731,0.953
20260913_joint4_decoder_cfframe_query,capsulemachine/capsulemachine,42.948,42.948,0.8852,3.0639,0.1559,3.788
20260913_joint4_decoder_cfframe_query,capsulemachine/capsulemachine,25.404,25.404,0.9322,3.6653,0.1297,0.410
20260913_joint4_decoder_cfframe_query,capsulemachine/capsulemachine,34.108,34.108,0.9146,3.6629,0.0811,4.485
20260913_joint4_decoder_cfframe_query,capsulemachine/capsulemachine,32.858,32.858,0.9291,4.1643,0.4159,0.117
20260913_joint4_decoder_cfframe_query,capsulemachine/capsulemachine,41.072,41.072,0.9198,0.5501,0.0643,0.528
20260913_joint4_decoder_cfframe_query,capsulemachine/capsulemachine,64.193,64.193,0.9451,4.7620,0.0512,0.108
20260913_joint4_decoder_cfframe_query,capsulemachine/capsulemachine,23.654,23.654,0.9329,2.2816,0.1847,3.328
20260913_joint4_decoder_cfframe_query,scissors/scissors,1.552,1.552,0.9439,0.1179,0.1094,1.626
20260913_joint4_decoder_cfframe_query,scissors/scissors,25.919,25.919,0.9430,0.0965,0.0863,1.573
20260913_joint4_decoder_cfframe_query,scissors/scissors,21.263,21.263,0.8990,0.3583,0.0859,1.732
20260913_joint4_decoder_cfframe_query,scissors/scissors,81.644,81.644,0.9435,0.3875,0.0463,1.826
20260913_joint4_decoder_cfframe_query,scissors/scissors,55.599,55.599,0.9093,0.2871,0.0328,1.916
20260913_joint4_decoder_cfframe_query,scissors/scissors,10.417,10.417,0.9392,0.7234,0.0753,2.099
20260913_joint4_decoder_cfframe_query,scissors/scissors,59.956,59.956,0.8962,0.5612,0.0026,2.021
20260913_joint4_decoder_cfframe_query,scissors/scissors,17.634,17.634,0.9137,0.3728,0.0489,1.782
20260913_joint4_decoder_cfframe_query,scissors/scissors,47.500,47.500,0.9213,0.5208,0.0493,2.031
20260913_joint4_decoder_cfframe_query,scissors/scissors,53.298,53.298,0.9378,0.2742,0.1208,1.446
20260913_joint4_decoder_cfframe_query,scissors/scissors,79.287,100.713,0.9440,0.5310,0.0087,2.065
20260913_joint4_decoder_cfframe_query,scissors/scissors,41.146,41.146,0.9344,0.4421,0.0459,2.014
20260913_joint4_decoder_cfframe_query,scissors/scissors,63.228,63.228,0.9274,0.4473,0.0387,2.131
20260913_joint4_decoder_cfframe_query,scissors/scissors,51.223,51.223,0.9282,0.3772,0.0095,2.035
20260913_joint4_decoder_cfframe_query,scissors/scissors,10.535,10.535,0.9394,0.5106,0.1089,1.010
20260913_joint4_decoder_cfframe_query,scissors/scissors,84.737,84.737,0.9052,0.3461,0.1545,2.152
20260913_joint4_decoder_cfframe_query,scissors/scissors,72.871,107.129,0.9462,0.4236,0.0508,1.906
20260913_joint4_decoder_cfframe_query,scissors/scissors,65.909,65.909,0.9423,0.5559,0.0730,2.258
