model,object,axis_unsigned_deg,axis_signed_deg,p_rev,radius_m,hinge_offset_frac,z_p
attnpool,capsulemachine/capsulemachine,85.461,85.461,0.9307,2.3675,0.1559,0.100
attnpool,capsulemachine/capsulemachine,61.217,61.217,0.9200,1.4560,0.1203,2.585
attnpool,capsulemachine/capsulemachine,32.998,32.998,0.9320,2.5191,0.0555,4.290
attnpool,capsulemachine/capsulemachine,72.389,107.611,0.9443,0.8335,0.1397,2.497
attnpool,capsulemachine/capsulemachine,51.627,128.373,0.9492,0.6512,0.0327,3.475
attnpool,capsulemachine/capsulemachine,86.376,86.376,0.9369,0.7762,0.0783,2.243
attnpool,capsulemachine/capsulemachine,67.510,112.490,0.9212,0.3071,0.0086,3.409
attnpool,capsulemachine/capsulemachine,30.746,149.254,0.9392,0.7942,0.0122,3.774
attnpool,capsulemachine/capsulemachine,67.282,67.282,0.9490,2.9284,0.0281,0.546
attnpool,capsulemachine/capsulemachine,30.655,30.655,0.9362,1.6189,0.2438,3.872
attnpool,capsulemachine/capsulemachine,61.432,118.568,0.9164,1.2988,0.3509,1.313
attnpool,capsulemachine/capsulemachine,40.608,139.392,0.9351,1.4832,0.0796,0.193
attnpool,capsulemachine/capsulemachine,76.900,76.900,0.9369,1.6825,0.0494,1.939
attnpool,capsulemachine/capsulemachine,65.316,65.316,0.9387,0.3097,0.0640,3.395
attnpool,scissors/scissors,54.863,54.863,0.9416,0.6080,0.1557,1.644
attnpool,scissors/scissors,25.242,25.242,0.9408,0.3539,0.0543,1.532
attnpool,scissors/scissors,24.411,24.411,0.9277,0.4002,0.0038,1.755
attnpool,scissors/scissors,62.969,62.969,0.9455,0.0484,0.0568,1.446
attnpool,scissors/scissors,88.972,88.972,0.9370,0.2423,0.0261,1.753
attnpool,scissors/scissors,37.458,37.458,0.9349,0.3013,0.0246,1.787
attnpool,scissors/scissors,77.693,77.693,0.9316,0.3256,0.0518,1.663
attnpool,scissors/scissors,74.770,74.770,0.9411,0.4424,0.1021,1.820
attnpool,scissors/scissors,20.954,20.954,0.9320,0.3996,0.0535,1.752
attnpool,scissors/scissors,46.151,46.151,0.9281,0.6748,0.2153,1.569
attnpool,scissors/scissors,71.121,71.121,0.9475,0.2411,0.0297,1.644
attnpool,scissors/scissors,78.456,78.456,0.9386,0.4948,0.0614,1.792
attnpool,scissors/scissors,70.841,70.841,0.9372,0.5028,0.0309,1.902
attnpool,scissors/scissors,83.153,83.153,0.9370,0.3508,0.0013,1.783
attnpool,scissors/scissors,21.751,21.751,0.9421,0.5423,0.0627,1.150
attnpool,scissors/scissors,64.538,115.462,0.9425,0.2174,0.1795,1.858
attnpool,scissors/scissors,68.054,111.946,0.9454,0.2785,0.1538,1.860
attnpool,scissors/scissors,85.291,85.291,0.9350,0.3917,0.0525,1.713
attnpool,scissors/scissors,19.779,19.779,0.9379,0.0608,0.0591,1.762
attnpool,scissors/scissors,89.425,90.575,0.9324,0.4800,0.0384,1.818
attnpool,scissors/scissors,82.021,82.021,0.9420,0.4214,0.0316,1.910
attnpool,scissors/scissors,81.319,81.319,0.9406,0.5268,0.0765,1.837
attnpool,scissors/scissors,70.168,70.168,0.9427,0.3034,0.0282,1.793
attnpool,scissors/scissors,27.854,27.854,0.9337,0.3784,0.0126,1.896
attnpool,scissors/scissors,83.860,83.860,0.9349,0.4208,0.0863,1.782
attnpool,scissors/scissors,62.346,62.346,0.9418,0.3569,0.0834,1.590
attnpool,scissors/scissors,45.903,45.903,0.9308,0.4206,0.0368,1.908
attnpool,scissors/scissors,40.927,40.927,0.9348,0.3990,0.0329,1.798
attnpool,scissors/scissors,80.228,80.228,0.9408,0.3419,0.0085,1.586
attnpool,scissors/scissors,75.184,75.184,0.9382,0.3181,0.0124,1.547
attnpool,scissors/scissors,30.453,30.453,0.9376,0.9916,0.0432,0.723
attnpool,waffleiron/waffleiron,41.596,41.596,0.9295,1.3107,0.0890,0.917
attnpool,waffleiron/waffleiron,30.953,149.047,0.9264,1.5530,0.1351,0.769
attnpool,waffleiron/waffleiron,47.262,47.262,0.9334,1.1274,0.0387,1.381
attnpool,waffleiron/waffleiron,39.224,140.776,0.9294,0.8348,0.1238,1.357
attnpool,waffleiron/waffleiron,49.390,130.610,0.8934,0.5190,0.0522,1.700
attnpool,waffleiron/waffleiron,14.641,165.359,0.9223,0.9938,0.2163,1.283
attnpool,waffleiron/waffleiron,62.193,62.193,0.9001,1.7805,0.0629,0.205
attnpool,waffleiron/waffleiron,46.813,133.187,0.8980,1.4559,0.1558,0.376
attnpool,waffleiron/waffleiron,89.552,90.448,0.8887,1.4284,0.1236,0.184
attnpool,waffleiron/waffleiron,36.928,143.072,0.8705,1.1454,0.1188,0.722
attnpool,waffleiron/waffleiron,37.746,37.746,0.9171,0.6941,0.0381,1.960
attnpool,waffleiron/waffleiron,44.802,44.802,0.8690,0.7533,0.1207,1.217
attnpool,waffleiron/waffleiron,14.771,14.771,0.8787,1.1490,0.1973,0.187
attnpool,waffleiron/waffleiron,64.523,64.523,0.8589,1.4679,0.1117,0.476
attnpool,waffleiron/waffleiron,4.708,4.708,0.7365,1.0780,0.2242,0.390
attnpool,waffleiron/waffleiron,51.368,51.368,0.7878,1.8352,0.0734,0.120
attnpool,waffleiron/waffleiron,56.771,123.229,0.8647,1.5308,0.0871,0.848
attnpool,waffleiron/waffleiron,58.125,58.125,0.8767,1.2022,0.1074,1.014
attnpool,laptop/laptop,13.746,13.746,0.9480,3.2183,0.0545,0.137
attnpool,laptop/laptop,13.474,13.474,0.9506,3.1756,0.0781,0.143
attnpool,laptop/laptop,17.346,17.346,0.9264,2.8172,0.0114,0.380
attnpool,laptop/laptop,27.954,152.046,0.9503,0.6430,0.0674,1.674
attnpool,laptop/laptop,9.103,9.103,0.9409,2.9036,0.0303,0.176
attnpool,laptop/laptop,27.189,152.811,0.9518,0.5061,0.0771,1.725
attnpool,laptop/laptop,18.038,18.038,0.9297,2.4792,0.0117,0.594
attnpool,laptop/laptop,26.890,26.890,0.9406,2.3553,0.0552,0.848
attnpool,laptop/laptop,39.618,140.382,0.9425,1.8650,0.0733,0.528
attnpool,laptop/laptop,19.725,19.725,0.9441,2.8325,0.0313,0.424
attnpool,laptop/laptop,31.078,31.078,0.9454,2.3785,0.0235,0.338
attnpool,laptop/laptop,25.167,154.833,0.9633,1.9192,0.0616,0.973
attnpool,laptop/laptop,21.787,21.787,0.9393,2.3606,0.0094,0.818
attnpool,laptop/laptop,33.365,33.365,0.9352,2.4779,0.0437,0.243
attnpool,laptop/laptop,34.823,145.177,0.9575,1.8404,0.0557,1.398
attnpool,laptop/laptop,29.828,29.828,0.9281,2.9709,0.0517,0.252
attnpool,laptop/laptop,26.228,26.228,0.9427,1.8404,0.0996,1.244
attnpool,box/box,53.413,53.413,0.9396,1.1228,0.3155,1.588
attnpool,box/box,29.788,29.788,0.9526,0.5950,0.0399,1.819
attnpool,box/box,28.678,151.322,0.9447,1.0925,0.0057,1.334
attnpool,box/box,14.947,14.947,0.9490,0.6519,0.1493,1.654
attnpool,box/box,27.228,152.772,0.9438,0.6263,0.0644,1.422
attnpool,box/box,18.450,18.450,0.9378,0.7654,0.0993,1.861
attnpool,box/box,15.488,164.512,0.9427,0.7585,0.0931,1.413
attnpool,box/box,36.685,36.685,0.9406,0.8893,0.1603,1.735
attnpool,box/box,14.284,14.284,0.9421,0.7041,0.0693,1.642
attnpool,box/box,29.275,29.275,0.9511,0.6738,0.0275,1.785
attnpool,box/box,28.867,151.133,0.9448,0.7251,0.0036,1.439
attnpool,notebook/notebook,21.044,21.044,0.9229,0.8692,0.1389,0.652
attnpool,notebook/notebook,33.336,33.336,0.9020,0.5543,0.3096,0.823
