model,object,axis_unsigned_deg,axis_signed_deg,p_rev,radius_m,hinge_offset_frac,z_p
20260913_joint4_decoder_l2anchor_dense,capsulemachine/capsulemachine,54.121,54.121,0.9375,2.1492,0.0591,0.572
20260913_joint4_decoder_l2anchor_dense,capsulemachine/capsulemachine,41.399,41.399,0.9344,2.2077,0.0776,1.040
20260913_joint4_decoder_l2anchor_dense,capsulemachine/capsulemachine,22.757,22.757,0.9437,0.2020,0.1601,2.433
20260913_joint4_decoder_l2anchor_dense,capsulemachine/capsulemachine,79.114,79.114,0.9502,1.0031,0.0475,0.826
20260913_joint4_decoder_l2anchor_dense,capsulemachine/capsulemachine,75.021,75.021,0.9285,1.7176,0.0725,2.604
20260913_joint4_decoder_l2anchor_dense,capsulemachine/capsulemachine,60.120,60.120,0.9560,0.6205,0.0690,1.938
20260913_joint4_decoder_l2anchor_dense,capsulemachine/capsulemachine,43.592,43.592,0.9453,2.5556,0.0190,0.836
20260913_joint4_decoder_l2anchor_dense,capsulemachine/capsulemachine,33.200,33.200,0.9513,1.7809,0.0697,2.690
20260913_joint4_decoder_l2anchor_dense,capsulemachine/capsulemachine,6.160,6.160,0.9434,2.1842,0.0360,0.917
20260913_joint4_decoder_l2anchor_dense,capsulemachine/capsulemachine,32.296,32.296,0.9500,1.4822,0.2261,2.525
20260913_joint4_decoder_l2anchor_dense,capsulemachine/capsulemachine,87.264,87.264,0.9507,1.5983,0.0417,0.739
20260913_joint4_decoder_l2anchor_dense,capsulemachine/capsulemachine,25.306,25.306,0.9491,0.2511,0.3253,2.243
20260913_joint4_decoder_l2anchor_dense,capsulemachine/capsulemachine,40.783,40.783,0.9461,2.2589,0.1584,1.000
20260913_joint4_decoder_l2anchor_dense,capsulemachine/capsulemachine,17.643,17.643,0.9419,0.8678,0.1072,2.679
20260913_joint4_decoder_l2anchor_dense,scissors/scissors,75.552,75.552,0.9383,0.2272,0.0967,1.108
20260913_joint4_decoder_l2anchor_dense,scissors/scissors,85.537,85.537,0.9255,0.4212,0.0273,1.061
