model,object,axis_unsigned_deg,axis_signed_deg,p_rev,radius_m,hinge_offset_frac,z_p,verb,hinge_point_offset_frac
dense,capsulemachine/capsulemachine,54.121,54.121,0.9375,2.1492,0.0591,0.572,open,0.8673
dense,capsulemachine/capsulemachine,41.399,41.399,0.9344,2.2077,0.0776,1.040,open,0.4792
dense,capsulemachine/capsulemachine,22.757,157.243,0.9437,0.2020,0.1601,2.433,close,0.1697
dense,capsulemachine/capsulemachine,79.114,79.114,0.9502,1.0031,0.0475,0.826,open,0.6066
dense,capsulemachine/capsulemachine,75.021,104.979,0.9285,1.7176,0.0725,2.604,close,0.1540
dense,capsulemachine/capsulemachine,60.120,119.880,0.9560,0.6205,0.0690,1.938,close,0.3141
dense,capsulemachine/capsulemachine,43.592,43.592,0.9453,2.5556,0.0190,0.836,open,0.0847
dense,capsulemachine/capsulemachine,33.200,146.800,0.9513,1.7809,0.0697,2.690,close,0.2175
dense,capsulemachine/capsulemachine,6.160,6.160,0.9434,2.1842,0.0360,0.917,open,0.4376
dense,capsulemachine/capsulemachine,32.296,147.704,0.9500,1.4822,0.2261,2.525,close,0.6433
dense,capsulemachine/capsulemachine,87.264,87.264,0.9507,1.5983,0.0417,0.739,open,1.7641
dense,capsulemachine/capsulemachine,25.306,154.694,0.9491,0.2511,0.3253,2.243,close,0.1554
dense,capsulemachine/capsulemachine,40.783,40.783,0.9461,2.2589,0.1584,1.000,open,0.4100
dense,capsulemachine/capsulemachine,17.643,162.357,0.9419,0.8678,0.1072,2.679,close,0.1102
dense,scissors/scissors,75.552,104.448,0.9383,0.2272,0.0967,1.108,close,0.3618
dense,scissors/scissors,85.537,85.537,0.9255,0.4212,0.0273,1.061,open,0.3643
dense,scissors/scissors,24.282,155.718,0.9467,0.3862,0.0369,1.250,close,0.2641
dense,scissors/scissors,36.066,36.066,0.9372,0.4584,0.0348,1.029,open,0.3966
dense,scissors/scissors,80.260,80.260,0.9402,0.2589,0.1532,1.387,close,0.1279
dense,scissors/scissors,87.013,92.987,0.9240,0.1172,0.0009,1.178,open,0.0897
dense,scissors/scissors,66.850,66.850,0.9370,0.3053,0.1351,1.181,close,0.1565
dense,scissors/scissors,66.242,113.758,0.9445,0.1901,0.1363,1.289,close,0.0721
dense,scissors/scissors,17.505,162.495,0.9499,0.2179,0.0682,1.546,close,0.1058
dense,scissors/scissors,38.345,141.655,0.9489,0.0367,0.1229,1.279,close,0.1817
dense,scissors/scissors,43.692,43.692,0.9367,0.1910,0.0324,1.020,open,0.2873
dense,scissors/scissors,23.494,156.506,0.9478,0.0853,0.1527,1.258,close,0.1788
dense,scissors/scissors,26.809,153.191,0.9463,0.0611,0.1612,1.411,close,0.1798
dense,scissors/scissors,12.400,167.600,0.9484,0.1926,0.1088,1.398,close,0.1511
dense,scissors/scissors,57.141,122.859,0.9275,0.7816,0.1553,0.922,open,0.4182
dense,scissors/scissors,65.780,114.220,0.9530,0.7558,0.2238,1.578,close,0.3237
dense,scissors/scissors,53.525,53.525,0.9269,0.2487,0.0944,1.319,open,0.2646
dense,scissors/scissors,76.202,76.202,0.9412,0.1422,0.1130,1.358,close,0.0398
dense,scissors/scissors,85.915,85.915,0.9436,0.4465,0.0142,1.163,open,0.3495
dense,scissors/scissors,83.038,83.038,0.9441,0.2387,0.1761,1.211,close,0.1104
dense,scissors/scissors,78.667,78.667,0.9448,0.3883,0.2219,1.224,close,0.2565
dense,scissors/scissors,80.386,80.386,0.9428,0.2959,0.1917,1.137,close,0.1913
dense,scissors/scissors,80.355,99.645,0.9454,0.2015,0.0668,1.256,close,0.0597
dense,scissors/scissors,79.677,79.677,0.9327,0.2493,0.0512,1.348,close,0.0546
dense,scissors/scissors,72.686,72.686,0.9326,0.1556,0.0709,1.434,close,0.0575
dense,scissors/scissors,88.043,88.043,0.9436,0.1370,0.0619,1.337,close,0.0310
dense,scissors/scissors,60.267,119.733,0.9417,0.1315,0.1166,1.292,close,0.0355
dense,scissors/scissors,89.910,90.090,0.9412,0.2027,0.1491,1.119,close,0.1488
dense,scissors/scissors,78.828,78.828,0.9316,0.2232,0.0908,1.385,close,0.0090
dense,scissors/scissors,66.390,66.390,0.9362,0.1914,0.1654,1.273,close,0.0844
dense,scissors/scissors,72.506,107.494,0.9245,0.4092,0.1214,1.176,open,0.3943
dense,waffleiron/waffleiron,40.797,40.797,0.9349,3.2826,0.1743,0.117,open,0.7004
