model,key,category,gt_type,moving,axis_unsigned_deg,axis_signed_deg,p_rev,type_ok,gt_hinge_to_point_frac
sf3d_only,P01_03/P01_03_27,P01,rot,,73.7271,106.2729,0.1282,0,0.4161
sf3d_only,P01_03/P01_03_4,P01,rot,,22.5083,22.5083,0.9334,1,0.7669
sf3d_only,P02_07/P02_07_25,P02,rot,,26.8079,153.1921,0.9329,1,0.0693
sf3d_only,P02_07/P02_07_47,P02,trans,,25.2167,154.7833,0.0650,1,nan
sf3d_only,P02_09/P02_09_153,P02,trans,,22.9753,22.9753,0.0554,1,nan
sf3d_only,P02_09/P02_09_163,P02,rot,,26.0244,26.0244,0.8313,1,0.2666
sf3d_only,P02_09/P02_09_168,P02,rot,,31.7592,148.2408,0.1304,0,0.5991
sf3d_only,P02_09/P02_09_187,P02,rot,,24.3886,155.6114,0.9253,1,0.2865
sf3d_only,P02_09/P02_09_20,P02,trans,,17.5862,17.5862,0.1201,1,nan
sf3d_only,P02_09/P02_09_262,P02,trans,,16.4262,16.4262,0.0969,1,nan
sf3d_only,P02_09/P02_09_277,P02,rot,,46.1079,133.8921,0.9438,1,0.2732
sf3d_only,P02_09/P02_09_387,P02,trans,,25.5175,25.5175,0.0728,1,nan
sf3d_only,P02_121/P02_121_43,P02,trans,,27.0224,27.0224,0.0693,1,nan
sf3d_only,P02_121/P02_121_44,P02,trans,,25.2229,25.2229,0.0923,1,nan
sf3d_only,P02_121/P02_121_45,P02,trans,,40.4720,139.5280,0.1064,1,nan
sf3d_only,P02_121/P02_121_57,P02,trans,,26.8699,26.8699,0.0637,1,nan
sf3d_only,P02_121/P02_121_58,P02,trans,,14.5739,14.5739,0.0688,1,nan
sf3d_only,P02_121/P02_121_95,P02,rot,,55.1335,124.8665,0.9565,1,0.0682
sf3d_only,P04_33/P04_33_18,P04,trans,,20.1298,20.1298,0.0537,1,nan
sf3d_only,P06_05/P06_05_125,P06,rot,,68.1934,68.1934,0.9174,1,0.1936
sf3d_only,P06_05/P06_05_138,P06,rot,,62.5309,62.5309,0.7851,1,0.2788
sf3d_only,P06_05/P06_05_176,P06,rot,,74.9276,74.9276,0.9439,1,0.2034
sf3d_only,P06_05/P06_05_215,P06,rot,,87.4509,92.5491,0.9487,1,0.2725
sf3d_only,P06_05/P06_05_48,P06,rot,,83.4339,83.4339,0.9497,1,0.2179
sf3d_only,P06_05/P06_05_59,P06,rot,,67.9644,67.9644,0.9037,1,0.3638
sf3d_only,P08_17/P08_17_117,P08,rot,,49.1227,49.1227,0.1207,0,0.0620
sf3d_only,P08_17/P08_17_99,P08,trans,,16.9071,16.9071,0.0584,1,nan
sf3d_only,P11_103/P11_103_45,P11,trans,,14.2203,14.2203,0.0624,1,nan
sf3d_only,P11_103/P11_103_64,P11,trans,,79.9882,79.9882,0.0989,1,nan
sf3d_only,P11_103/P11_103_66,P11,trans,,39.9434,39.9434,0.0640,1,nan
sf3d_only,P11_104/P11_104_186,P11,trans,,16.7443,16.7443,0.0729,1,nan
sf3d_only,P11_104/P11_104_96,P11,trans,,38.3904,38.3904,0.0916,1,nan
sf3d_only,P12_02/P12_02_127,P12,rot,,66.3531,113.6469,0.8307,1,0.4080
sf3d_only,P12_02/P12_02_18,P12,trans,,30.8806,30.8806,0.0885,1,nan
sf3d_only,P18_02/P18_02_26,P18,rot,,14.0451,165.9549,0.9557,1,0.3450
sf3d_only,P18_02/P18_02_28,P18,rot,,89.4543,90.5457,0.6600,1,0.2515
sf3d_only,P20_03/P20_03_15,P20,rot,,58.1134,121.8866,0.8570,1,0.5268
sf3d_only,P20_03/P20_03_54,P20,rot,,28.2711,28.2711,0.9084,1,0.2847
sf3d_only,P22_107/P22_107_148,P22,trans,,71.7534,71.7534,0.1094,1,nan
sf3d_only,P22_107/P22_107_225,P22,trans,,89.8132,89.8132,0.0848,1,nan
sf3d_only,P22_107/P22_107_226,P22,trans,,20.5731,20.5731,0.0516,1,nan
sf3d_only,P22_107/P22_107_227,P22,trans,,45.4011,45.4011,0.0745,1,nan
sf3d_only,P22_107/P22_107_39,P22,trans,,84.7302,95.2698,0.0674,1,nan
sf3d_only,P22_107/P22_107_50,P22,rot,,16.8820,163.1180,0.9469,1,0.1400
sf3d_only,P22_107/P22_107_55,P22,rot,,9.5669,9.5669,0.9385,1,0.3501
sf3d_only,P24_05/P24_05_109,P24,rot,,32.4847,147.5153,0.9139,1,0.1610
sf3d_only,P24_05/P24_05_48,P24,rot,,17.8407,17.8407,0.9083,1,0.1257
sf3d_only,P24_08/P24_08_113,P24,rot,,23.0878,156.9122,0.9099,1,0.2245
sf3d_only,P24_08/P24_08_168,P24,rot,,48.2487,131.7513,0.9140,1,0.7616
sf3d_only,P24_08/P24_08_174,P24,rot,,16.2957,16.2957,0.9168,1,0.0783
sf3d_only,P24_08/P24_08_30,P24,rot,,34.5975,145.4025,0.9041,1,0.2409
