model,source,key,gt_type,p_rev,type_ok,point_err,end_err,disp_err,gt_len,mask_iou
sf3d_only,hoi4d,ZY20210800001_H1_C14_N25/S158_s03_T1_w0_f056,0,0.0775,1,0.09809,0.14662,0.22474,0.01641,0.6389
noproj,hoi4d,ZY20210800001_H1_C14_N25/S158_s03_T1_w0_f056,0,0.0584,1,0.00647,0.21021,0.20418,0.01641,0.8057
dense,hoi4d,ZY20210800001_H1_C14_N25/S158_s03_T1_w0_f056,0,0.0554,1,0.00196,0.01117,0.01311,0.01641,0.6784
sf3d_only,hoi4d,ZY20210800001_H1_C14_N25/S158_s03_T1_w1_f064,1,0.0787,0,0.04914,0.44540,0.43546,0.16054,0.0793
noproj,hoi4d,ZY20210800001_H1_C14_N25/S158_s03_T1_w1_f064,1,0.9459,1,0.00522,0.20243,0.20505,0.16054,0.8370
dense,hoi4d,ZY20210800001_H1_C14_N25/S158_s03_T1_w1_f064,1,0.9307,1,0.01235,0.03506,0.04396,0.16054,0.7696
sf3d_only,hoi4d,ZY20210800001_H1_C14_N25/S158_s03_T1_w2_f088,1,0.0424,0,0.16267,0.17485,0.01237,0.16971,0.0000
noproj,hoi4d,ZY20210800001_H1_C14_N25/S158_s03_T1_w2_f088,1,0.9513,1,0.00602,0.23677,0.23082,0.16971,0.8478
dense,hoi4d,ZY20210800001_H1_C14_N25/S158_s03_T1_w2_f088,1,0.9569,1,0.01734,0.02353,0.01559,0.16971,0.6167
sf3d_only,hoi4d,ZY20210800001_H1_C14_N25/S158_s03_T1_w3_f185,0,0.0463,1,0.07979,0.26779,0.20469,0.01117,0.0433
noproj,hoi4d,ZY20210800001_H1_C14_N25/S158_s03_T1_w3_f185,0,0.0631,1,0.00088,0.14972,0.15059,0.01117,0.7507
dense,hoi4d,ZY20210800001_H1_C14_N25/S158_s03_T1_w3_f185,0,0.0559,1,0.00208,0.01606,0.01404,0.01117,0.6722
sf3d_only,hoi4d,ZY20210800001_H1_C14_N25/S158_s03_T1_w4_f195,1,0.0637,0,0.16839,0.49570,0.33224,0.13501,0.0000
noproj,hoi4d,ZY20210800001_H1_C14_N25/S158_s03_T1_w4_f195,1,0.9363,1,0.01155,0.14591,0.15334,0.13501,0.7476
dense,hoi4d,ZY20210800001_H1_C14_N25/S158_s03_T1_w4_f195,1,0.9447,1,0.00947,0.00688,0.00878,0.13501,0.7079
sf3d_only,hoi4d,ZY20210800001_H1_C14_N25/S158_s03_T1_w5_f214,1,0.0639,0,0.15863,0.21678,0.06693,0.16262,0.0000
noproj,hoi4d,ZY20210800001_H1_C14_N25/S158_s03_T1_w5_f214,1,0.9443,1,0.00366,0.22975,0.22652,0.16262,0.8060
dense,hoi4d,ZY20210800001_H1_C14_N25/S158_s03_T1_w5_f214,1,0.9675,1,0.01797,0.02972,0.01237,0.16262,0.6731
sf3d_only,hoi4d,ZY20210800001_H1_C14_N25/S209_s03_T2_w0_f052,1,0.0386,0,0.16488,0.24125,0.40578,0.14352,0.0000
noproj,hoi4d,ZY20210800001_H1_C14_N25/S209_s03_T2_w0_f052,1,0.9461,1,0.00825,0.11809,0.12435,0.14352,0.7181
dense,hoi4d,ZY20210800001_H1_C14_N25/S209_s03_T2_w0_f052,1,0.9312,1,0.03903,0.01244,0.04030,0.14352,0.5754
sf3d_only,hoi4d,ZY20210800001_H1_C14_N25/S209_s03_T2_w1_f082,1,0.0525,0,0.07259,0.10169,0.14210,0.12702,0.0000
noproj,hoi4d,ZY20210800001_H1_C14_N25/S209_s03_T2_w1_f082,1,0.9475,1,0.00505,0.17343,0.17553,0.12702,0.7397
dense,hoi4d,ZY20210800001_H1_C14_N25/S209_s03_T2_w1_f082,1,0.9333,1,0.01025,0.01015,0.00374,0.12702,0.4474
sf3d_only,hoi4d,ZY20210800001_H1_C14_N25/S209_s03_T2_w2_f166,1,0.0608,0,0.28252,0.15410,0.42320,0.15359,0.0000
noproj,hoi4d,ZY20210800001_H1_C14_N25/S209_s03_T2_w2_f166,1,0.9483,1,0.01278,0.18338,0.17278,0.15359,0.7694
dense,hoi4d,ZY20210800001_H1_C14_N25/S209_s03_T2_w2_f166,1,0.9358,1,0.01070,0.05810,0.04901,0.15359,0.6277
sf3d_only,hoi4d,ZY20210800001_H1_C14_N25/S367_s01_T2_w0_f050,1,0.0469,0,0.13874,0.33997,0.39618,0.16328,0.0136
