model,key,category,gt_type,moving,axis_unsigned_deg,axis_signed_deg,p_rev,type_ok,gt_hinge_to_point_frac
sf3d_only,ZY20210800001_H1_C14_N25/S158_s03_T1_w0_f056,C14,rot,Dustbincover,72.5184,107.4816,0.0775,0,0.0750
sf3d_only,ZY20210800001_H1_C14_N25/S158_s03_T1_w1_f064,C14,rot,Dustbincover,83.9253,83.9253,0.0787,0,0.0819
sf3d_only,ZY20210800001_H1_C14_N25/S158_s03_T1_w2_f088,C14,rot,Dustbincover,74.2049,74.2049,0.0424,0,0.0608
sf3d_only,ZY20210800001_H1_C14_N25/S158_s03_T1_w3_f185,C14,rot,Dustbincover,32.5705,147.4295,0.0463,0,0.0664
sf3d_only,ZY20210800001_H1_C14_N25/S158_s03_T1_w4_f195,C14,rot,Dustbincover,84.6199,95.3801,0.0637,0,0.0519
sf3d_only,ZY20210800001_H1_C14_N25/S158_s03_T1_w5_f214,C14,rot,Dustbincover,89.2600,89.2600,0.0639,0,0.1119
sf3d_only,ZY20210800001_H1_C14_N25/S209_s03_T2_w0_f052,C14,rot,Dustbincover,87.1658,92.8342,0.0386,0,0.0619
sf3d_only,ZY20210800001_H1_C14_N25/S209_s03_T2_w1_f082,C14,rot,Dustbincover,86.1536,93.8464,0.0525,0,0.1129
sf3d_only,ZY20210800001_H1_C14_N25/S209_s03_T2_w2_f166,C14,rot,Dustbincover,84.2343,84.2343,0.0608,0,0.0933
sf3d_only,ZY20210800001_H1_C14_N25/S367_s01_T2_w0_f050,C14,rot,Dustbincover,89.9869,90.0131,0.0469,0,0.0698
sf3d_only,ZY20210800001_H1_C14_N26/S333_s01_T1_w0_f069,C14,rot,Dustbincover,77.7968,102.2032,0.0382,0,0.0539
sf3d_only,ZY20210800001_H1_C14_N26/S333_s01_T1_w1_f105,C14,rot,Dustbincover,64.1063,64.1063,0.0372,0,0.0708
sf3d_only,ZY20210800001_H1_C14_N26/S333_s01_T1_w2_f207,C14,rot,Dustbincover,88.4882,91.5118,0.0533,0,0.0582
sf3d_only,ZY20210800001_H1_C14_N26/S333_s01_T1_w3_f237,C14,rot,Dustbincover,76.4219,76.4219,0.0457,0,0.0712
sf3d_only,ZY20210800001_H1_C14_N26/S333_s02_T2_w0_f060,C14,rot,Dustbincover,80.8286,80.8286,0.0621,0,0.0472
sf3d_only,ZY20210800001_H1_C14_N26/S333_s02_T2_w1_f087,C14,rot,Dustbincover,63.0589,63.0589,0.0439,0,0.0561
sf3d_only,ZY20210800001_H1_C14_N26/S333_s02_T2_w2_f176,C14,rot,Dustbincover,71.0422,71.0422,0.0734,0,0.0606
sf3d_only,ZY20210800001_H1_C14_N31/S155_s02_T1_w0_f051,C14,rot,Dustbincover,79.6936,100.3064,0.0477,0,0.0542
sf3d_only,ZY20210800001_H1_C14_N31/S155_s02_T1_w1_f059,C14,rot,Dustbincover,83.7311,83.7311,0.0476,0,0.0464
sf3d_only,ZY20210800001_H1_C14_N31/S155_s02_T1_w2_f097,C14,rot,Dustbincover,88.5710,91.4290,0.0613,0,0.0924
sf3d_only,ZY20210800001_H1_C14_N31/S155_s02_T1_w3_f201,C14,rot,Dustbincover,44.2109,135.7891,0.0449,0,0.1718
sf3d_only,ZY20210800001_H1_C14_N31/S155_s02_T1_w4_f209,C14,rot,Dustbincover,89.4388,90.5612,0.0515,0,0.1110
sf3d_only,ZY20210800001_H1_C14_N31/S155_s02_T1_w5_f241,C14,rot,Dustbincover,87.2960,87.2960,0.0436,0,0.0815
sf3d_only,ZY20210800001_H1_C14_N31/S207_s02_T2_w0_f067,C14,rot,Dustbincover,77.4282,102.5718,0.0474,0,0.0510
sf3d_only,ZY20210800001_H1_C14_N31/S207_s02_T2_w1_f092,C14,rot,Dustbincover,54.6634,54.6634,0.0404,0,0.0814
sf3d_only,ZY20210800001_H1_C14_N31/S207_s02_T2_w2_f184,C14,rot,Dustbincover,58.0973,58.0973,0.6615,1,0.0614
sf3d_only,ZY20210800001_H1_C14_N39/S155_s04_T1_w0_f039,C14,rot,Dustbincover,76.1892,103.8108,0.0467,0,0.1576
sf3d_only,ZY20210800001_H1_C14_N39/S155_s04_T1_w1_f047,C14,rot,Dustbincover,87.3407,87.3407,0.0483,0,0.1528
sf3d_only,ZY20210800001_H1_C14_N39/S155_s04_T1_w2_f085,C14,rot,Dustbincover,81.3984,81.3984,0.0413,0,0.0688
sf3d_only,ZY20210800001_H1_C14_N39/S155_s04_T1_w3_f190,C14,trans,Dustbincover,74.2082,74.2082,0.0497,1,nan
