model,idx,key,gt_type,pred_type,p_rev,axis_signed_deg,axis_unsigned_deg,origin_line_err_m,origin_qstar_err_m,point3d_err_m,point2d_err_frac,mask_iou,z_p_m,radius_m
dense,0,420693/42445168/7953.145/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,0.0531,1.6845,1.6845,nan,nan,0.2271,0.0260,0.3115,2.5881,0.6355
l2anchor,0,420693/42445168/7953.145/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,0.0549,5.4050,5.4050,nan,nan,0.2656,0.0292,0.3758,2.6270,0.2668
sf3d_only,0,420693/42445168/7953.145/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,0.0520,5.5135,5.5135,nan,nan,0.0821,0.0334,0.3270,2.3406,0.5642
directloss,0,420693/42445168/7953.145/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,0.0503,6.8507,6.8507,nan,nan,0.1141,0.0266,0.5509,2.4692,0.4160
sampledtraj,0,420693/42445168/7953.145/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,0.0524,3.9397,3.9397,nan,nan,0.1095,0.0289,0.3957,2.2872,1.5142
dense,1,420693/42445168/7953.245/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,0.0504,3.0326,3.0326,nan,nan,0.2600,0.0396,0.0543,2.5624,0.6385
l2anchor,1,420693/42445168/7953.245/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,0.0558,6.8266,6.8266,nan,nan,0.2457,0.0350,0.3284,2.5492,0.3055
sf3d_only,1,420693/42445168/7953.245/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,0.0505,4.6047,4.6047,nan,nan,0.0970,0.0396,0.1760,2.2807,0.5816
directloss,1,420693/42445168/7953.245/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,0.0501,7.3178,7.3178,nan,nan,0.0975,0.0285,0.4336,2.3917,0.4306
sampledtraj,1,420693/42445168/7953.245/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,0.0533,3.7120,3.7120,nan,nan,0.1694,0.0336,0.3426,2.1716,1.4794
dense,2,420693/42445168/7953.345/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,0.0515,4.1614,4.1614,nan,nan,0.2890,0.0266,0.0000,2.5543,0.6240
l2anchor,2,420693/42445168/7953.345/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,0.0535,6.2067,6.2067,nan,nan,0.3862,0.0299,0.3121,2.6513,0.3206
sf3d_only,2,420693/42445168/7953.345/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,0.0503,4.9015,4.9015,nan,nan,0.0777,0.0343,0.2023,2.2909,0.5337
