model,object,axis_unsigned_deg,axis_signed_deg,p_rev,radius_m,hinge_offset_frac,z_p
20260913_joint4_decoder_l2anchor_dense_d2d,capsulemachine/capsulemachine,61.191,118.809,0.8125,1.5653,0.0011,2.655
20260913_joint4_decoder_l2anchor_dense_d2d,capsulemachine/capsulemachine,27.878,152.122,0.9561,1.5259,0.0495,2.228
20260913_joint4_decoder_l2anchor_dense_d2d,capsulemachine/capsulemachine,64.632,115.368,0.9054,1.4313,0.0482,2.845
20260913_joint4_decoder_l2anchor_dense_d2d,capsulemachine/capsulemachine,42.775,137.225,0.8135,1.7014,0.0160,2.208
20260913_joint4_decoder_l2anchor_dense_d2d,capsulemachine/capsulemachine,8.252,171.748,0.9329,0.5889,0.0216,2.368
20260913_joint4_decoder_l2anchor_dense_d2d,capsulemachine/capsulemachine,70.462,70.462,0.9294,1.2191,0.0296,2.006
20260913_joint4_decoder_l2anchor_dense_d2d,capsulemachine/capsulemachine,71.510,108.490,0.9516,1.2272,0.0720,2.071
20260913_joint4_decoder_l2anchor_dense_d2d,capsulemachine/capsulemachine,86.819,86.819,0.9250,1.7403,0.1231,2.489
20260913_joint4_decoder_l2anchor_dense_d2d,capsulemachine/capsulemachine,32.466,147.534,0.9083,1.8392,0.0339,2.382
20260913_joint4_decoder_l2anchor_dense_d2d,capsulemachine/capsulemachine,59.037,59.037,0.9429,1.0945,0.2719,1.841
20260913_joint4_decoder_l2anchor_dense_d2d,capsulemachine/capsulemachine,44.697,44.697,0.8058,1.3228,0.2934,2.722
20260913_joint4_decoder_l2anchor_dense_d2d,capsulemachine/capsulemachine,51.000,129.000,0.8881,1.4828,0.0398,2.360
20260913_joint4_decoder_l2anchor_dense_d2d,capsulemachine/capsulemachine,46.153,133.847,0.8599,1.8565,0.1345,2.448
20260913_joint4_decoder_l2anchor_dense_d2d,capsulemachine/capsulemachine,80.193,99.807,0.8787,0.9564,0.2426,2.423
20260913_joint4_decoder_l2anchor_dense_d2d,scissors/scissors,15.004,164.996,0.9151,0.3871,0.0028,1.463
20260913_joint4_decoder_l2anchor_dense_d2d,scissors/scissors,45.384,134.616,0.9217,0.2601,0.0130,1.289
20260913_joint4_decoder_l2anchor_dense_d2d,scissors/scissors,39.461,140.539,0.9330,0.3548,0.0121,1.285
20260913_joint4_decoder_l2anchor_dense_d2d,scissors/scissors,12.087,167.913,0.9275,0.2521,0.0011,1.036
20260913_joint4_decoder_l2anchor_dense_d2d,scissors/scissors,39.077,140.923,0.9256,0.5213,0.0139,1.322
20260913_joint4_decoder_l2anchor_dense_d2d,scissors/scissors,41.296,138.704,0.9196,0.2683,0.0289,1.130
20260913_joint4_decoder_l2anchor_dense_d2d,scissors/scissors,49.966,130.034,0.9230,0.6592,0.0067,1.332
20260913_joint4_decoder_l2anchor_dense_d2d,scissors/scissors,14.092,165.908,0.9356,0.4488,0.0184,1.299
20260913_joint4_decoder_l2anchor_dense_d2d,scissors/scissors,73.588,106.412,0.9337,0.3341,0.0104,1.347
20260913_joint4_decoder_l2anchor_dense_d2d,scissors/scissors,87.151,87.151,0.9358,0.1364,0.0015,1.331
20260913_joint4_decoder_l2anchor_dense_d2d,scissors/scissors,4.601,175.399,0.9353,0.1408,0.0160,1.134
20260913_joint4_decoder_l2anchor_dense_d2d,scissors/scissors,69.387,110.613,0.9369,0.1177,0.0052,1.270
20260913_joint4_decoder_l2anchor_dense_d2d,scissors/scissors,49.630,130.370,0.9336,0.2273,0.0074,1.205
20260913_joint4_decoder_l2anchor_dense_d2d,scissors/scissors,48.512,131.488,0.9294,0.2875,0.0131,1.265
20260913_joint4_decoder_l2anchor_dense_d2d,scissors/scissors,50.674,129.326,0.9243,0.1929,0.0231,1.130
20260913_joint4_decoder_l2anchor_dense_d2d,scissors/scissors,60.991,60.991,0.9358,0.1884,0.0526,1.352
20260913_joint4_decoder_l2anchor_dense_d2d,scissors/scissors,17.599,162.401,0.9383,0.1807,0.0328,1.112
20260913_joint4_decoder_l2anchor_dense_d2d,scissors/scissors,46.422,133.578,0.9247,0.4976,0.0318,1.132
20260913_joint4_decoder_l2anchor_dense_d2d,scissors/scissors,70.284,109.716,0.9205,0.5083,0.0089,1.149
20260913_joint4_decoder_l2anchor_dense_d2d,scissors/scissors,7.299,172.701,0.9445,0.2430,0.0084,1.147
20260913_joint4_decoder_l2anchor_dense_d2d,scissors/scissors,81.389,98.611,0.9388,0.1125,0.0611,1.184
20260913_joint4_decoder_l2anchor_dense_d2d,scissors/scissors,76.899,103.101,0.9416,0.1208,0.0410,1.145
20260913_joint4_decoder_l2anchor_dense_d2d,scissors/scissors,37.217,142.783,0.9389,0.4397,0.0260,1.139
20260913_joint4_decoder_l2anchor_dense_d2d,scissors/scissors,69.885,110.115,0.9225,0.4975,0.0558,1.234
20260913_joint4_decoder_l2anchor_dense_d2d,scissors/scissors,82.177,97.823,0.9193,0.2910,0.0127,1.579
20260913_joint4_decoder_l2anchor_dense_d2d,scissors/scissors,47.096,132.904,0.9317,0.8275,0.0110,1.414
20260913_joint4_decoder_l2anchor_dense_d2d,scissors/scissors,10.736,169.264,0.9291,0.4127,0.0162,1.243
20260913_joint4_decoder_l2anchor_dense_d2d,scissors/scissors,24.600,155.400,0.9294,0.3898,0.0201,1.140
20260913_joint4_decoder_l2anchor_dense_d2d,scissors/scissors,88.195,88.195,0.9273,0.4178,0.0516,1.366
20260913_joint4_decoder_l2anchor_dense_d2d,scissors/scissors,48.096,131.904,0.9259,0.4838,0.0552,1.191
20260913_joint4_decoder_l2anchor_dense_d2d,scissors/scissors,48.615,131.385,0.9205,0.3257,0.0046,1.227
20260913_joint4_decoder_l2anchor_dense_d2d,waffleiron/waffleiron,56.800,56.800,0.9636,0.3577,0.1057,0.416
20260913_joint4_decoder_l2anchor_dense_d2d,waffleiron/waffleiron,79.609,79.609,0.9568,0.3364,0.1515,1.326
20260913_joint4_decoder_l2anchor_dense_d2d,waffleiron/waffleiron,72.547,72.547,0.9689,0.3556,0.0035,0.354
20260913_joint4_decoder_l2anchor_dense_d2d,waffleiron/waffleiron,65.603,114.397,0.9632,0.3362,0.1639,1.164
20260913_joint4_decoder_l2anchor_dense_d2d,waffleiron/waffleiron,41.077,41.077,0.9461,0.6143,0.1776,1.020
20260913_joint4_decoder_l2anchor_dense_d2d,waffleiron/waffleiron,66.551,66.551,0.9553,0.3281,0.0433,1.213
20260913_joint4_decoder_l2anchor_dense_d2d,waffleiron/waffleiron,46.092,133.908,0.9313,0.3878,0.0486,0.712
