model,object,axis_unsigned_deg,axis_signed_deg,p_rev,radius_m,hinge_offset_frac,z_p
20260913_joint4_decoder_l2anchor_dense_off,capsulemachine/capsulemachine,28.897,151.103,0.9521,1.2239,0.0758,1.979
20260913_joint4_decoder_l2anchor_dense_off,capsulemachine/capsulemachine,8.848,171.152,0.9557,1.1880,0.0322,2.148
20260913_joint4_decoder_l2anchor_dense_off,capsulemachine/capsulemachine,62.948,117.052,0.9133,1.5841,0.0163,0.675
20260913_joint4_decoder_l2anchor_dense_off,capsulemachine/capsulemachine,78.689,101.311,0.9572,0.9249,0.0138,2.344
20260913_joint4_decoder_l2anchor_dense_off,capsulemachine/capsulemachine,67.307,67.307,0.8633,0.8422,0.0306,0.784
20260913_joint4_decoder_l2anchor_dense_off,capsulemachine/capsulemachine,23.945,156.055,0.9565,1.1169,0.0370,0.959
20260913_joint4_decoder_l2anchor_dense_off,capsulemachine/capsulemachine,35.181,144.819,0.9518,0.9113,0.0193,1.957
20260913_joint4_decoder_l2anchor_dense_off,capsulemachine/capsulemachine,21.859,158.141,0.8971,2.1825,0.0439,0.630
20260913_joint4_decoder_l2anchor_dense_off,capsulemachine/capsulemachine,81.101,98.899,0.9569,1.4316,0.0092,2.262
20260913_joint4_decoder_l2anchor_dense_off,capsulemachine/capsulemachine,56.728,123.272,0.9371,2.6354,0.0934,0.355
20260913_joint4_decoder_l2anchor_dense_off,capsulemachine/capsulemachine,42.377,137.623,0.9463,0.4096,0.0616,2.164
20260913_joint4_decoder_l2anchor_dense_off,capsulemachine/capsulemachine,15.404,164.596,0.9456,1.6948,0.0045,0.690
20260913_joint4_decoder_l2anchor_dense_off,capsulemachine/capsulemachine,41.831,138.169,0.9581,1.0837,0.1081,2.061
20260913_joint4_decoder_l2anchor_dense_off,capsulemachine/capsulemachine,39.951,140.049,0.9354,1.1657,0.0742,0.774
20260913_joint4_decoder_l2anchor_dense_off,scissors/scissors,62.429,62.429,0.9387,0.3082,0.0780,1.612
20260913_joint4_decoder_l2anchor_dense_off,scissors/scissors,58.637,58.637,0.9381,0.1633,0.0259,1.487
20260913_joint4_decoder_l2anchor_dense_off,scissors/scissors,62.709,62.709,0.9419,0.1679,0.0372,1.792
20260913_joint4_decoder_l2anchor_dense_off,scissors/scissors,35.460,35.460,0.9403,0.1861,0.1349,1.471
20260913_joint4_decoder_l2anchor_dense_off,scissors/scissors,82.353,82.353,0.9397,0.0090,0.0583,1.169
20260913_joint4_decoder_l2anchor_dense_off,scissors/scissors,66.173,66.173,0.9461,0.2476,0.0483,1.505
20260913_joint4_decoder_l2anchor_dense_off,scissors/scissors,77.684,102.316,0.9402,0.0891,0.0694,1.006
20260913_joint4_decoder_l2anchor_dense_off,scissors/scissors,74.029,74.029,0.9403,0.0470,0.0218,0.991
20260913_joint4_decoder_l2anchor_dense_off,scissors/scissors,47.908,47.908,0.9417,0.3484,0.0212,1.013
