model,object,axis_unsigned_deg,axis_signed_deg,p_rev,radius_m,hinge_offset_frac,z_p
20260913_joint4_decoder_l2anchor_dense_seed7,capsulemachine/capsulemachine,11.066,11.066,0.9568,4.6700,0.0515,0.101
20260913_joint4_decoder_l2anchor_dense_seed7,capsulemachine/capsulemachine,51.889,51.889,0.9427,1.7948,0.0288,0.101
20260913_joint4_decoder_l2anchor_dense_seed7,capsulemachine/capsulemachine,33.497,146.503,0.9552,0.0314,0.1859,0.103
20260913_joint4_decoder_l2anchor_dense_seed7,capsulemachine/capsulemachine,15.059,15.059,0.9187,1.1456,0.0090,0.100
20260913_joint4_decoder_l2anchor_dense_seed7,capsulemachine/capsulemachine,39.665,140.335,0.9369,4.4909,0.0733,0.109
20260913_joint4_decoder_l2anchor_dense_seed7,capsulemachine/capsulemachine,83.782,96.218,0.8738,2.0839,0.0957,0.255
20260913_joint4_decoder_l2anchor_dense_seed7,capsulemachine/capsulemachine,47.724,47.724,0.9073,1.3317,0.0377,0.100
20260913_joint4_decoder_l2anchor_dense_seed7,capsulemachine/capsulemachine,16.011,163.989,0.9520,4.8292,0.0821,0.101
20260913_joint4_decoder_l2anchor_dense_seed7,capsulemachine/capsulemachine,49.800,49.800,0.9523,4.5386,0.1286,0.100
20260913_joint4_decoder_l2anchor_dense_seed7,capsulemachine/capsulemachine,11.734,168.266,0.9308,0.3066,0.1065,0.100
20260913_joint4_decoder_l2anchor_dense_seed7,capsulemachine/capsulemachine,56.162,56.162,0.8875,3.1010,0.0900,0.100
20260913_joint4_decoder_l2anchor_dense_seed7,capsulemachine/capsulemachine,38.010,141.990,0.9350,0.0971,nan,0.101
20260913_joint4_decoder_l2anchor_dense_seed7,capsulemachine/capsulemachine,46.456,46.456,0.9543,1.0813,0.0998,0.100
20260913_joint4_decoder_l2anchor_dense_seed7,capsulemachine/capsulemachine,28.219,151.781,0.9326,2.5491,0.0967,0.120
20260913_joint4_decoder_l2anchor_dense_seed7,scissors/scissors,66.280,113.720,0.9477,0.0547,0.1864,0.585
20260913_joint4_decoder_l2anchor_dense_seed7,scissors/scissors,63.404,63.404,0.9424,0.1816,0.0452,0.569
20260913_joint4_decoder_l2anchor_dense_seed7,scissors/scissors,43.912,136.088,0.9528,0.1905,0.2247,0.600
20260913_joint4_decoder_l2anchor_dense_seed7,scissors/scissors,32.220,32.220,0.9533,0.3439,0.1030,0.499
20260913_joint4_decoder_l2anchor_dense_seed7,scissors/scissors,37.453,142.547,0.9512,0.4410,0.3457,0.952
20260913_joint4_decoder_l2anchor_dense_seed7,scissors/scissors,71.156,108.844,0.9428,0.2720,0.0150,0.647
20260913_joint4_decoder_l2anchor_dense_seed7,scissors/scissors,40.165,139.835,0.9565,0.3546,0.3470,1.112
20260913_joint4_decoder_l2anchor_dense_seed7,scissors/scissors,13.894,166.106,0.9548,0.2228,0.2776,1.085
20260913_joint4_decoder_l2anchor_dense_seed7,scissors/scissors,54.711,125.289,0.9507,0.2103,0.1028,1.116
20260913_joint4_decoder_l2anchor_dense_seed7,scissors/scissors,72.159,107.841,0.9541,0.3263,0.1093,0.643
20260913_joint4_decoder_l2anchor_dense_seed7,scissors/scissors,53.937,53.937,0.9515,0.2679,0.1035,0.454
20260913_joint4_decoder_l2anchor_dense_seed7,scissors/scissors,38.706,141.294,0.9498,0.2047,0.1109,1.182
20260913_joint4_decoder_l2anchor_dense_seed7,scissors/scissors,42.548,137.452,0.9504,0.1115,0.2529,1.151
20260913_joint4_decoder_l2anchor_dense_seed7,scissors/scissors,37.842,142.158,0.9506,0.1333,0.1648,0.893
20260913_joint4_decoder_l2anchor_dense_seed7,scissors/scissors,66.463,113.537,0.9422,0.2789,0.0431,0.694
20260913_joint4_decoder_l2anchor_dense_seed7,scissors/scissors,39.810,39.810,0.9343,0.3748,0.0810,0.694
20260913_joint4_decoder_l2anchor_dense_seed7,scissors/scissors,89.824,89.824,0.9424,0.5273,0.1015,0.524
20260913_joint4_decoder_l2anchor_dense_seed7,scissors/scissors,36.338,143.662,0.9418,0.4203,0.1530,0.895
20260913_joint4_decoder_l2anchor_dense_seed7,scissors/scissors,88.486,91.514,0.9430,0.0224,0.0478,0.607
20260913_joint4_decoder_l2anchor_dense_seed7,scissors/scissors,34.597,145.403,0.9430,0.5955,0.3298,0.574
20260913_joint4_decoder_l2anchor_dense_seed7,scissors/scissors,84.368,95.632,0.9510,0.2191,0.1186,0.781
20260913_joint4_decoder_l2anchor_dense_seed7,scissors/scissors,79.894,100.106,0.9528,0.3432,0.0924,0.571
20260913_joint4_decoder_l2anchor_dense_seed7,scissors/scissors,51.788,128.212,0.9521,0.7778,0.2289,0.599
20260913_joint4_decoder_l2anchor_dense_seed7,scissors/scissors,38.776,141.224,0.9431,0.4794,0.2765,0.677
20260913_joint4_decoder_l2anchor_dense_seed7,scissors/scissors,26.953,153.047,0.9459,1.0202,0.2673,0.634
20260913_joint4_decoder_l2anchor_dense_seed7,scissors/scissors,55.940,124.060,0.9406,0.4473,0.3206,0.866
20260913_joint4_decoder_l2anchor_dense_seed7,scissors/scissors,51.223,128.777,0.9488,0.2200,0.2149,0.924
20260913_joint4_decoder_l2anchor_dense_seed7,scissors/scissors,52.529,127.471,0.9489,0.2407,0.2123,0.641
20260913_joint4_decoder_l2anchor_dense_seed7,scissors/scissors,15.859,164.141,0.9391,0.4466,0.2152,0.881
20260913_joint4_decoder_l2anchor_dense_seed7,scissors/scissors,4.982,175.018,0.9457,0.7216,0.2526,0.480
20260913_joint4_decoder_l2anchor_dense_seed7,scissors/scissors,56.835,123.165,0.9472,0.2682,0.0630,1.237
20260913_joint4_decoder_l2anchor_dense_seed7,waffleiron/waffleiron,20.689,20.689,0.9497,4.8929,0.0493,0.146
20260913_joint4_decoder_l2anchor_dense_seed7,waffleiron/waffleiron,36.274,36.274,0.9484,0.7437,0.0102,1.332
20260913_joint4_decoder_l2anchor_dense_seed7,waffleiron/waffleiron,24.590,24.590,0.9490,4.4374,0.0905,0.163
20260913_joint4_decoder_l2anchor_dense_seed7,waffleiron/waffleiron,68.666,68.666,0.9398,0.4235,0.0902,1.114
20260913_joint4_decoder_l2anchor_dense_seed7,waffleiron/waffleiron,82.549,82.549,0.9312,1.0817,0.3099,0.926
20260913_joint4_decoder_l2anchor_dense_seed7,waffleiron/waffleiron,31.427,31.427,0.9486,0.8878,0.0225,1.484
20260913_joint4_decoder_l2anchor_dense_seed7,waffleiron/waffleiron,32.092,32.092,0.9367,4.2789,0.0483,0.116
20260913_joint4_decoder_l2anchor_dense_seed7,waffleiron/waffleiron,55.896,124.104,0.9415,2.1258,0.2893,0.827
20260913_joint4_decoder_l2anchor_dense_seed7,waffleiron/waffleiron,51.920,51.920,0.9390,1.6456,0.0050,0.290
20260913_joint4_decoder_l2anchor_dense_seed7,waffleiron/waffleiron,58.370,121.630,0.9441,2.1118,0.2323,0.962
20260913_joint4_decoder_l2anchor_dense_seed7,waffleiron/waffleiron,42.589,42.589,0.9455,2.1493,0.1063,0.418
20260913_joint4_decoder_l2anchor_dense_seed7,waffleiron/waffleiron,56.848,56.848,0.9389,0.6211,0.0985,1.526
20260913_joint4_decoder_l2anchor_dense_seed7,waffleiron/waffleiron,41.614,41.614,0.9289,0.7426,0.0666,0.459
20260913_joint4_decoder_l2anchor_dense_seed7,waffleiron/waffleiron,63.932,63.932,0.9450,0.4451,0.1646,0.928
20260913_joint4_decoder_l2anchor_dense_seed7,waffleiron/waffleiron,7.025,7.025,0.9379,0.2225,0.2737,0.749
20260913_joint4_decoder_l2anchor_dense_seed7,waffleiron/waffleiron,25.496,154.504,0.9483,0.9161,0.1704,1.318
20260913_joint4_decoder_l2anchor_dense_seed7,waffleiron/waffleiron,43.163,43.163,0.9318,0.2184,0.0951,0.427
20260913_joint4_decoder_l2anchor_dense_seed7,waffleiron/waffleiron,33.511,33.511,0.9459,1.1069,0.1624,0.511
20260913_joint4_decoder_l2anchor_dense_seed7,laptop/laptop,2.670,2.670,0.9473,1.0222,0.0606,0.125
20260913_joint4_decoder_l2anchor_dense_seed7,laptop/laptop,1.428,1.428,0.9462,2.6966,0.0082,0.113
20260913_joint4_decoder_l2anchor_dense_seed7,laptop/laptop,9.859,9.859,0.9471,1.2037,0.0824,0.792
20260913_joint4_decoder_l2anchor_dense_seed7,laptop/laptop,56.443,123.557,0.9447,1.6933,0.2042,0.611
20260913_joint4_decoder_l2anchor_dense_seed7,laptop/laptop,11.998,11.998,0.9443,0.7990,0.1378,0.140
20260913_joint4_decoder_l2anchor_dense_seed7,laptop/laptop,70.973,109.027,0.9396,0.6902,0.0483,0.904
20260913_joint4_decoder_l2anchor_dense_seed7,laptop/laptop,11.843,11.843,0.9483,1.1809,0.0864,0.562
20260913_joint4_decoder_l2anchor_dense_seed7,laptop/laptop,9.877,9.877,0.9456,1.5633,0.0937,0.187
20260913_joint4_decoder_l2anchor_dense_seed7,laptop/laptop,46.318,133.682,0.9503,3.0829,0.2758,0.307
20260913_joint4_decoder_l2anchor_dense_seed7,laptop/laptop,4.687,4.687,0.9479,1.4639,0.0582,0.171
20260913_joint4_decoder_l2anchor_dense_seed7,laptop/laptop,11.594,11.594,0.9515,1.5924,0.0723,0.396
20260913_joint4_decoder_l2anchor_dense_seed7,laptop/laptop,61.869,118.131,0.9415,0.9745,0.1863,1.614
20260913_joint4_decoder_l2anchor_dense_seed7,laptop/laptop,17.801,17.801,0.9495,1.2536,0.0715,0.142
20260913_joint4_decoder_l2anchor_dense_seed7,laptop/laptop,7.990,7.990,0.9512,1.8216,0.1065,0.517
20260913_joint4_decoder_l2anchor_dense_seed7,laptop/laptop,51.495,128.505,0.9473,2.3588,0.2257,0.983
20260913_joint4_decoder_l2anchor_dense_seed7,laptop/laptop,17.780,17.780,0.9483,1.8668,0.0933,0.531
20260913_joint4_decoder_l2anchor_dense_seed7,laptop/laptop,5.918,5.918,0.9494,1.9277,0.0543,0.183
20260913_joint4_decoder_l2anchor_dense_seed7,box/box,43.062,43.062,0.9379,1.1315,0.1008,0.580
20260913_joint4_decoder_l2anchor_dense_seed7,box/box,18.176,18.176,0.9471,0.5861,0.1005,1.061
20260913_joint4_decoder_l2anchor_dense_seed7,box/box,66.768,113.232,0.9475,0.6091,0.2078,1.129
