model,object,axis_unsigned_deg,axis_signed_deg,p_rev,radius_m,hinge_offset_frac,z_p
20260913_joint4_decoder_l2anchor_mlp1024,capsulemachine/capsulemachine,22.103,157.897,0.9427,2.4001,0.1501,4.649
20260913_joint4_decoder_l2anchor_mlp1024,capsulemachine/capsulemachine,26.954,153.046,0.9460,3.0006,0.1144,4.038
20260913_joint4_decoder_l2anchor_mlp1024,capsulemachine/capsulemachine,58.139,121.861,0.9476,4.0148,0.0164,0.478
20260913_joint4_decoder_l2anchor_mlp1024,capsulemachine/capsulemachine,37.162,142.838,0.9415,2.4244,0.1921,3.770
20260913_joint4_decoder_l2anchor_mlp1024,capsulemachine/capsulemachine,71.217,71.217,0.9501,1.4794,0.0536,1.409
20260913_joint4_decoder_l2anchor_mlp1024,capsulemachine/capsulemachine,73.778,106.222,0.9574,2.7124,0.1411,1.259
20260913_joint4_decoder_l2anchor_mlp1024,capsulemachine/capsulemachine,35.057,144.943,0.9499,2.3631,0.0435,3.338
20260913_joint4_decoder_l2anchor_mlp1024,capsulemachine/capsulemachine,44.343,135.657,0.9518,3.6846,0.0589,0.935
20260913_joint4_decoder_l2anchor_mlp1024,capsulemachine/capsulemachine,23.259,156.741,0.9406,2.7305,0.2793,4.666
20260913_joint4_decoder_l2anchor_mlp1024,capsulemachine/capsulemachine,57.681,122.319,0.9458,4.2755,0.1341,0.895
20260913_joint4_decoder_l2anchor_mlp1024,capsulemachine/capsulemachine,48.738,131.262,0.9562,2.9670,0.3233,4.287
20260913_joint4_decoder_l2anchor_mlp1024,capsulemachine/capsulemachine,28.205,151.795,0.9505,2.5881,0.0817,1.107
20260913_joint4_decoder_l2anchor_mlp1024,capsulemachine/capsulemachine,32.325,147.675,0.9437,2.8608,0.1556,4.962
20260913_joint4_decoder_l2anchor_mlp1024,capsulemachine/capsulemachine,18.472,161.528,0.9490,2.7149,0.1303,2.061
20260913_joint4_decoder_l2anchor_mlp1024,scissors/scissors,73.444,106.556,0.9419,0.8890,0.0240,2.203
20260913_joint4_decoder_l2anchor_mlp1024,scissors/scissors,69.093,69.093,0.9414,0.6768,0.0371,2.211
20260913_joint4_decoder_l2anchor_mlp1024,scissors/scissors,15.054,164.946,0.9409,0.6461,0.1117,1.955
20260913_joint4_decoder_l2anchor_mlp1024,scissors/scissors,89.443,90.557,0.9440,0.4718,0.0193,1.625
20260913_joint4_decoder_l2anchor_mlp1024,scissors/scissors,27.040,152.960,0.9440,0.7059,0.1353,2.158
20260913_joint4_decoder_l2anchor_mlp1024,scissors/scissors,51.526,51.526,0.9422,0.6418,0.0562,1.953
20260913_joint4_decoder_l2anchor_mlp1024,scissors/scissors,65.883,114.117,0.9414,0.2890,0.0165,1.889
20260913_joint4_decoder_l2anchor_mlp1024,scissors/scissors,79.095,100.905,0.9412,0.5556,0.0572,2.007
20260913_joint4_decoder_l2anchor_mlp1024,scissors/scissors,74.826,105.174,0.9449,1.0134,0.0645,2.287
20260913_joint4_decoder_l2anchor_mlp1024,scissors/scissors,74.218,105.782,0.9381,0.7742,0.0613,2.060
20260913_joint4_decoder_l2anchor_mlp1024,scissors/scissors,46.910,46.910,0.9344,0.7512,0.1055,1.844
