model,object,axis_unsigned_deg,axis_signed_deg,p_rev,radius_m,hinge_offset_frac,z_p
20260913_joint4_decoder_l2anchor_query,capsulemachine/capsulemachine,61.047,61.047,0.9415,2.4821,0.0769,0.275
20260913_joint4_decoder_l2anchor_query,capsulemachine/capsulemachine,67.257,67.257,0.9404,4.3794,0.1073,0.423
20260913_joint4_decoder_l2anchor_query,capsulemachine/capsulemachine,46.174,133.826,0.9474,3.9552,0.0334,0.174
20260913_joint4_decoder_l2anchor_query,capsulemachine/capsulemachine,55.122,55.122,0.9404,4.2475,0.0939,0.127
20260913_joint4_decoder_l2anchor_query,capsulemachine/capsulemachine,45.710,45.710,0.9475,1.3268,0.0309,0.348
20260913_joint4_decoder_l2anchor_query,capsulemachine/capsulemachine,89.042,89.042,0.9535,2.9326,0.1459,0.105
20260913_joint4_decoder_l2anchor_query,capsulemachine/capsulemachine,77.035,77.035,0.9355,4.6916,0.1519,0.179
20260913_joint4_decoder_l2anchor_query,capsulemachine/capsulemachine,76.324,103.676,0.9403,3.2693,0.0479,0.108
20260913_joint4_decoder_l2anchor_query,capsulemachine/capsulemachine,84.687,84.687,0.9384,3.9304,0.0237,0.109
20260913_joint4_decoder_l2anchor_query,capsulemachine/capsulemachine,32.422,147.578,0.9386,3.8119,0.1964,0.110
20260913_joint4_decoder_l2anchor_query,capsulemachine/capsulemachine,72.930,72.930,0.9211,3.5333,0.3922,0.368
20260913_joint4_decoder_l2anchor_query,capsulemachine/capsulemachine,51.883,128.117,0.9401,2.1965,0.2744,0.113
20260913_joint4_decoder_l2anchor_query,capsulemachine/capsulemachine,76.559,76.559,0.9452,4.1718,0.0541,0.124
20260913_joint4_decoder_l2anchor_query,capsulemachine/capsulemachine,21.470,158.530,0.9479,4.2674,0.1878,0.105
20260913_joint4_decoder_l2anchor_query,scissors/scissors,18.683,18.683,0.9468,0.2841,0.0491,1.579
20260913_joint4_decoder_l2anchor_query,scissors/scissors,37.696,37.696,0.9455,0.0763,0.0318,1.774
20260913_joint4_decoder_l2anchor_query,scissors/scissors,56.765,56.765,0.9499,0.0715,0.0364,1.637
20260913_joint4_decoder_l2anchor_query,scissors/scissors,68.355,68.355,0.9418,0.2666,0.0474,2.060
20260913_joint4_decoder_l2anchor_query,scissors/scissors,35.451,35.451,0.9525,0.1682,0.0130,1.524
20260913_joint4_decoder_l2anchor_query,scissors/scissors,51.310,51.310,0.9556,0.2194,0.0796,1.639
20260913_joint4_decoder_l2anchor_query,scissors/scissors,29.671,29.671,0.9467,0.2813,0.0036,1.838
20260913_joint4_decoder_l2anchor_query,scissors/scissors,23.886,23.886,0.9492,0.1654,0.0605,1.858
20260913_joint4_decoder_l2anchor_query,scissors/scissors,66.012,66.012,0.9567,0.2162,0.0702,1.954
20260913_joint4_decoder_l2anchor_query,scissors/scissors,85.492,85.492,0.9544,0.2739,0.0667,1.795
20260913_joint4_decoder_l2anchor_query,scissors/scissors,88.929,88.929,0.9530,1.1200,0.2101,0.889
20260913_joint4_decoder_l2anchor_query,scissors/scissors,71.078,71.078,0.9562,0.3647,0.0157,1.936
20260913_joint4_decoder_l2anchor_query,scissors/scissors,61.013,61.013,0.9587,0.7817,0.0611,2.221
20260913_joint4_decoder_l2anchor_query,scissors/scissors,57.781,57.781,0.9536,0.4578,0.0435,2.072
20260913_joint4_decoder_l2anchor_query,scissors/scissors,40.284,40.284,0.9434,0.5178,0.0160,1.198
20260913_joint4_decoder_l2anchor_query,scissors/scissors,23.422,156.578,0.9570,0.4107,0.3011,1.908
20260913_joint4_decoder_l2anchor_query,scissors/scissors,39.835,140.165,0.9545,0.4792,0.1214,2.136
20260913_joint4_decoder_l2anchor_query,scissors/scissors,10.954,10.954,0.9545,0.4654,0.0591,1.822
20260913_joint4_decoder_l2anchor_query,scissors/scissors,32.060,32.060,0.9539,0.5291,0.0246,2.087
20260913_joint4_decoder_l2anchor_query,scissors/scissors,32.521,32.521,0.9554,0.5193,0.0715,1.693
20260913_joint4_decoder_l2anchor_query,scissors/scissors,43.673,43.673,0.9482,0.6305,0.0159,2.015
20260913_joint4_decoder_l2anchor_query,scissors/scissors,30.257,30.257,0.9474,0.2908,0.0575,1.638
20260913_joint4_decoder_l2anchor_query,scissors/scissors,34.789,34.789,0.9532,0.8502,0.1209,2.081
20260913_joint4_decoder_l2anchor_query,scissors/scissors,33.599,33.599,0.9507,0.2301,0.0014,1.910
20260913_joint4_decoder_l2anchor_query,scissors/scissors,28.692,28.692,0.9496,0.1017,0.1497,1.650
20260913_joint4_decoder_l2anchor_query,scissors/scissors,37.673,37.673,0.9485,0.1743,0.0297,1.606
20260913_joint4_decoder_l2anchor_query,scissors/scissors,24.024,24.024,0.9491,0.0701,0.0905,1.736
20260913_joint4_decoder_l2anchor_query,scissors/scissors,32.766,32.766,0.9574,0.4673,0.0404,2.088
20260913_joint4_decoder_l2anchor_query,scissors/scissors,26.806,26.806,0.9527,0.1936,0.1514,1.951
20260913_joint4_decoder_l2anchor_query,scissors/scissors,27.579,27.579,0.9516,0.4708,0.1663,1.892
20260913_joint4_decoder_l2anchor_query,scissors/scissors,54.208,54.208,0.9549,0.5499,0.1321,2.362
20260913_joint4_decoder_l2anchor_query,waffleiron/waffleiron,39.458,39.458,0.9354,2.6349,0.0290,0.198
20260913_joint4_decoder_l2anchor_query,waffleiron/waffleiron,31.409,148.591,0.9476,2.1582,0.3969,0.248
20260913_joint4_decoder_l2anchor_query,waffleiron/waffleiron,51.037,51.037,0.9316,2.6666,0.0064,0.304
20260913_joint4_decoder_l2anchor_query,waffleiron/waffleiron,47.414,132.586,0.9483,2.0239,0.3464,0.214
20260913_joint4_decoder_l2anchor_query,waffleiron/waffleiron,55.913,55.913,0.9196,1.0746,0.3366,3.023
20260913_joint4_decoder_l2anchor_query,waffleiron/waffleiron,1.297,178.703,0.9503,2.1841,0.3779,0.466
20260913_joint4_decoder_l2anchor_query,waffleiron/waffleiron,24.485,24.485,0.9185,3.6508,0.2731,0.133
20260913_joint4_decoder_l2anchor_query,waffleiron/waffleiron,61.151,118.849,0.9079,1.3324,0.2135,0.940
20260913_joint4_decoder_l2anchor_query,waffleiron/waffleiron,46.278,46.278,0.9305,3.3006,0.1720,0.108
20260913_joint4_decoder_l2anchor_query,waffleiron/waffleiron,62.158,117.842,0.9050,1.2191,0.0492,0.968
20260913_joint4_decoder_l2anchor_query,waffleiron/waffleiron,32.553,32.553,0.9389,1.8449,0.2175,1.008
20260913_joint4_decoder_l2anchor_query,waffleiron/waffleiron,23.205,156.795,0.9423,2.1182,0.3828,0.397
20260913_joint4_decoder_l2anchor_query,waffleiron/waffleiron,72.542,72.542,0.9428,1.2406,0.1585,1.352
20260913_joint4_decoder_l2anchor_query,waffleiron/waffleiron,65.392,65.392,0.9024,0.9972,0.1278,1.599
20260913_joint4_decoder_l2anchor_query,waffleiron/waffleiron,28.081,28.081,0.9286,2.3698,0.2575,0.403
20260913_joint4_decoder_l2anchor_query,waffleiron/waffleiron,20.177,20.177,0.9396,2.3802,0.4098,0.132
