model,object,axis_unsigned_deg,axis_signed_deg,p_rev,radius_m,hinge_offset_frac,z_p
20260913_joint4_decoder_l2anchor_query_eps01,capsulemachine/capsulemachine,36.007,143.993,0.8897,1.7921,0.0316,3.370
20260913_joint4_decoder_l2anchor_query_eps01,capsulemachine/capsulemachine,64.418,115.582,0.9267,1.9865,0.0607,3.714
20260913_joint4_decoder_l2anchor_query_eps01,capsulemachine/capsulemachine,21.985,158.015,0.9417,2.7848,0.0593,0.306
20260913_joint4_decoder_l2anchor_query_eps01,capsulemachine/capsulemachine,50.204,50.204,0.8039,1.4689,0.0991,3.336
20260913_joint4_decoder_l2anchor_query_eps01,capsulemachine/capsulemachine,70.426,109.574,0.9434,1.4066,0.0232,0.822
20260913_joint4_decoder_l2anchor_query_eps01,capsulemachine/capsulemachine,58.586,121.414,0.9275,0.9523,0.0011,1.243
20260913_joint4_decoder_l2anchor_query_eps01,capsulemachine/capsulemachine,55.785,55.785,0.8065,1.8546,0.0868,3.360
20260913_joint4_decoder_l2anchor_query_eps01,capsulemachine/capsulemachine,55.236,124.764,0.9277,1.6591,0.0632,0.371
20260913_joint4_decoder_l2anchor_query_eps01,capsulemachine/capsulemachine,43.406,136.594,0.9420,1.9046,0.0477,3.570
20260913_joint4_decoder_l2anchor_query_eps01,capsulemachine/capsulemachine,47.263,132.737,0.9077,2.1339,0.1851,0.204
20260913_joint4_decoder_l2anchor_query_eps01,capsulemachine/capsulemachine,75.205,104.795,0.8107,1.7752,0.2511,3.469
20260913_joint4_decoder_l2anchor_query_eps01,capsulemachine/capsulemachine,50.359,129.641,0.9187,0.6372,0.1276,1.412
20260913_joint4_decoder_l2anchor_query_eps01,capsulemachine/capsulemachine,37.670,142.330,0.9436,2.0379,0.0871,3.465
20260913_joint4_decoder_l2anchor_query_eps01,capsulemachine/capsulemachine,12.696,167.304,0.9351,1.1128,0.1671,1.335
20260913_joint4_decoder_l2anchor_query_eps01,scissors/scissors,71.112,71.112,0.9534,0.6794,0.5135,1.380
20260913_joint4_decoder_l2anchor_query_eps01,scissors/scissors,73.548,106.452,0.9583,0.5041,0.5109,1.340
