model,object,axis_unsigned_deg,axis_signed_deg,p_rev,radius_m,hinge_offset_frac,z_p
20260913_joint4_decoder_l2anchor_query_l4,capsulemachine/capsulemachine,73.397,73.397,0.9471,3.3313,0.0844,0.518
20260913_joint4_decoder_l2anchor_query_l4,capsulemachine/capsulemachine,52.015,52.015,0.9426,3.6635,0.0900,0.122
20260913_joint4_decoder_l2anchor_query_l4,capsulemachine/capsulemachine,22.317,22.317,0.9521,1.7191,0.1067,3.055
20260913_joint4_decoder_l2anchor_query_l4,capsulemachine/capsulemachine,66.744,66.744,0.9503,3.4845,0.2035,0.220
20260913_joint4_decoder_l2anchor_query_l4,capsulemachine/capsulemachine,72.648,107.352,0.9360,1.8904,0.1361,3.041
20260913_joint4_decoder_l2anchor_query_l4,capsulemachine/capsulemachine,43.632,43.632,0.9326,1.2989,0.2080,2.315
20260913_joint4_decoder_l2anchor_query_l4,capsulemachine/capsulemachine,37.836,37.836,0.9488,2.1378,0.2154,1.242
20260913_joint4_decoder_l2anchor_query_l4,capsulemachine/capsulemachine,14.680,14.680,0.9394,2.3891,0.0354,3.450
20260913_joint4_decoder_l2anchor_query_l4,capsulemachine/capsulemachine,47.089,47.089,0.9437,2.9570,0.0644,1.202
20260913_joint4_decoder_l2anchor_query_l4,capsulemachine/capsulemachine,30.511,30.511,0.9471,2.1971,0.2096,3.382
20260913_joint4_decoder_l2anchor_query_l4,capsulemachine/capsulemachine,35.743,35.743,0.9520,2.2132,0.2882,0.405
20260913_joint4_decoder_l2anchor_query_l4,capsulemachine/capsulemachine,44.234,44.234,0.9447,1.5051,0.0638,2.464
20260913_joint4_decoder_l2anchor_query_l4,capsulemachine/capsulemachine,69.162,69.162,0.9393,2.8296,0.0482,1.209
20260913_joint4_decoder_l2anchor_query_l4,capsulemachine/capsulemachine,11.081,11.081,0.9368,1.6313,0.2135,2.965
20260913_joint4_decoder_l2anchor_query_l4,scissors/scissors,4.807,4.807,0.9487,0.4678,0.2000,1.080
20260913_joint4_decoder_l2anchor_query_l4,scissors/scissors,10.034,10.034,0.9465,0.3511,0.1522,1.485
20260913_joint4_decoder_l2anchor_query_l4,scissors/scissors,24.598,24.598,0.9495,0.5674,0.1716,1.736
20260913_joint4_decoder_l2anchor_query_l4,scissors/scissors,65.431,65.431,0.9500,0.1105,0.0304,1.329
20260913_joint4_decoder_l2anchor_query_l4,scissors/scissors,18.019,18.019,0.9459,0.3247,0.0964,1.485
20260913_joint4_decoder_l2anchor_query_l4,scissors/scissors,8.917,8.917,0.9498,0.2093,0.0844,1.591
20260913_joint4_decoder_l2anchor_query_l4,scissors/scissors,26.863,26.863,0.9469,0.6336,0.1579,1.819
20260913_joint4_decoder_l2anchor_query_l4,scissors/scissors,12.609,12.609,0.9475,0.4094,0.1607,1.557
20260913_joint4_decoder_l2anchor_query_l4,scissors/scissors,49.126,49.126,0.9494,0.2435,0.1087,1.620
20260913_joint4_decoder_l2anchor_query_l4,scissors/scissors,58.625,58.625,0.9503,0.3420,0.1355,1.519
20260913_joint4_decoder_l2anchor_query_l4,scissors/scissors,47.009,47.009,0.9439,0.3320,0.0476,1.206
