model,object,axis_unsigned_deg,axis_signed_deg,p_rev,radius_m,hinge_offset_frac,z_p
20260913_joint4_decoder_l2anchor_query_pos,capsulemachine/capsulemachine,53.713,126.287,0.9231,0.7065,0.3389,2.300
20260913_joint4_decoder_l2anchor_query_pos,capsulemachine/capsulemachine,35.694,144.306,0.9296,1.4360,0.2228,2.694
20260913_joint4_decoder_l2anchor_query_pos,capsulemachine/capsulemachine,74.163,105.837,0.9290,1.1510,0.0294,0.977
20260913_joint4_decoder_l2anchor_query_pos,capsulemachine/capsulemachine,74.987,105.013,0.9422,0.8229,0.2222,1.711
20260913_joint4_decoder_l2anchor_query_pos,capsulemachine/capsulemachine,76.927,76.927,0.9257,1.0440,0.1008,0.413
20260913_joint4_decoder_l2anchor_query_pos,capsulemachine/capsulemachine,77.700,77.700,0.9378,1.0056,0.1459,0.730
20260913_joint4_decoder_l2anchor_query_pos,capsulemachine/capsulemachine,76.579,103.421,0.9166,1.1585,0.1463,2.561
20260913_joint4_decoder_l2anchor_query_pos,capsulemachine/capsulemachine,79.052,100.948,0.9425,1.0544,0.1615,0.486
20260913_joint4_decoder_l2anchor_query_pos,capsulemachine/capsulemachine,5.583,174.417,0.9200,0.9952,0.2393,2.170
20260913_joint4_decoder_l2anchor_query_pos,capsulemachine/capsulemachine,12.965,167.035,0.9377,1.1537,0.2573,0.324
20260913_joint4_decoder_l2anchor_query_pos,capsulemachine/capsulemachine,45.628,134.372,0.9416,0.8892,0.3862,2.742
20260913_joint4_decoder_l2anchor_query_pos,capsulemachine/capsulemachine,42.817,137.183,0.9341,0.5272,0.2195,0.548
20260913_joint4_decoder_l2anchor_query_pos,capsulemachine/capsulemachine,52.316,127.684,0.9162,1.1396,0.1048,2.534
20260913_joint4_decoder_l2anchor_query_pos,capsulemachine/capsulemachine,66.012,113.988,0.9241,0.2735,0.1669,1.140
20260913_joint4_decoder_l2anchor_query_pos,scissors/scissors,71.783,108.217,0.9587,0.2453,0.2363,1.116
20260913_joint4_decoder_l2anchor_query_pos,scissors/scissors,52.765,127.235,0.9647,0.2297,0.1677,1.241
20260913_joint4_decoder_l2anchor_query_pos,scissors/scissors,70.599,109.401,0.9570,0.3454,0.1790,1.243
20260913_joint4_decoder_l2anchor_query_pos,scissors/scissors,36.569,143.431,0.9629,0.3567,0.0264,1.361
20260913_joint4_decoder_l2anchor_query_pos,scissors/scissors,58.754,121.246,0.9492,0.3146,0.0055,1.185
20260913_joint4_decoder_l2anchor_query_pos,scissors/scissors,89.206,89.206,0.9520,0.2287,0.1405,1.466
20260913_joint4_decoder_l2anchor_query_pos,scissors/scissors,85.690,85.690,0.9500,0.1332,0.0831,1.483
20260913_joint4_decoder_l2anchor_query_pos,scissors/scissors,48.422,131.578,0.9549,0.3082,0.1128,1.043
20260913_joint4_decoder_l2anchor_query_pos,scissors/scissors,86.699,86.699,0.9551,0.3563,0.0398,1.537
20260913_joint4_decoder_l2anchor_query_pos,scissors/scissors,45.443,134.557,0.9526,0.4381,0.0658,1.208
20260913_joint4_decoder_l2anchor_query_pos,scissors/scissors,25.840,154.160,0.9676,0.3239,0.1244,1.117
20260913_joint4_decoder_l2anchor_query_pos,scissors/scissors,76.086,103.914,0.9538,0.3065,0.0873,1.057
20260913_joint4_decoder_l2anchor_query_pos,scissors/scissors,72.405,107.595,0.9576,0.2144,0.0316,1.095
20260913_joint4_decoder_l2anchor_query_pos,scissors/scissors,66.205,113.795,0.9531,0.2816,0.1275,1.173
20260913_joint4_decoder_l2anchor_query_pos,scissors/scissors,84.939,95.061,0.9627,0.1221,0.0090,1.439
20260913_joint4_decoder_l2anchor_query_pos,scissors/scissors,61.337,118.663,0.9585,0.1653,0.2130,1.480
20260913_joint4_decoder_l2anchor_query_pos,scissors/scissors,16.975,163.025,0.9534,0.3654,0.1291,1.528
20260913_joint4_decoder_l2anchor_query_pos,scissors/scissors,54.638,54.638,0.9613,0.3897,0.0807,1.252
20260913_joint4_decoder_l2anchor_query_pos,scissors/scissors,86.874,86.874,0.9569,0.3046,0.0615,1.333
20260913_joint4_decoder_l2anchor_query_pos,scissors/scissors,79.869,100.131,0.9537,0.6964,0.0008,1.444
20260913_joint4_decoder_l2anchor_query_pos,scissors/scissors,54.851,125.149,0.9576,0.2416,0.0504,1.272
20260913_joint4_decoder_l2anchor_query_pos,scissors/scissors,60.288,119.712,0.9531,0.4165,0.0467,1.196
20260913_joint4_decoder_l2anchor_query_pos,scissors/scissors,69.348,110.652,0.9534,0.2885,0.0869,1.076
20260913_joint4_decoder_l2anchor_query_pos,scissors/scissors,26.227,26.227,0.9540,0.2324,0.0759,1.270
20260913_joint4_decoder_l2anchor_query_pos,scissors/scissors,82.636,82.636,0.9536,0.3274,0.0702,1.608
20260913_joint4_decoder_l2anchor_query_pos,scissors/scissors,41.666,41.666,0.9518,0.2955,0.0578,1.423
20260913_joint4_decoder_l2anchor_query_pos,scissors/scissors,51.073,128.927,0.9521,0.3860,0.1587,1.270
20260913_joint4_decoder_l2anchor_query_pos,scissors/scissors,63.197,116.803,0.9488,0.2407,0.1028,1.357
20260913_joint4_decoder_l2anchor_query_pos,scissors/scissors,87.791,92.209,0.9461,0.2904,0.0035,1.555
20260913_joint4_decoder_l2anchor_query_pos,scissors/scissors,80.292,80.292,0.9473,0.3660,0.0624,1.527
20260913_joint4_decoder_l2anchor_query_pos,scissors/scissors,70.594,70.594,0.9585,0.2909,0.1105,1.542
20260913_joint4_decoder_l2anchor_query_pos,waffleiron/waffleiron,16.837,163.163,0.9340,0.7292,0.1946,1.436
20260913_joint4_decoder_l2anchor_query_pos,waffleiron/waffleiron,36.316,143.684,0.9472,0.3972,0.1889,1.078
20260913_joint4_decoder_l2anchor_query_pos,waffleiron/waffleiron,39.282,140.718,0.9326,0.7358,0.1459,1.435
20260913_joint4_decoder_l2anchor_query_pos,waffleiron/waffleiron,89.587,89.587,0.9559,0.2745,0.0455,0.904
20260913_joint4_decoder_l2anchor_query_pos,waffleiron/waffleiron,84.871,95.129,0.9234,0.3965,0.0698,2.098
20260913_joint4_decoder_l2anchor_query_pos,waffleiron/waffleiron,34.256,145.744,0.9529,0.3649,0.2757,1.173
20260913_joint4_decoder_l2anchor_query_pos,waffleiron/waffleiron,40.665,139.335,0.9436,0.7506,0.0346,1.092
20260913_joint4_decoder_l2anchor_query_pos,waffleiron/waffleiron,79.464,100.536,0.9421,0.5335,0.1608,1.026
20260913_joint4_decoder_l2anchor_query_pos,waffleiron/waffleiron,60.003,119.997,0.9386,0.6167,0.0716,1.197
20260913_joint4_decoder_l2anchor_query_pos,waffleiron/waffleiron,85.402,94.598,0.9504,0.4325,0.1839,1.071
20260913_joint4_decoder_l2anchor_query_pos,waffleiron/waffleiron,54.686,125.314,0.9519,0.3820,0.0704,1.504
20260913_joint4_decoder_l2anchor_query_pos,waffleiron/waffleiron,56.362,123.638,0.9381,0.3050,0.2689,1.337
20260913_joint4_decoder_l2anchor_query_pos,waffleiron/waffleiron,54.820,54.820,0.9530,0.2605,0.1664,1.620
20260913_joint4_decoder_l2anchor_query_pos,waffleiron/waffleiron,66.633,66.633,0.9279,0.6395,0.3429,1.590
20260913_joint4_decoder_l2anchor_query_pos,waffleiron/waffleiron,55.782,55.782,0.8961,0.2606,0.1829,1.612
20260913_joint4_decoder_l2anchor_query_pos,waffleiron/waffleiron,59.787,59.787,0.9420,0.6891,0.2312,1.560
20260913_joint4_decoder_l2anchor_query_pos,waffleiron/waffleiron,72.497,72.497,0.9519,0.1433,0.2081,1.340
20260913_joint4_decoder_l2anchor_query_pos,waffleiron/waffleiron,37.217,142.783,0.9521,0.8875,0.4818,1.296
20260913_joint4_decoder_l2anchor_query_pos,laptop/laptop,23.039,156.961,0.9289,1.0952,0.3109,1.663
20260913_joint4_decoder_l2anchor_query_pos,laptop/laptop,26.743,153.257,0.9290,1.0228,0.3747,1.548
20260913_joint4_decoder_l2anchor_query_pos,laptop/laptop,22.495,157.505,0.9392,0.7307,0.1621,1.482
20260913_joint4_decoder_l2anchor_query_pos,laptop/laptop,19.098,160.902,0.9380,0.4820,0.0139,0.862
20260913_joint4_decoder_l2anchor_query_pos,laptop/laptop,34.803,145.197,0.9246,0.8719,0.2643,1.406
20260913_joint4_decoder_l2anchor_query_pos,laptop/laptop,24.004,155.996,0.9474,0.3216,0.0344,0.932
20260913_joint4_decoder_l2anchor_query_pos,laptop/laptop,22.322,157.678,0.9373,0.7991,0.2272,1.509
20260913_joint4_decoder_l2anchor_query_pos,laptop/laptop,28.013,151.987,0.9359,0.8428,0.1670,1.478
20260913_joint4_decoder_l2anchor_query_pos,laptop/laptop,38.680,141.320,0.9408,0.9519,0.1290,0.534
20260913_joint4_decoder_l2anchor_query_pos,laptop/laptop,25.049,154.951,0.9344,0.7729,0.1965,1.417
20260913_joint4_decoder_l2anchor_query_pos,laptop/laptop,24.259,155.741,0.9259,0.7219,0.2064,1.526
20260913_joint4_decoder_l2anchor_query_pos,laptop/laptop,39.332,140.668,0.9433,0.8075,0.0162,0.806
20260913_joint4_decoder_l2anchor_query_pos,laptop/laptop,34.522,145.478,0.9365,0.9303,0.2117,1.521
20260913_joint4_decoder_l2anchor_query_pos,laptop/laptop,24.530,155.470,0.9096,0.7447,0.1508,1.564
