model,object,axis_unsigned_deg,axis_signed_deg,p_rev,radius_m,hinge_offset_frac,z_p
20260913_joint4_decoder_l2anchor_query_seed7,capsulemachine/capsulemachine,23.935,156.065,0.9332,1.9791,0.2058,2.500
20260913_joint4_decoder_l2anchor_query_seed7,capsulemachine/capsulemachine,49.798,130.202,0.9414,1.6591,0.1133,2.166
20260913_joint4_decoder_l2anchor_query_seed7,capsulemachine/capsulemachine,37.057,142.943,0.9446,0.9856,0.0874,0.881
20260913_joint4_decoder_l2anchor_query_seed7,capsulemachine/capsulemachine,56.898,56.898,0.9367,0.2223,0.1519,2.083
20260913_joint4_decoder_l2anchor_query_seed7,capsulemachine/capsulemachine,58.747,121.253,0.9341,0.5863,0.0769,1.016
20260913_joint4_decoder_l2anchor_query_seed7,capsulemachine/capsulemachine,44.880,135.120,0.9432,0.4194,0.0475,1.073
20260913_joint4_decoder_l2anchor_query_seed7,capsulemachine/capsulemachine,60.020,119.980,0.9360,0.7129,0.2016,1.765
20260913_joint4_decoder_l2anchor_query_seed7,capsulemachine/capsulemachine,27.090,152.910,0.9384,1.6752,0.0070,0.509
20260913_joint4_decoder_l2anchor_query_seed7,capsulemachine/capsulemachine,43.863,136.137,0.9335,1.0848,0.0873,1.950
20260913_joint4_decoder_l2anchor_query_seed7,capsulemachine/capsulemachine,30.002,149.998,0.9288,2.0217,0.0036,0.750
20260913_joint4_decoder_l2anchor_query_seed7,capsulemachine/capsulemachine,76.896,103.104,0.9319,0.9278,0.2790,1.844
20260913_joint4_decoder_l2anchor_query_seed7,capsulemachine/capsulemachine,12.357,167.643,0.9416,0.5715,0.0372,0.943
20260913_joint4_decoder_l2anchor_query_seed7,capsulemachine/capsulemachine,54.461,125.539,0.9400,1.6056,0.0870,2.256
20260913_joint4_decoder_l2anchor_query_seed7,capsulemachine/capsulemachine,22.384,157.616,0.9411,0.8659,0.1173,1.164
20260913_joint4_decoder_l2anchor_query_seed7,scissors/scissors,77.372,102.628,0.9288,0.1834,0.0152,1.076
20260913_joint4_decoder_l2anchor_query_seed7,scissors/scissors,78.821,101.179,0.9471,0.2795,0.0607,0.834
20260913_joint4_decoder_l2anchor_query_seed7,scissors/scissors,52.868,127.132,0.9316,0.0990,0.0965,0.969
20260913_joint4_decoder_l2anchor_query_seed7,scissors/scissors,84.478,84.478,0.9298,0.2721,0.1707,0.735
20260913_joint4_decoder_l2anchor_query_seed7,scissors/scissors,37.140,142.860,0.9374,0.1339,0.1418,1.124
20260913_joint4_decoder_l2anchor_query_seed7,scissors/scissors,23.988,156.012,0.9451,0.4010,0.1159,0.795
20260913_joint4_decoder_l2anchor_query_seed7,scissors/scissors,51.394,128.606,0.9370,0.1617,0.1029,1.102
20260913_joint4_decoder_l2anchor_query_seed7,scissors/scissors,40.938,139.062,0.9337,0.1534,0.0732,1.143
20260913_joint4_decoder_l2anchor_query_seed7,scissors/scissors,88.486,91.514,0.9250,0.5083,0.0783,1.353
20260913_joint4_decoder_l2anchor_query_seed7,scissors/scissors,80.807,99.193,0.9108,0.3566,0.0919,1.296
20260913_joint4_decoder_l2anchor_query_seed7,scissors/scissors,88.794,91.206,0.9209,0.4346,0.1228,0.635
20260913_joint4_decoder_l2anchor_query_seed7,scissors/scissors,61.203,118.797,0.9128,0.1348,0.0587,1.191
20260913_joint4_decoder_l2anchor_query_seed7,scissors/scissors,45.996,134.004,0.9339,0.1325,0.1098,1.123
20260913_joint4_decoder_l2anchor_query_seed7,scissors/scissors,57.311,122.689,0.9297,0.1049,0.0722,1.053
20260913_joint4_decoder_l2anchor_query_seed7,scissors/scissors,51.012,128.988,0.9363,0.2436,0.1441,0.823
20260913_joint4_decoder_l2anchor_query_seed7,scissors/scissors,38.377,141.623,0.9139,0.2890,0.0568,1.201
20260913_joint4_decoder_l2anchor_query_seed7,scissors/scissors,69.747,110.253,0.9315,0.1194,0.1221,0.965
