model,object,axis_unsigned_deg,axis_signed_deg,p_rev,radius_m,hinge_offset_frac,z_p
20260913_joint4_decoder_l2anchor_query_w1024,capsulemachine/capsulemachine,26.937,26.937,0.9427,1.6547,0.0557,3.786
20260913_joint4_decoder_l2anchor_query_w1024,capsulemachine/capsulemachine,72.757,72.757,0.9441,1.3344,0.0480,4.713
20260913_joint4_decoder_l2anchor_query_w1024,capsulemachine/capsulemachine,42.268,42.268,0.9445,4.4497,0.0194,6.201
20260913_joint4_decoder_l2anchor_query_w1024,capsulemachine/capsulemachine,12.193,167.807,0.9393,2.2801,0.1230,3.447
20260913_joint4_decoder_l2anchor_query_w1024,capsulemachine/capsulemachine,66.994,113.006,0.9485,4.0417,0.0470,6.264
20260913_joint4_decoder_l2anchor_query_w1024,capsulemachine/capsulemachine,75.474,75.474,0.9457,4.4529,0.1694,6.634
20260913_joint4_decoder_l2anchor_query_w1024,capsulemachine/capsulemachine,84.328,95.672,0.9464,0.3242,0.0731,6.020
20260913_joint4_decoder_l2anchor_query_w1024,capsulemachine/capsulemachine,57.277,57.277,0.9466,4.8487,0.0751,6.794
20260913_joint4_decoder_l2anchor_query_w1024,capsulemachine/capsulemachine,34.340,34.340,0.9382,0.1620,0.0507,5.873
20260913_joint4_decoder_l2anchor_query_w1024,capsulemachine/capsulemachine,27.068,27.068,0.9422,6.0808,0.2039,7.516
20260913_joint4_decoder_l2anchor_query_w1024,capsulemachine/capsulemachine,60.676,60.676,0.9382,1.9106,0.3581,0.345
20260913_joint4_decoder_l2anchor_query_w1024,capsulemachine/capsulemachine,27.312,27.312,0.9487,3.8961,0.0251,5.337
20260913_joint4_decoder_l2anchor_query_w1024,capsulemachine/capsulemachine,60.848,60.848,0.9482,5.3042,0.0190,0.646
20260913_joint4_decoder_l2anchor_query_w1024,capsulemachine/capsulemachine,38.199,38.199,0.9469,3.9907,0.0624,5.777
20260913_joint4_decoder_l2anchor_query_w1024,scissors/scissors,38.696,38.696,0.9550,0.2139,0.0158,1.089
20260913_joint4_decoder_l2anchor_query_w1024,scissors/scissors,76.138,76.138,0.9474,0.2744,0.0126,1.631
20260913_joint4_decoder_l2anchor_query_w1024,scissors/scissors,54.601,54.601,0.9554,0.1111,0.0048,1.319
20260913_joint4_decoder_l2anchor_query_w1024,scissors/scissors,66.686,113.314,0.9445,0.1045,0.1718,1.550
20260913_joint4_decoder_l2anchor_query_w1024,scissors/scissors,29.055,29.055,0.9474,0.1135,0.0326,1.599
20260913_joint4_decoder_l2anchor_query_w1024,scissors/scissors,63.629,63.629,0.9454,0.3070,0.0776,1.765
20260913_joint4_decoder_l2anchor_query_w1024,scissors/scissors,41.703,41.703,0.9415,0.1571,0.1302,1.484
20260913_joint4_decoder_l2anchor_query_w1024,scissors/scissors,39.204,39.204,0.9514,0.0864,0.0636,1.562
