model,object,axis_unsigned_deg,axis_signed_deg,p_rev,radius_m,hinge_offset_frac,z_p
20260913_sf3d_decoder_l2anchor_dense,capsulemachine/capsulemachine,59.214,59.214,0.0608,0.0781,0.2220,0.579
20260913_sf3d_decoder_l2anchor_dense,capsulemachine/capsulemachine,82.141,82.141,0.0485,0.0703,0.1597,0.596
20260913_sf3d_decoder_l2anchor_dense,capsulemachine/capsulemachine,55.266,124.734,0.0471,0.0356,0.1645,0.618
20260913_sf3d_decoder_l2anchor_dense,capsulemachine/capsulemachine,85.839,94.161,0.0613,0.1541,0.3400,0.638
20260913_sf3d_decoder_l2anchor_dense,capsulemachine/capsulemachine,73.252,106.748,0.0432,0.0168,0.0575,0.600
20260913_sf3d_decoder_l2anchor_dense,capsulemachine/capsulemachine,73.426,106.574,0.0375,0.0541,0.1592,0.540
20260913_sf3d_decoder_l2anchor_dense,capsulemachine/capsulemachine,30.088,149.912,0.0712,0.0792,0.1008,0.665
20260913_sf3d_decoder_l2anchor_dense,capsulemachine/capsulemachine,81.179,98.821,0.0431,0.0880,0.1910,0.548
20260913_sf3d_decoder_l2anchor_dense,capsulemachine/capsulemachine,19.569,19.569,0.0579,0.0738,0.0104,0.672
20260913_sf3d_decoder_l2anchor_dense,capsulemachine/capsulemachine,34.993,34.993,0.0420,0.1254,0.1292,0.517
20260913_sf3d_decoder_l2anchor_dense,capsulemachine/capsulemachine,65.070,114.930,0.0565,0.1083,0.2076,0.614
20260913_sf3d_decoder_l2anchor_dense,capsulemachine/capsulemachine,65.809,114.191,0.0550,0.1828,0.0399,0.551
20260913_sf3d_decoder_l2anchor_dense,capsulemachine/capsulemachine,83.172,83.172,0.0723,0.0927,0.2373,0.625
20260913_sf3d_decoder_l2anchor_dense,capsulemachine/capsulemachine,61.867,61.867,0.0531,0.0520,0.0907,0.604
20260913_sf3d_decoder_l2anchor_dense,scissors/scissors,35.049,35.049,0.9024,0.3230,0.0698,0.708
20260913_sf3d_decoder_l2anchor_dense,scissors/scissors,41.760,41.760,0.9085,0.1802,0.0752,0.825
20260913_sf3d_decoder_l2anchor_dense,scissors/scissors,16.209,16.209,0.9095,0.2959,0.0612,0.711
20260913_sf3d_decoder_l2anchor_dense,scissors/scissors,8.137,8.137,0.9200,0.2034,0.0653,0.741
20260913_sf3d_decoder_l2anchor_dense,scissors/scissors,33.029,33.029,0.8831,0.2394,0.0881,0.735
20260913_sf3d_decoder_l2anchor_dense,scissors/scissors,48.701,48.701,0.9299,0.1484,0.0271,0.857
20260913_sf3d_decoder_l2anchor_dense,scissors/scissors,70.151,70.151,0.8931,0.2905,0.1104,0.731
20260913_sf3d_decoder_l2anchor_dense,scissors/scissors,35.931,35.931,0.9184,0.3117,0.0226,0.748
20260913_sf3d_decoder_l2anchor_dense,scissors/scissors,22.936,22.936,0.9216,0.2947,0.0748,0.768
20260913_sf3d_decoder_l2anchor_dense,scissors/scissors,34.962,34.962,0.9041,0.3235,0.0573,0.696
20260913_sf3d_decoder_l2anchor_dense,scissors/scissors,19.536,19.536,0.9151,0.1327,0.0938,0.867
20260913_sf3d_decoder_l2anchor_dense,scissors/scissors,25.790,25.790,0.9111,0.3233,0.0870,0.776
20260913_sf3d_decoder_l2anchor_dense,scissors/scissors,21.513,21.513,0.9194,0.2757,0.0928,0.794
20260913_sf3d_decoder_l2anchor_dense,scissors/scissors,26.590,26.590,0.9224,0.3028,0.0577,0.765
20260913_sf3d_decoder_l2anchor_dense,scissors/scissors,40.379,40.379,0.8825,0.1429,0.0756,0.836
20260913_sf3d_decoder_l2anchor_dense,scissors/scissors,43.055,43.055,0.9099,0.2659,0.0664,0.861
20260913_sf3d_decoder_l2anchor_dense,scissors/scissors,57.550,57.550,0.8702,0.1394,0.0501,0.829
20260913_sf3d_decoder_l2anchor_dense,scissors/scissors,67.659,67.659,0.8821,0.2897,0.0866,0.757
20260913_sf3d_decoder_l2anchor_dense,scissors/scissors,52.894,52.894,0.9192,0.1414,0.0672,0.812
20260913_sf3d_decoder_l2anchor_dense,scissors/scissors,28.461,28.461,0.9115,0.2964,0.0964,0.751
20260913_sf3d_decoder_l2anchor_dense,scissors/scissors,16.002,16.002,0.9176,0.3160,0.0746,0.809
20260913_sf3d_decoder_l2anchor_dense,scissors/scissors,15.183,15.183,0.9236,0.2992,0.0688,0.776
20260913_sf3d_decoder_l2anchor_dense,scissors/scissors,47.793,47.793,0.9067,0.2628,0.0589,0.741
20260913_sf3d_decoder_l2anchor_dense,scissors/scissors,32.624,32.624,0.8971,0.2699,0.0409,0.731
20260913_sf3d_decoder_l2anchor_dense,scissors/scissors,49.510,49.510,0.8005,0.2989,0.1214,0.767
20260913_sf3d_decoder_l2anchor_dense,scissors/scissors,50.803,50.803,0.8962,0.3216,0.0735,0.794
20260913_sf3d_decoder_l2anchor_dense,scissors/scissors,26.989,26.989,0.9150,0.3122,0.0509,0.711
20260913_sf3d_decoder_l2anchor_dense,scissors/scissors,23.296,23.296,0.9017,0.2954,0.1199,0.698
20260913_sf3d_decoder_l2anchor_dense,scissors/scissors,37.984,37.984,0.9079,0.2666,0.1608,0.733
20260913_sf3d_decoder_l2anchor_dense,scissors/scissors,31.529,31.529,0.8857,0.3038,0.2241,0.641
20260913_sf3d_decoder_l2anchor_dense,scissors/scissors,38.297,38.297,0.9258,0.1875,0.1430,0.831
20260913_sf3d_decoder_l2anchor_dense,waffleiron/waffleiron,36.841,143.159,0.1085,0.2774,0.2412,0.511
20260913_sf3d_decoder_l2anchor_dense,waffleiron/waffleiron,69.852,110.148,0.0537,0.2518,0.0124,0.552
20260913_sf3d_decoder_l2anchor_dense,waffleiron/waffleiron,87.111,92.889,0.1105,0.2569,0.0190,0.458
20260913_sf3d_decoder_l2anchor_dense,waffleiron/waffleiron,62.029,117.971,0.0568,0.2601,0.0260,0.440
20260913_sf3d_decoder_l2anchor_dense,waffleiron/waffleiron,77.267,102.733,0.0584,0.1049,0.0984,0.527
20260913_sf3d_decoder_l2anchor_dense,waffleiron/waffleiron,78.607,101.393,0.0501,0.1592,0.0110,0.588
20260913_sf3d_decoder_l2anchor_dense,waffleiron/waffleiron,57.499,57.499,0.1840,0.2024,0.2851,0.475
20260913_sf3d_decoder_l2anchor_dense,waffleiron/waffleiron,39.797,39.797,0.0745,0.2556,0.0564,0.409
20260913_sf3d_decoder_l2anchor_dense,waffleiron/waffleiron,56.173,56.173,0.1783,0.2082,0.3080,0.479
20260913_sf3d_decoder_l2anchor_dense,waffleiron/waffleiron,53.552,53.552,0.0617,0.2399,0.1462,0.431
20260913_sf3d_decoder_l2anchor_dense,waffleiron/waffleiron,78.312,78.312,0.0841,0.2558,0.0729,0.505
20260913_sf3d_decoder_l2anchor_dense,waffleiron/waffleiron,79.570,100.430,0.0453,0.2639,0.2000,0.649
20260913_sf3d_decoder_l2anchor_dense,waffleiron/waffleiron,89.627,90.373,0.0689,0.2381,0.2831,0.532
20260913_sf3d_decoder_l2anchor_dense,waffleiron/waffleiron,19.999,160.001,0.0607,0.2876,0.1039,0.458
20260913_sf3d_decoder_l2anchor_dense,waffleiron/waffleiron,83.767,96.233,0.0685,0.2566,0.0528,0.491
20260913_sf3d_decoder_l2anchor_dense,waffleiron/waffleiron,79.501,79.501,0.0771,0.2553,0.3150,0.350
20260913_sf3d_decoder_l2anchor_dense,waffleiron/waffleiron,15.218,15.218,0.1455,0.2020,0.2137,0.532
20260913_sf3d_decoder_l2anchor_dense,waffleiron/waffleiron,68.800,111.200,0.0655,0.2483,0.0011,0.367
20260913_sf3d_decoder_l2anchor_dense,laptop/laptop,83.850,83.850,0.1452,0.0930,0.0671,0.762
20260913_sf3d_decoder_l2anchor_dense,laptop/laptop,88.271,91.729,0.0967,0.1832,0.1507,0.790
20260913_sf3d_decoder_l2anchor_dense,laptop/laptop,84.532,95.468,0.6282,0.2412,0.0819,0.790
20260913_sf3d_decoder_l2anchor_dense,laptop/laptop,80.092,99.908,0.0727,0.0356,0.0667,0.709
20260913_sf3d_decoder_l2anchor_dense,laptop/laptop,84.546,84.546,0.2583,0.1336,0.0646,0.720
20260913_sf3d_decoder_l2anchor_dense,laptop/laptop,76.430,103.570,0.0708,0.0646,0.1787,0.727
20260913_sf3d_decoder_l2anchor_dense,laptop/laptop,85.576,85.576,0.6179,0.2947,0.0799,0.747
20260913_sf3d_decoder_l2anchor_dense,laptop/laptop,56.685,56.685,0.2972,0.1182,0.0630,0.779
20260913_sf3d_decoder_l2anchor_dense,laptop/laptop,81.807,81.807,0.0596,0.0776,0.0326,0.761
20260913_sf3d_decoder_l2anchor_dense,laptop/laptop,74.171,74.171,0.2494,0.1057,0.1322,0.722
20260913_sf3d_decoder_l2anchor_dense,laptop/laptop,86.160,93.840,0.3495,0.1269,0.0577,0.751
20260913_sf3d_decoder_l2anchor_dense,laptop/laptop,77.330,77.330,0.0786,0.1055,0.0474,0.828
20260913_sf3d_decoder_l2anchor_dense,laptop/laptop,73.087,73.087,0.1494,0.1123,0.1566,0.764
20260913_sf3d_decoder_l2anchor_dense,laptop/laptop,87.121,87.121,0.0993,0.1057,0.0333,0.828
20260913_sf3d_decoder_l2anchor_dense,laptop/laptop,77.345,77.345,0.0589,0.0970,0.0542,0.809
20260913_sf3d_decoder_l2anchor_dense,laptop/laptop,60.767,60.767,0.2059,0.1291,0.0289,0.761
20260913_sf3d_decoder_l2anchor_dense,laptop/laptop,66.528,66.528,0.1797,0.1813,0.0239,0.798
20260913_sf3d_decoder_l2anchor_dense,box/box,68.921,111.079,0.0970,0.0125,0.0319,0.678
20260913_sf3d_decoder_l2anchor_dense,box/box,75.077,75.077,0.0635,0.1376,0.0083,0.707
20260913_sf3d_decoder_l2anchor_dense,box/box,45.334,134.666,0.0691,0.1029,0.1166,0.621
20260913_sf3d_decoder_l2anchor_dense,box/box,84.218,95.782,0.2182,0.0836,0.0337,0.737
20260913_sf3d_decoder_l2anchor_dense,box/box,47.803,132.197,0.0791,0.1574,0.2495,0.677
20260913_sf3d_decoder_l2anchor_dense,box/box,22.926,157.074,0.1335,0.1514,0.2162,0.588
20260913_sf3d_decoder_l2anchor_dense,box/box,47.401,132.599,0.3181,0.3268,0.0383,0.575
20260913_sf3d_decoder_l2anchor_dense,box/box,61.740,61.740,0.2218,0.1999,0.1808,0.643
20260913_sf3d_decoder_l2anchor_dense,box/box,40.181,40.181,0.1518,0.2198,0.0697,0.677
20260913_sf3d_decoder_l2anchor_dense,box/box,59.770,59.770,0.0918,0.1484,0.1645,0.634
20260913_sf3d_decoder_l2anchor_dense,box/box,62.835,117.165,0.1176,0.1413,0.1174,0.671
20260913_sf3d_decoder_l2anchor_dense,notebook/notebook,82.369,82.369,0.4199,0.0772,0.2144,0.888
20260913_sf3d_decoder_l2anchor_dense,notebook/notebook,76.058,76.058,0.4911,0.1020,0.1980,0.890
20260913_sf3d_decoder_l2anchor_dense,notebook/notebook,87.043,92.957,0.1902,0.0631,0.3170,0.972
20260913_sf3d_decoder_l2anchor_dense,notebook/notebook,87.481,92.519,0.1294,0.1233,0.3202,0.937
20260913_sf3d_decoder_l2anchor_dense,notebook/notebook,57.405,57.405,0.1336,0.1607,0.2004,0.857
20260913_sf3d_decoder_l2anchor_dense,notebook/notebook,86.274,86.274,0.6810,0.0233,0.0795,0.790
20260913_sf3d_decoder_l2anchor_dense,notebook/notebook,66.476,113.524,0.1422,0.0361,0.2661,0.840
20260913_sf3d_decoder_l2anchor_dense,notebook/notebook,85.888,85.888,0.5125,0.0863,0.1593,0.976
20260913_sf3d_decoder_l2anchor_dense,notebook/notebook,74.644,105.356,0.1775,0.0424,0.1326,0.811
20260913_sf3d_decoder_l2anchor_dense,notebook/notebook,88.395,91.605,0.5254,0.0380,0.1390,0.838
20260913_sf3d_decoder_l2anchor_dense,notebook/notebook,79.799,100.201,0.1311,0.0460,0.2956,0.855
20260913_sf3d_decoder_l2anchor_dense,notebook/notebook,88.993,91.007,0.2578,0.1002,0.3132,0.881
20260913_sf3d_decoder_l2anchor_dense,notebook/notebook,72.077,72.077,0.2493,0.0948,0.2488,0.954
20260913_sf3d_decoder_l2anchor_dense,notebook/notebook,42.800,42.800,0.2904,0.1883,0.1528,0.899
20260913_sf3d_decoder_l2anchor_dense,notebook/notebook,88.300,88.300,0.3940,0.0431,0.1137,0.884
20260913_sf3d_decoder_l2anchor_dense,notebook/notebook,81.308,81.308,0.1317,0.0648,0.2521,0.849
20260913_sf3d_decoder_l2anchor_dense,notebook/notebook,84.720,95.280,0.5581,0.1532,0.0478,0.861
20260913_sf3d_decoder_l2anchor_dense,notebook/notebook,88.534,91.466,0.1707,0.0683,0.1649,0.855
20260913_sf3d_decoder_l2anchor_dense,notebook/notebook,88.041,88.041,0.3867,0.0575,0.1003,0.892
20260913_sf3d_decoder_l2anchor_dense,notebook/notebook,53.930,53.930,0.1774,0.1511,0.2250,0.824
20260913_sf3d_decoder_l2anchor_dense,phone/phone,65.715,114.285,0.0527,0.1385,0.0133,0.691
20260913_sf3d_decoder_l2anchor_dense,phone/phone,34.544,145.456,0.1575,0.0665,0.0250,0.724
20260913_sf3d_decoder_l2anchor_dense,phone/phone,65.568,114.432,0.0565,0.1402,0.0101,0.633
20260913_sf3d_decoder_l2anchor_dense,phone/phone,30.285,149.715,0.3659,0.1067,0.0137,0.848
20260913_sf3d_decoder_l2anchor_dense,phone/phone,74.012,105.988,0.0489,0.1037,0.0199,0.695
20260913_sf3d_decoder_l2anchor_dense,phone/phone,18.535,161.465,0.3490,0.0438,0.0636,0.860
20260913_sf3d_decoder_l2anchor_dense,phone/phone,59.945,120.055,0.0568,0.1613,0.0171,0.667
20260913_sf3d_decoder_l2anchor_dense,phone/phone,84.769,84.769,0.1155,0.0952,0.1300,0.802
20260913_sf3d_decoder_l2anchor_dense,phone/phone,72.218,107.782,0.0664,0.0867,0.0492,0.772
20260913_sf3d_decoder_l2anchor_dense,phone/phone,54.450,125.550,0.2801,0.0968,0.1007,0.867
20260913_sf3d_decoder_l2anchor_dense,phone/phone,39.303,140.697,0.0631,0.1279,0.0028,0.792
20260913_sf3d_decoder_l2anchor_dense,phone/phone,73.594,73.594,0.2180,0.0089,0.0959,0.794
20260913_sf3d_decoder_l2anchor_dense,phone/phone,86.446,86.446,0.0445,0.1206,0.0016,0.647
20260913_sf3d_decoder_l2anchor_dense,phone/phone,58.326,58.326,0.3333,0.0898,0.0272,0.913
20260913_sf3d_decoder_l2anchor_dense,phone/phone,66.336,66.336,0.0515,0.1848,0.1155,0.871
20260913_sf3d_decoder_l2anchor_dense,phone/phone,25.717,154.283,0.1747,0.1845,0.0757,0.819
20260913_sf3d_decoder_l2anchor_dense,laptop/laptop,68.771,111.229,0.4513,0.1160,0.1260,0.794
20260913_sf3d_decoder_l2anchor_dense,laptop/laptop,75.900,75.900,0.0882,0.0621,0.0096,0.824
20260913_sf3d_decoder_l2anchor_dense,laptop/laptop,89.770,90.230,0.5909,0.3133,0.0042,0.727
20260913_sf3d_decoder_l2anchor_dense,laptop/laptop,55.946,124.054,0.1247,0.1406,0.0120,0.816
20260913_sf3d_decoder_l2anchor_dense,laptop/laptop,78.661,78.661,0.0855,0.0774,0.0750,0.719
20260913_sf3d_decoder_l2anchor_dense,laptop/laptop,86.841,86.841,0.2893,0.2239,0.0702,0.827
20260913_sf3d_decoder_l2anchor_dense,laptop/laptop,79.931,79.931,0.0926,0.0958,0.0372,0.900
20260913_sf3d_decoder_l2anchor_dense,laptop/laptop,74.833,105.167,0.4135,0.0562,0.0796,0.856
20260913_sf3d_decoder_l2anchor_dense,laptop/laptop,77.805,77.805,0.1783,0.2006,0.0190,0.917
20260913_sf3d_decoder_l2anchor_dense,laptop/laptop,85.964,94.036,0.2855,0.1835,0.1240,0.822
20260913_sf3d_decoder_l2anchor_dense,laptop/laptop,72.552,107.448,0.1407,0.0674,0.1329,0.844
20260913_sf3d_decoder_l2anchor_dense,laptop/laptop,84.944,95.056,0.0957,0.0904,0.0516,0.720
20260913_sf3d_decoder_l2anchor_dense,laptop/laptop,78.858,78.858,0.3196,0.0517,0.0356,0.842
20260913_sf3d_decoder_l2anchor_dense,laptop/laptop,77.517,77.517,0.0713,0.0978,0.0166,0.881
20260913_sf3d_decoder_l2anchor_dense,microwave/microwave,41.673,41.673,0.9223,0.2147,0.0628,1.101
20260913_sf3d_decoder_l2anchor_dense,microwave/microwave,72.052,72.052,0.6136,0.2652,0.0665,0.844
20260913_sf3d_decoder_l2anchor_dense,microwave/microwave,58.722,58.722,0.8937,0.1214,0.0211,1.113
20260913_sf3d_decoder_l2anchor_dense,microwave/microwave,64.079,64.079,0.8109,0.2474,0.0450,0.827
20260913_sf3d_decoder_l2anchor_dense,microwave/microwave,70.587,70.587,0.6956,0.2273,0.0271,0.769
20260913_sf3d_decoder_l2anchor_dense,microwave/microwave,53.340,53.340,0.7906,0.1797,0.0182,0.957
20260913_sf3d_decoder_l2anchor_dense,microwave/microwave,64.755,64.755,0.6974,0.2239,0.0111,0.840
20260913_sf3d_decoder_l2anchor_dense,microwave/microwave,49.851,49.851,0.8690,0.1890,0.1308,1.031
20260913_sf3d_decoder_l2anchor_dense,microwave/microwave,64.750,64.750,0.8111,0.2723,0.0199,0.796
20260913_sf3d_decoder_l2anchor_dense,microwave/microwave,40.241,40.241,0.9101,0.1505,0.0650,1.068
20260913_sf3d_decoder_l2anchor_dense,microwave/microwave,77.350,77.350,0.6717,0.2946,0.1003,0.832
20260913_sf3d_decoder_l2anchor_dense,microwave/microwave,48.388,48.388,0.8566,0.1680,0.0473,0.928
20260913_sf3d_decoder_l2anchor_dense,microwave/microwave,72.377,72.377,0.7100,0.2387,0.0387,0.856
20260913_sf3d_decoder_l2anchor_dense,microwave/microwave,47.387,47.387,0.5843,0.3527,0.2007,1.136
20260913_sf3d_decoder_l2anchor_dense,microwave/microwave,79.038,79.038,0.3193,0.2751,0.0096,0.767
20260913_sf3d_decoder_l2anchor_dense,microwave/microwave,55.584,55.584,0.7797,0.2023,0.2088,1.141
20260913_sf3d_decoder_l2anchor_dense,microwave/microwave,72.046,72.046,0.6963,0.2641,0.1936,0.801
20260913_sf3d_decoder_l2anchor_dense,microwave/microwave,62.382,62.382,0.7575,0.2001,0.1313,1.152
20260913_sf3d_decoder_l2anchor_dense,microwave/microwave,69.745,69.745,0.2630,0.2917,0.2107,0.891
20260913_sf3d_decoder_l2anchor_dense,microwave/microwave,48.985,48.985,0.7765,0.3351,0.1711,1.036
20260913_sf3d_decoder_l2anchor_dense,microwave/microwave,45.251,45.251,0.8659,0.1684,0.0135,0.989
20260913_sf3d_decoder_l2anchor_dense,microwave/microwave,45.302,45.302,0.8501,0.2760,0.0247,0.808
20260913_sf3d_decoder_l2anchor_dense,microwave/microwave,58.989,58.989,0.8678,0.1549,0.0062,1.120
20260913_sf3d_decoder_l2anchor_dense,microwave/microwave,60.865,60.865,0.6803,0.2882,0.0681,0.804
20260913_sf3d_decoder_l2anchor_dense,microwave/microwave,48.690,48.690,0.8651,0.2180,0.0439,1.006
20260913_sf3d_decoder_l2anchor_dense,microwave/microwave,57.446,57.446,0.7297,0.2274,0.0266,0.809
20260913_sf3d_decoder_l2anchor_dense,microwave/microwave,40.909,40.909,0.8851,0.1640,0.0043,0.917
20260913_sf3d_decoder_l2anchor_dense,microwave/microwave,73.529,73.529,0.5697,0.2876,0.1527,0.784
20260913_sf3d_decoder_l2anchor_dense,microwave/microwave,52.871,52.871,0.4415,0.3413,0.1571,1.290
20260913_sf3d_decoder_l2anchor_dense,microwave/microwave,86.446,86.446,0.2476,0.2379,0.0607,0.822
20260913_sf3d_decoder_l2anchor_dense,microwave/microwave,70.726,70.726,0.4482,0.3429,0.0378,0.799
20260913_sf3d_decoder_l2anchor_dense,notebook/notebook,72.544,72.544,0.4383,0.0640,0.0002,0.897
20260913_sf3d_decoder_l2anchor_dense,notebook/notebook,45.905,45.905,0.7396,0.2272,0.0303,0.874
20260913_sf3d_decoder_l2anchor_dense,notebook/notebook,54.675,54.675,0.7550,0.0574,0.0996,0.754
20260913_sf3d_decoder_l2anchor_dense,notebook/notebook,25.080,25.080,0.8419,0.1645,0.0942,0.833
20260913_sf3d_decoder_l2anchor_dense,notebook/notebook,13.698,166.302,0.7393,0.0605,0.0573,0.804
20260913_sf3d_decoder_l2anchor_dense,notebook/notebook,57.888,57.888,0.9258,0.2141,0.0440,0.783
20260913_sf3d_decoder_l2anchor_dense,notebook/notebook,40.881,40.881,0.8370,0.0329,0.2039,0.798
20260913_sf3d_decoder_l2anchor_dense,notebook/notebook,65.029,65.029,0.6533,0.0521,0.0344,0.904
20260913_sf3d_decoder_l2anchor_dense,notebook/notebook,31.971,31.971,0.7704,0.1220,0.0656,0.914
20260913_sf3d_decoder_l2anchor_dense,notebook/notebook,47.212,47.212,0.6542,0.0447,0.2243,0.838
20260913_sf3d_decoder_l2anchor_dense,notebook/notebook,78.031,78.031,0.3827,0.0974,0.1255,0.985
20260913_sf3d_decoder_l2anchor_dense,notebook/notebook,13.685,13.685,0.6237,0.2277,0.0009,0.799
20260913_sf3d_decoder_l2anchor_dense,notebook/notebook,70.684,70.684,0.3783,0.0712,0.1467,0.892
20260913_sf3d_decoder_l2anchor_dense,notebook/notebook,54.612,54.612,0.7166,0.0548,0.0861,0.796
20260913_sf3d_decoder_l2anchor_dense,notebook/notebook,27.252,27.252,0.8987,0.1472,0.0078,0.863
20260913_sf3d_decoder_l2anchor_dense,notebook/notebook,47.577,47.577,0.7507,0.0153,0.2459,0.758
20260913_sf3d_decoder_l2anchor_dense,phone/phone,67.644,112.356,0.0540,0.0991,0.0028,0.673
20260913_sf3d_decoder_l2anchor_dense,phone/phone,73.932,73.932,0.2989,0.0234,0.1505,0.662
20260913_sf3d_decoder_l2anchor_dense,phone/phone,27.923,152.077,0.0604,0.0858,0.1537,0.752
20260913_sf3d_decoder_l2anchor_dense,phone/phone,88.043,88.043,0.5268,0.0444,0.0524,0.760
20260913_sf3d_decoder_l2anchor_dense,phone/phone,50.949,129.051,0.0573,0.0327,0.1478,0.665
20260913_sf3d_decoder_l2anchor_dense,phone/phone,54.876,125.124,0.4803,0.0762,0.1187,0.829
20260913_sf3d_decoder_l2anchor_dense,phone/phone,89.600,89.600,0.0503,0.0521,0.1265,0.598
20260913_sf3d_decoder_l2anchor_dense,phone/phone,73.083,73.083,0.4771,0.0303,0.0377,0.694
20260913_sf3d_decoder_l2anchor_dense,phone/phone,69.410,110.590,0.0445,0.0715,0.0558,0.630
20260913_sf3d_decoder_l2anchor_dense,phone/phone,9.903,170.097,0.4565,0.1348,0.1915,0.861
20260913_sf3d_decoder_l2anchor_dense,phone/phone,81.230,98.770,0.0460,0.0443,0.0898,0.599
20260913_sf3d_decoder_l2anchor_dense,phone/phone,87.760,87.760,0.6028,0.0510,0.1165,0.740
20260913_sf3d_decoder_l2anchor_dense,phone/phone,83.644,96.356,0.0421,0.1137,0.0021,0.610
20260913_sf3d_decoder_l2anchor_dense,phone/phone,79.863,79.863,0.3250,0.0838,0.0497,0.667
20260913_sf3d_decoder_l2anchor_dense,phone/phone,87.995,87.995,0.0446,0.0395,0.0371,0.698
20260913_sf3d_decoder_l2anchor_dense,phone/phone,60.953,60.953,0.3468,0.0892,0.0807,0.645
20260913_sf3d_decoder_l2anchor_dense,phone/phone,79.101,100.899,0.0467,0.0940,0.0063,0.728
20260913_sf3d_decoder_l2anchor_dense,phone/phone,30.392,30.392,0.6932,0.1270,0.1372,0.812
20260913_sf3d_decoder_l2anchor_dense,espressomachine/espressomachine,83.747,96.253,0.0885,0.1097,0.0224,0.623
20260913_sf3d_decoder_l2anchor_dense,espressomachine/espressomachine,22.653,157.347,0.0659,0.1497,0.0796,0.447
20260913_sf3d_decoder_l2anchor_dense,espressomachine/espressomachine,89.199,89.199,0.0885,0.1445,0.0946,0.607
20260913_sf3d_decoder_l2anchor_dense,espressomachine/espressomachine,29.873,150.127,0.0656,0.0380,0.0748,0.461
20260913_sf3d_decoder_l2anchor_dense,espressomachine/espressomachine,68.147,111.853,0.0851,0.0782,0.0769,0.617
20260913_sf3d_decoder_l2anchor_dense,espressomachine/espressomachine,31.104,148.896,0.0689,0.0377,0.0707,0.456
20260913_sf3d_decoder_l2anchor_dense,espressomachine/espressomachine,57.461,122.539,0.0732,0.0622,0.0348,0.592
20260913_sf3d_decoder_l2anchor_dense,espressomachine/espressomachine,64.722,115.278,0.0687,0.1496,0.2927,0.468
20260913_sf3d_decoder_l2anchor_dense,espressomachine/espressomachine,74.281,105.719,0.0876,0.0695,0.0886,0.633
20260913_sf3d_decoder_l2anchor_dense,espressomachine/espressomachine,11.481,168.519,0.0776,0.0590,0.2257,0.359
20260913_sf3d_decoder_l2anchor_dense,espressomachine/espressomachine,33.557,146.443,0.0807,0.0554,0.0781,0.626
20260913_sf3d_decoder_l2anchor_dense,espressomachine/espressomachine,11.751,168.249,0.0779,0.1173,0.1211,0.460
20260913_sf3d_decoder_l2anchor_dense,espressomachine/espressomachine,75.121,104.879,0.0903,0.1511,0.0781,0.531
20260913_sf3d_decoder_l2anchor_dense,espressomachine/espressomachine,31.979,148.021,0.0666,0.0474,0.1486,0.495
20260913_sf3d_decoder_l2anchor_dense,espressomachine/espressomachine,59.279,120.721,0.0739,0.0906,0.0994,0.660
20260913_sf3d_decoder_l2anchor_dense,espressomachine/espressomachine,22.464,157.536,0.0720,0.1077,0.1105,0.413
20260913_sf3d_decoder_l2anchor_dense,espressomachine/espressomachine,40.715,139.285,0.0706,0.0288,0.0041,0.622
20260913_sf3d_decoder_l2anchor_dense,espressomachine/espressomachine,14.776,165.224,0.0668,0.1332,0.1442,0.431
20260913_sf3d_decoder_l2anchor_dense,espressomachine/espressomachine,44.455,135.545,0.0856,0.0429,0.1056,0.549
20260913_sf3d_decoder_l2anchor_dense,espressomachine/espressomachine,5.681,174.319,0.0632,0.1298,0.1337,0.455
20260913_sf3d_decoder_l2anchor_dense,espressomachine/espressomachine,70.440,109.560,0.0898,0.1104,0.0292,0.617
20260913_sf3d_decoder_l2anchor_dense,espressomachine/espressomachine,20.021,159.979,0.0676,0.0840,0.0676,0.460
20260913_sf3d_decoder_l2anchor_dense,espressomachine/espressomachine,84.379,95.621,0.0979,0.1446,0.0946,0.545
20260913_sf3d_decoder_l2anchor_dense,espressomachine/espressomachine,22.013,157.987,0.0778,0.0853,0.0529,0.469
20260913_sf3d_decoder_l2anchor_dense,espressomachine/espressomachine,78.980,101.020,0.0839,0.1113,0.0546,0.586
20260913_sf3d_decoder_l2anchor_dense,espressomachine/espressomachine,22.693,157.307,0.0685,0.0545,0.0089,0.476
20260913_sf3d_decoder_l2anchor_dense,espressomachine/espressomachine,84.373,84.373,0.0997,0.1539,0.0747,0.633
20260913_sf3d_decoder_l2anchor_dense,espressomachine/espressomachine,35.248,144.752,0.0728,0.0849,0.0127,0.446
20260913_sf3d_decoder_l2anchor_dense,espressomachine/espressomachine,68.142,111.858,0.0805,0.0981,0.0568,0.540
20260913_sf3d_decoder_l2anchor_dense,espressomachine/espressomachine,17.169,162.831,0.0701,0.1160,0.0985,0.469
20260913_sf3d_decoder_l2anchor_dense,espressomachine/espressomachine,86.835,93.165,0.0742,0.1236,0.1503,0.631
20260913_sf3d_decoder_l2anchor_dense,espressomachine/espressomachine,23.797,156.203,0.0758,0.0388,0.0633,0.518
20260913_sf3d_decoder_l2anchor_dense,espressomachine/espressomachine,69.970,110.030,0.0770,0.1020,0.0840,0.571
