model,idx,key,gt_type,pred_type,p_rev,axis_signed_deg,axis_unsigned_deg,origin_line_err_m,origin_qstar_err_m,point3d_err_m,point2d_err_frac,mask_iou,z_p_m,radius_m
sf3d_only,0,420693/42445168/7953.145/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,0.0520,5.5135,5.5135,nan,nan,0.0821,0.0334,0.3270,2.3406,0.5642
sf3d_only,1,420693/42445168/7953.245/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,0.0505,4.6047,4.6047,nan,nan,0.0970,0.0396,0.1760,2.2807,0.5816
sf3d_only,2,420693/42445168/7953.345/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,0.0503,4.9015,4.9015,nan,nan,0.0777,0.0343,0.2023,2.2909,0.5337
sf3d_only,3,420693/42445168/7953.445/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,0.0498,5.7937,5.7937,nan,nan,0.0587,0.0255,0.5157,2.2044,0.5236
sf3d_only,4,420693/42445168/7955.444/88f94051-70d3-4070-914c-a7e4e85d9494,0,0,0.0492,19.8590,19.8590,nan,nan,0.1718,0.0114,0.3597,1.6382,0.0618
sf3d_only,5,420693/42445168/7955.544/88f94051-70d3-4070-914c-a7e4e85d9494,0,0,0.0425,15.3336,15.3336,nan,nan,0.0925,0.0065,0.5559,1.5548,0.0783
sf3d_only,6,420693/42445168/7955.544/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,0.0537,4.9888,4.9888,nan,nan,0.2539,0.0044,0.6257,1.7284,0.4415
sf3d_only,7,420693/42445168/7955.644/88f94051-70d3-4070-914c-a7e4e85d9494,0,0,0.0384,15.5990,15.5990,nan,nan,0.1115,0.0094,0.4163,1.5522,0.0708
sf3d_only,8,420693/42445168/7955.644/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,0.0554,4.3303,4.3303,nan,nan,0.2198,0.0291,0.5440,1.6911,0.4157
sf3d_only,9,420693/42445168/7955.744/88f94051-70d3-4070-914c-a7e4e85d9494,0,0,0.0430,13.1134,13.1134,nan,nan,0.0767,0.0088,0.4175,1.4908,0.0669
