model,object,axis_unsigned_deg,axis_signed_deg,p_rev,radius_m,hinge_offset_frac,z_p,verb,hinge_point_offset_frac
noproj,capsulemachine/capsulemachine,51.698,128.302,0.9343,0.0643,0.0125,0.908,open,0.2205
noproj,capsulemachine/capsulemachine,19.803,19.803,0.9309,0.0550,0.1179,0.914,open,0.1416
noproj,capsulemachine/capsulemachine,33.246,33.246,0.9428,0.1237,0.0721,0.874,close,0.1350
noproj,capsulemachine/capsulemachine,22.658,22.658,0.9395,0.0257,0.1473,0.811,open,0.1752
noproj,capsulemachine/capsulemachine,74.621,105.379,0.9422,0.0621,0.0207,0.862,close,0.2105
noproj,capsulemachine/capsulemachine,65.802,65.802,0.9411,0.1923,0.1249,0.680,close,0.1985
noproj,capsulemachine/capsulemachine,32.856,32.856,0.9370,0.1007,0.0998,0.876,open,0.1315
noproj,capsulemachine/capsulemachine,87.188,87.188,0.9385,0.1937,0.0837,0.879,close,0.0229
noproj,capsulemachine/capsulemachine,76.178,103.822,0.9428,0.0731,0.1961,0.851,open,0.1463
noproj,capsulemachine/capsulemachine,44.351,135.649,0.9430,0.1748,0.3353,0.687,close,0.2128
noproj,capsulemachine/capsulemachine,87.996,87.996,0.9392,0.0820,0.1980,0.794,open,0.3674
noproj,capsulemachine/capsulemachine,88.487,91.513,0.9463,0.1203,0.3104,0.807,close,0.0899
noproj,capsulemachine/capsulemachine,88.154,88.154,0.9396,0.0225,0.1258,0.901,open,0.2588
noproj,capsulemachine/capsulemachine,12.380,167.620,0.9393,0.1662,0.1242,0.914,close,0.1722
noproj,scissors/scissors,53.581,126.419,0.9486,0.2600,0.0287,0.938,close,0.0352
noproj,scissors/scissors,55.817,55.817,0.9501,0.2288,0.0438,1.021,open,0.1097
noproj,scissors/scissors,36.054,143.946,0.9509,0.2919,0.0023,0.910,close,0.2269
noproj,scissors/scissors,37.356,37.356,0.9478,0.2140,0.0621,1.069,open,0.2109
noproj,scissors/scissors,72.459,107.541,0.9513,0.1911,0.0823,0.903,close,0.1189
noproj,scissors/scissors,71.958,71.958,0.9512,0.1214,0.0523,1.090,open,0.0645
noproj,scissors/scissors,84.567,84.567,0.9510,0.1916,0.1138,0.895,close,0.1153
noproj,scissors/scissors,50.453,129.547,0.9523,0.2230,0.0536,0.930,close,0.1670
noproj,scissors/scissors,40.890,139.110,0.9522,0.2929,0.0168,0.896,close,0.1920
noproj,scissors/scissors,34.188,145.812,0.9522,0.2976,0.0001,0.862,close,0.2275
noproj,scissors/scissors,43.832,43.832,0.9504,0.2157,0.0601,1.050,open,0.1917
noproj,scissors/scissors,30.010,149.990,0.9511,0.2775,0.0093,0.888,close,0.2327
noproj,scissors/scissors,32.711,147.289,0.9509,0.2446,0.0454,0.877,close,0.2223
noproj,scissors/scissors,34.242,145.758,0.9494,0.2492,0.0527,0.864,close,0.2209
noproj,scissors/scissors,56.907,56.907,0.9511,0.2126,0.0086,1.033,open,0.1059
noproj,scissors/scissors,49.172,130.828,0.9469,0.2373,0.0204,1.061,close,0.0246
noproj,scissors/scissors,50.752,50.752,0.9476,0.1977,0.0002,1.119,open,0.0218
noproj,scissors/scissors,83.610,96.390,0.9492,0.2290,0.0543,0.930,close,0.1466
noproj,scissors/scissors,76.205,76.205,0.9488,0.1700,0.0092,1.084,open,0.1499
noproj,scissors/scissors,48.334,131.666,0.9507,0.2549,0.0000,0.902,close,0.2682
noproj,scissors/scissors,33.040,146.960,0.9485,0.2682,0.0141,0.887,close,0.2543
noproj,scissors/scissors,32.751,147.249,0.9492,0.2501,0.0032,0.880,close,0.2591
noproj,scissors/scissors,63.854,116.146,0.9515,0.2505,0.0142,0.896,close,0.2077
noproj,scissors/scissors,72.970,107.030,0.9503,0.1281,0.1028,1.028,close,0.2069
noproj,scissors/scissors,88.025,91.975,0.9497,0.1882,0.0861,0.937,close,0.1843
noproj,scissors/scissors,75.068,104.932,0.9513,0.1726,0.1128,0.941,close,0.1434
noproj,scissors/scissors,51.705,128.295,0.9513,0.2339,0.0320,0.955,close,0.1575
noproj,scissors/scissors,40.832,139.168,0.9506,0.2050,0.0300,0.926,close,0.1915
noproj,scissors/scissors,75.740,104.260,0.9499,0.1564,0.1325,0.948,close,0.2086
noproj,scissors/scissors,81.644,98.356,0.9476,0.2237,0.0766,0.884,close,0.2360
noproj,scissors/scissors,70.095,70.095,0.9520,0.1371,0.0040,1.100,open,0.0870
noproj,waffleiron/waffleiron,54.400,125.600,0.9474,0.2712,0.2506,1.053,open,0.2684
noproj,waffleiron/waffleiron,52.931,127.069,0.9458,0.3795,0.0605,0.998,close,0.1529
noproj,waffleiron/waffleiron,54.534,125.466,0.9473,0.2467,0.3387,1.020,open,0.4106
noproj,waffleiron/waffleiron,32.315,147.685,0.9439,0.3234,0.0871,0.796,close,0.0796
noproj,waffleiron/waffleiron,17.157,162.843,0.9457,0.2254,0.1716,1.244,open,0.1928
noproj,waffleiron/waffleiron,26.882,26.882,0.9445,0.2825,0.2427,0.934,close,0.2622
noproj,waffleiron/waffleiron,18.371,161.629,0.9460,0.2516,0.3969,1.010,open,0.4062
noproj,waffleiron/waffleiron,47.875,132.125,0.9503,0.1971,0.2691,0.944,close,0.3739
noproj,waffleiron/waffleiron,42.864,137.136,0.9470,0.1990,0.2183,1.006,open,0.4047
noproj,waffleiron/waffleiron,30.166,149.834,0.9428,0.2214,0.2815,0.834,close,0.3057
noproj,waffleiron/waffleiron,29.505,150.495,0.9438,0.2964,0.0537,0.928,open,0.0791
noproj,waffleiron/waffleiron,66.499,66.499,0.9419,0.3235,0.0980,0.948,close,0.0540
noproj,waffleiron/waffleiron,79.730,100.270,0.9495,0.3359,0.0655,0.989,open,0.3029
noproj,waffleiron/waffleiron,67.617,67.617,0.9483,0.2331,0.0109,0.870,close,0.3454
noproj,waffleiron/waffleiron,29.462,150.538,0.9491,0.2087,0.1614,1.048,open,0.2260
noproj,waffleiron/waffleiron,33.580,33.580,0.9475,0.2479,0.2016,0.813,close,0.2699
noproj,waffleiron/waffleiron,66.398,113.602,0.9422,0.2293,0.1260,1.007,open,0.2137
noproj,waffleiron/waffleiron,38.153,38.153,0.9500,0.2726,0.1680,0.777,close,0.2066
noproj,laptop/laptop,50.971,129.029,0.9493,0.2295,0.2131,1.184,open,0.2671
noproj,laptop/laptop,47.292,132.708,0.9488,0.2640,0.2393,1.173,open,0.3019
noproj,laptop/laptop,87.627,87.627,0.9463,0.3021,0.0827,1.113,open,0.2576
noproj,laptop/laptop,67.679,112.321,0.9510,0.3901,0.1272,1.153,close,0.2934
noproj,laptop/laptop,26.825,153.175,0.9479,0.2170,0.2254,1.113,open,0.1342
noproj,laptop/laptop,88.083,91.917,0.9500,0.4504,0.0922,1.063,close,0.3577
noproj,laptop/laptop,63.901,116.099,0.9470,0.3329,0.0831,1.091,open,0.3138
noproj,laptop/laptop,58.408,121.592,0.9478,0.1881,0.1267,1.230,open,0.2192
noproj,laptop/laptop,75.433,104.567,0.9474,0.1712,0.0060,1.115,close,0.3243
noproj,laptop/laptop,58.698,121.302,0.9486,0.2064,0.1263,1.199,open,0.1981
noproj,laptop/laptop,44.484,135.516,0.9484,0.3294,0.1574,1.086,open,0.2602
noproj,laptop/laptop,89.446,90.554,0.9503,0.3300,0.1114,1.216,close,0.3208
noproj,laptop/laptop,46.977,133.023,0.9498,0.1861,0.2206,1.189,open,0.1894
noproj,laptop/laptop,27.647,152.353,0.9466,0.1904,0.1932,1.093,open,0.2794
noproj,laptop/laptop,82.449,82.449,0.9538,0.2456,0.0598,1.104,close,0.2840
noproj,laptop/laptop,70.475,109.525,0.9489,0.2047,0.1019,1.211,open,0.1945
noproj,laptop/laptop,49.008,130.992,0.9492,0.1844,0.2089,1.209,open,0.2126
noproj,box/box,46.257,133.743,0.9482,0.1375,0.0911,0.948,open,0.4769
noproj,box/box,21.931,21.931,0.9447,0.1911,0.0967,0.941,open,0.1684
noproj,box/box,48.059,131.941,0.9470,0.2281,0.0337,0.873,close,0.3578
noproj,box/box,54.745,125.255,0.9467,0.2370,0.0805,0.981,open,0.1218
noproj,box/box,59.411,120.589,0.9519,0.1266,0.0737,0.876,close,0.5416
noproj,box/box,23.775,156.225,0.9461,0.1226,0.1927,1.051,open,0.2332
noproj,box/box,69.183,69.183,0.9471,0.2391,0.0379,0.854,close,0.3301
noproj,box/box,17.936,162.064,0.9454,0.1521,0.2365,0.957,open,0.3434
noproj,box/box,82.088,97.912,0.9436,0.1373,0.0135,0.979,open,0.2812
noproj,box/box,48.308,48.308,0.9478,0.2866,0.1308,0.953,open,0.2570
noproj,box/box,74.831,105.169,0.9514,0.2636,0.0561,0.759,close,0.3235
noproj,notebook/notebook,43.908,43.908,0.9501,0.1507,0.0076,0.953,open,0.1130
noproj,notebook/notebook,39.727,39.727,0.9533,0.1501,0.0280,0.968,open,0.0908
noproj,notebook/notebook,45.749,45.749,0.9489,0.1018,0.1012,1.114,open,0.1442
noproj,notebook/notebook,23.025,23.025,0.9475,0.2424,0.0980,1.079,open,0.0892
noproj,notebook/notebook,4.524,4.524,0.9466,0.3226,0.0974,0.941,close,0.1623
noproj,notebook/notebook,53.031,53.031,0.9529,0.1628,0.0375,0.885,open,0.1074
noproj,notebook/notebook,81.618,98.382,0.9513,0.1916,0.0031,0.948,close,0.2422
noproj,notebook/notebook,54.294,54.294,0.9501,0.1593,0.0323,1.023,open,0.0724
noproj,notebook/notebook,36.426,143.574,0.9539,0.2210,0.2149,0.844,close,0.2340
noproj,notebook/notebook,50.190,50.190,0.9504,0.1130,0.0012,0.893,open,0.0834
noproj,notebook/notebook,36.479,143.521,0.9471,0.2196,0.1728,0.917,close,0.1225
noproj,notebook/notebook,39.987,39.987,0.9509,0.1313,0.0119,0.988,open,0.0925
noproj,notebook/notebook,77.975,102.025,0.9482,0.2271,0.1483,1.099,open,0.2531
noproj,notebook/notebook,27.128,27.128,0.9483,0.2850,0.1429,0.952,close,0.1988
noproj,notebook/notebook,74.739,74.739,0.9503,0.1277,0.0823,0.981,open,0.1457
noproj,notebook/notebook,54.089,54.089,0.9502,0.2680,0.0315,0.946,close,0.2599
noproj,notebook/notebook,25.252,25.252,0.9463,0.0706,0.0288,1.129,open,0.0646
noproj,notebook/notebook,53.584,126.416,0.9506,0.2085,0.1954,0.845,close,0.2337
noproj,notebook/notebook,60.323,119.677,0.9482,0.1285,0.1012,0.867,open,0.1922
noproj,notebook/notebook,73.304,106.696,0.9488,0.1214,0.1611,0.916,close,0.1016
noproj,phone/phone,71.997,71.997,0.9374,0.3178,0.0548,0.834,close,0.0417
noproj,phone/phone,88.760,88.760,0.9566,0.2589,0.2003,1.021,open,0.0582
noproj,phone/phone,73.536,73.536,0.9448,0.3624,0.1645,1.058,close,0.1564
noproj,phone/phone,68.209,68.209,0.9532,0.3050,0.0308,1.310,open,0.1010
noproj,phone/phone,81.273,98.727,0.9306,0.2380,0.0206,0.912,close,0.0920
noproj,phone/phone,85.813,94.187,0.9484,0.2881,0.0804,1.206,open,0.0758
noproj,phone/phone,83.881,83.881,0.9434,0.3075,0.1627,0.982,close,0.1789
noproj,phone/phone,77.824,77.824,0.9466,0.2585,0.0409,1.294,open,0.0848
noproj,phone/phone,84.806,84.806,0.9488,0.3290,0.0864,0.962,close,0.1644
noproj,phone/phone,83.487,83.487,0.9510,0.2545,0.1561,1.177,open,0.0453
noproj,phone/phone,76.195,103.805,0.9480,0.3244,0.0693,0.954,close,0.2000
noproj,phone/phone,89.407,90.593,0.9497,0.1821,0.0581,1.167,open,0.1312
noproj,phone/phone,77.997,102.003,0.9452,0.3395,0.0057,1.009,close,0.3330
noproj,phone/phone,85.120,94.880,0.9498,0.1938,0.0253,1.105,open,0.1500
noproj,phone/phone,18.074,18.074,0.9459,0.3580,0.1871,0.922,close,0.2356
noproj,phone/phone,78.112,78.112,0.9509,0.2891,0.0419,1.311,open,0.1062
noproj,laptop/laptop,56.477,123.523,0.9471,0.3006,0.1317,1.194,open,0.1751
noproj,laptop/laptop,48.992,48.992,0.9456,0.1054,0.2134,1.320,close,0.1721
noproj,laptop/laptop,80.845,80.845,0.9468,0.3916,0.0895,1.095,close,0.4907
noproj,laptop/laptop,59.797,120.203,0.9457,0.1310,0.0619,1.166,open,0.1900
