model,idx,key,gt_type,pred_type,p_rev,axis_signed_deg,axis_unsigned_deg,origin_line_err_m,origin_qstar_err_m,point3d_err_m,point2d_err_frac,mask_iou,z_p_m,radius_m
noproj,0,420693/42445168/7953.145/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,0.0538,4.8440,4.8440,nan,nan,0.1144,0.0337,0.3651,2.2908,0.3652
noproj,1,420693/42445168/7953.245/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,0.0535,5.2302,5.2302,nan,nan,0.0920,0.0258,0.5134,2.2451,0.3846
noproj,2,420693/42445168/7953.345/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,0.0536,5.2637,5.2637,nan,nan,0.1035,0.0308,0.3965,2.2048,0.3216
noproj,3,420693/42445168/7953.445/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,0.0509,4.1778,4.1778,nan,nan,0.0317,0.0044,0.5025,2.1921,0.3728
noproj,4,420693/42445168/7955.444/88f94051-70d3-4070-914c-a7e4e85d9494,0,0,0.0408,6.2536,6.2536,nan,nan,0.2593,0.0151,0.4930,1.7316,0.1653
noproj,5,420693/42445168/7955.544/88f94051-70d3-4070-914c-a7e4e85d9494,0,0,0.0437,1.9212,1.9212,nan,nan,0.3164,0.0237,0.4688,1.7669,0.1561
noproj,6,420693/42445168/7955.544/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,0.0488,4.0490,4.0490,nan,nan,0.2700,0.0175,0.6569,1.7476,0.1962
noproj,7,420693/42445168/7955.644/88f94051-70d3-4070-914c-a7e4e85d9494,0,0,0.0444,3.0336,3.0336,nan,nan,0.4842,0.0964,0.0000,1.9303,0.2019
noproj,8,420693/42445168/7955.644/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,0.0493,3.4602,3.4602,nan,nan,0.2171,0.0170,0.6842,1.6852,0.1923
noproj,9,420693/42445168/7955.744/88f94051-70d3-4070-914c-a7e4e85d9494,0,0,0.0448,3.3026,3.3026,nan,nan,0.3611,0.0294,0.2701,1.7702,0.1242
noproj,10,420693/42445168/7955.744/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,0.0496,4.8155,4.8155,nan,nan,0.2346,0.0058,0.6459,1.6699,0.1968
noproj,11,420693/42445168/7955.844/88f94051-70d3-4070-914c-a7e4e85d9494,0,0,0.0521,5.1266,5.1266,nan,nan,0.7189,0.2624,0.1908,1.9428,0.1402
