model,object,axis_unsigned_deg,axis_signed_deg,p_rev,radius_m,hinge_offset_frac,z_p,verb,hinge_point_offset_frac
depth,capsulemachine/capsulemachine,70.262,70.262,0.9472,0.6172,0.1668,0.986,open,0.1199
depth,capsulemachine/capsulemachine,61.087,61.087,0.9451,0.1850,0.0065,1.692,open,0.0783
depth,capsulemachine/capsulemachine,28.098,151.902,0.9583,3.2353,0.1317,4.516,close,1.7583
depth,capsulemachine/capsulemachine,65.152,65.152,0.9445,0.6943,0.0631,0.374,open,0.3438
depth,capsulemachine/capsulemachine,76.724,103.276,0.9404,3.8269,0.2188,4.038,close,0.2191
depth,capsulemachine/capsulemachine,69.099,110.901,0.9559,3.4902,nan,4.414,close,1.4334
depth,capsulemachine/capsulemachine,59.827,59.827,0.9504,0.2639,0.1373,1.752,open,0.2089
depth,capsulemachine/capsulemachine,54.899,125.101,0.9494,4.2967,nan,4.545,close,1.2240
depth,capsulemachine/capsulemachine,33.569,33.569,0.9447,0.5023,0.1134,1.302,open,0.1026
depth,capsulemachine/capsulemachine,82.681,97.319,0.9509,3.4483,nan,4.178,close,0.9800
depth,capsulemachine/capsulemachine,81.903,81.903,0.9386,0.4656,0.1897,1.801,open,0.6347
depth,capsulemachine/capsulemachine,21.452,158.548,0.9622,2.9107,0.1411,3.791,close,1.3611
depth,capsulemachine/capsulemachine,67.908,67.908,0.9451,0.9109,0.1406,0.466,open,0.2733
depth,capsulemachine/capsulemachine,61.894,118.106,0.9435,4.5189,0.0563,5.010,close,2.1421
depth,scissors/scissors,61.585,61.585,0.9266,0.1629,0.0071,1.301,close,0.0790
depth,scissors/scissors,57.630,57.630,0.9411,0.4937,0.0986,0.954,open,0.2281
depth,scissors/scissors,76.564,76.564,0.9322,0.1486,0.0756,1.264,close,0.1803
depth,scissors/scissors,88.561,88.561,0.9518,0.5137,0.1674,0.716,open,0.2968
depth,scissors/scissors,75.770,75.770,0.9538,0.0823,0.0888,1.343,close,0.1100
depth,scissors/scissors,40.966,40.966,0.9417,0.3155,0.1127,1.060,open,0.2273
depth,scissors/scissors,48.130,48.130,0.9545,0.1412,0.0831,1.151,close,0.1102
depth,scissors/scissors,45.505,45.505,0.9479,0.0347,0.0939,1.304,close,0.0900
depth,scissors/scissors,28.355,28.355,0.9413,0.0876,0.0884,1.612,close,0.1787
depth,scissors/scissors,32.696,32.696,0.9350,0.0670,0.1172,1.240,close,0.1731
depth,scissors/scissors,68.285,111.715,0.9475,0.5600,0.1914,0.747,open,0.3133
depth,scissors/scissors,10.549,10.549,0.9366,0.2981,0.0374,1.394,close,0.0634
depth,scissors/scissors,31.503,31.503,0.9399,0.5188,0.1087,1.663,close,0.0880
depth,scissors/scissors,37.493,37.493,0.9364,0.0588,0.1596,1.387,close,0.1789
depth,scissors/scissors,50.009,50.009,0.9483,0.8448,0.1030,0.641,open,0.0372
depth,scissors/scissors,41.565,138.435,0.9369,0.2305,0.0808,1.280,close,0.1710
depth,scissors/scissors,50.464,129.536,0.9526,0.2063,0.0880,0.893,open,0.0709
depth,scissors/scissors,75.113,75.113,0.9576,0.0874,0.0856,1.516,close,0.0695
depth,scissors/scissors,22.646,22.646,0.9547,0.7111,0.0023,0.728,open,0.1195
depth,scissors/scissors,73.710,73.710,0.9503,0.0395,0.0177,1.220,close,0.1857
depth,scissors/scissors,76.476,103.524,0.9516,0.2312,0.0206,1.168,close,0.2985
depth,scissors/scissors,82.185,97.815,0.9545,0.0674,0.0257,1.298,close,0.2180
depth,scissors/scissors,68.209,68.209,0.9416,0.1799,0.0506,1.131,close,0.1236
depth,scissors/scissors,61.882,61.882,0.9457,0.2707,0.0397,0.618,close,0.2907
depth,scissors/scissors,49.707,49.707,0.9550,0.1249,0.0615,1.184,close,0.0646
depth,scissors/scissors,54.025,54.025,0.9576,0.1860,0.0043,1.429,close,0.1046
depth,scissors/scissors,57.527,57.527,0.9528,0.3763,0.0167,1.479,close,0.1404
depth,scissors/scissors,29.564,29.564,0.9326,0.2666,0.0352,0.873,close,0.0784
depth,scissors/scissors,61.796,61.796,0.9556,0.4239,0.0474,1.407,close,0.1178
depth,scissors/scissors,46.336,46.336,0.9536,0.1433,0.1216,1.287,close,0.1692
depth,scissors/scissors,79.115,100.885,0.9468,0.1505,0.1582,0.954,open,0.1564
depth,waffleiron/waffleiron,41.239,41.239,0.9461,1.9599,0.0438,0.114,open,0.6472
depth,waffleiron/waffleiron,31.051,31.051,0.9617,0.7264,0.0712,1.040,close,0.1278
depth,waffleiron/waffleiron,50.571,50.571,0.9517,1.0991,0.0975,0.118,open,0.6765
depth,waffleiron/waffleiron,22.630,22.630,0.9597,0.8862,0.0278,1.096,close,0.3734
depth,waffleiron/waffleiron,53.423,126.577,0.9511,0.6580,0.1030,0.446,open,0.5125
