model,key,category,gt_type,moving,axis_unsigned_deg,axis_signed_deg,p_rev,type_ok,gt_hinge_to_point_frac
depth,P01_03/P01_03_27,P01,rot,,55.7825,55.7825,0.3443,0,0.4161
depth,P01_03/P01_03_4,P01,rot,,67.8431,112.1569,0.9466,1,0.7669
depth,P02_07/P02_07_25,P02,rot,,89.1767,90.8233,0.9563,1,0.0693
depth,P02_07/P02_07_47,P02,trans,,29.5747,150.4253,0.0481,1,nan
depth,P02_09/P02_09_153,P02,trans,,38.6044,38.6044,0.0439,1,nan
depth,P02_09/P02_09_163,P02,rot,,28.2630,28.2630,0.9487,1,0.2666
depth,P02_09/P02_09_168,P02,rot,,10.5984,169.4016,0.9079,1,0.5991
depth,P02_09/P02_09_187,P02,rot,,61.6903,61.6903,0.9445,1,0.2865
depth,P02_09/P02_09_20,P02,trans,,11.4775,11.4775,0.0480,1,nan
depth,P02_09/P02_09_262,P02,trans,,10.0879,10.0879,0.0469,1,nan
depth,P02_09/P02_09_277,P02,rot,,17.2543,17.2543,0.9431,1,0.2732
depth,P02_09/P02_09_387,P02,trans,,2.8565,2.8565,0.0490,1,nan
depth,P02_121/P02_121_43,P02,trans,,89.4792,90.5208,0.0332,1,nan
depth,P02_121/P02_121_44,P02,trans,,32.6322,32.6322,0.0485,1,nan
depth,P02_121/P02_121_45,P02,trans,,15.5720,164.4280,0.0540,1,nan
depth,P02_121/P02_121_57,P02,trans,,89.2891,90.7109,0.0346,1,nan
depth,P02_121/P02_121_58,P02,trans,,80.0471,99.9529,0.0376,1,nan
depth,P02_121/P02_121_95,P02,rot,,46.8820,133.1180,0.9219,1,0.2144
depth,P04_33/P04_33_18,P04,trans,,13.4603,13.4603,0.0485,1,nan
depth,P06_05/P06_05_125,P06,rot,,55.6314,55.6314,0.9154,1,0.1107
depth,P06_05/P06_05_138,P06,rot,,51.8096,51.8096,0.9278,1,0.3485
depth,P06_05/P06_05_176,P06,rot,,45.8056,134.1944,0.9219,1,0.2034
depth,P06_05/P06_05_215,P06,rot,,18.6124,161.3876,0.9377,1,0.2725
depth,P06_05/P06_05_48,P06,rot,,26.7363,153.2637,0.9230,1,0.2179
depth,P06_05/P06_05_59,P06,rot,,48.1734,131.8266,0.9259,1,0.3638
depth,P08_17/P08_17_117,P08,rot,,19.9354,19.9354,0.9388,1,0.0620
depth,P08_17/P08_17_99,P08,trans,,9.8044,9.8044,0.0481,1,nan
depth,P11_103/P11_103_45,P11,trans,,39.8609,39.8609,0.0387,1,nan
depth,P11_103/P11_103_64,P11,trans,,9.5837,9.5837,0.0560,1,nan
depth,P11_103/P11_103_66,P11,trans,,23.7960,23.7960,0.0603,1,nan
depth,P11_104/P11_104_186,P11,trans,,38.5841,38.5841,0.0410,1,nan
depth,P11_104/P11_104_96,P11,trans,,11.2208,11.2208,0.0528,1,nan
depth,P12_02/P12_02_127,P12,rot,,34.9732,145.0268,0.9288,1,0.4080
depth,P12_02/P12_02_18,P12,trans,,13.8951,13.8951,0.0556,1,nan
depth,P18_02/P18_02_26,P18,rot,,77.9919,102.0081,0.9522,1,0.3450
depth,P18_02/P18_02_28,P18,rot,,24.5936,24.5936,0.9409,1,0.2515
depth,P20_03/P20_03_15,P20,rot,,47.7795,132.2205,0.9539,1,0.5268
depth,P20_03/P20_03_54,P20,rot,,10.7111,10.7111,0.9596,1,0.2847
depth,P22_107/P22_107_148,P22,trans,,24.2951,24.2951,0.0483,1,nan
depth,P22_107/P22_107_225,P22,trans,,5.7242,5.7242,0.0563,1,nan
depth,P22_107/P22_107_226,P22,trans,,57.0316,122.9684,0.0419,1,nan
depth,P22_107/P22_107_227,P22,trans,,9.8580,9.8580,0.0575,1,nan
depth,P22_107/P22_107_39,P22,trans,,8.4223,8.4223,0.0513,1,nan
depth,P22_107/P22_107_50,P22,rot,,47.0204,47.0204,0.9412,1,0.1400
depth,P22_107/P22_107_55,P22,rot,,39.7195,140.2805,0.9324,1,0.3501
depth,P24_05/P24_05_109,P24,rot,,88.4732,91.5268,0.9473,1,0.1610
depth,P24_05/P24_05_48,P24,rot,,34.4436,34.4436,0.9489,1,0.1257
depth,P24_08/P24_08_113,P24,rot,,70.3134,109.6866,0.9518,1,0.2245
depth,P24_08/P24_08_168,P24,rot,,70.0771,109.9229,0.9479,1,0.7616
depth,P24_08/P24_08_174,P24,rot,,79.9713,79.9713,0.9502,1,0.0783
depth,P24_08/P24_08_30,P24,rot,,89.0234,90.9766,0.9573,1,0.2409
depth,P24_08/P24_08_77,P24,rot,,76.0364,103.9636,0.9554,1,0.3461
depth,P30_101/P30_101_263,P30,trans,,71.1205,108.8795,0.0459,1,nan
