model,source,key,gt_type,p_rev,type_ok,point_err,end_err,disp_err,gt_len,mask_iou
depth,hoi4d,ZY20210800001_H1_C14_N25/S158_s03_T1_w0_f056,0,0.0552,1,0.00744,0.00114,0.00736,0.01641,0.7881
depth,hoi4d,ZY20210800001_H1_C14_N25/S158_s03_T1_w1_f064,1,0.9502,1,0.01938,0.04286,0.02401,0.16054,0.8354
depth,hoi4d,ZY20210800001_H1_C14_N25/S158_s03_T1_w2_f088,1,0.9409,1,0.00588,0.01254,0.01063,0.16971,0.6673
depth,hoi4d,ZY20210800001_H1_C14_N25/S158_s03_T1_w3_f185,0,0.0593,1,0.00934,0.00494,0.00712,0.01117,0.7286
depth,hoi4d,ZY20210800001_H1_C14_N25/S158_s03_T1_w4_f195,1,0.9461,1,0.01294,0.01468,0.00392,0.13501,0.7189
depth,hoi4d,ZY20210800001_H1_C14_N25/S158_s03_T1_w5_f214,1,0.9501,1,0.00060,0.02598,0.02654,0.16262,0.7370
depth,hoi4d,ZY20210800001_H1_C14_N25/S209_s03_T2_w0_f052,1,0.9442,1,0.01444,0.04696,0.04196,0.14352,0.6635
depth,hoi4d,ZY20210800001_H1_C14_N25/S209_s03_T2_w1_f082,1,0.9521,1,0.00386,0.01687,0.01555,0.12702,0.5338
depth,hoi4d,ZY20210800001_H1_C14_N25/S209_s03_T2_w2_f166,1,0.9422,1,0.02229,0.06091,0.05075,0.15359,0.7359
depth,hoi4d,ZY20210800001_H1_C14_N25/S367_s01_T2_w0_f050,1,0.9341,1,0.01291,0.03168,0.03290,0.16328,0.8107
depth,hoi4d,ZY20210800001_H1_C14_N26/S333_s01_T1_w0_f069,1,0.9348,1,0.01092,0.02120,0.01166,0.06633,0.7993
depth,hoi4d,ZY20210800001_H1_C14_N26/S333_s01_T1_w1_f105,1,0.9447,1,0.00882,0.01373,0.01046,0.04342,0.2314
depth,hoi4d,ZY20210800001_H1_C14_N26/S333_s01_T1_w2_f207,1,0.9373,1,0.01398,0.01800,0.01988,0.05687,0.7603
depth,hoi4d,ZY20210800001_H1_C14_N26/S333_s01_T1_w3_f237,1,0.9346,1,0.01195,0.02324,0.01659,0.03607,0.3355
depth,hoi4d,ZY20210800001_H1_C14_N26/S333_s02_T2_w0_f060,1,0.9494,1,0.01111,0.02454,0.01744,0.04740,0.7961
depth,hoi4d,ZY20210800001_H1_C14_N26/S333_s02_T2_w1_f087,1,0.9532,1,0.00834,0.05123,0.04289,0.04100,0.0000
depth,hoi4d,ZY20210800001_H1_C14_N26/S333_s02_T2_w2_f176,1,0.9457,1,0.01212,0.01391,0.00257,0.04788,0.6922
depth,hoi4d,ZY20210800001_H1_C14_N31/S155_s02_T1_w0_f051,0,0.0475,1,0.01322,0.00538,0.00932,0.02112,0.7916
depth,hoi4d,ZY20210800001_H1_C14_N31/S155_s02_T1_w1_f059,1,0.9233,1,0.01433,0.01284,0.00190,0.11403,0.7420
depth,hoi4d,ZY20210800001_H1_C14_N31/S155_s02_T1_w2_f097,1,0.9506,1,0.01641,0.02799,0.01287,0.11692,0.4617
depth,hoi4d,ZY20210800001_H1_C14_N31/S155_s02_T1_w3_f201,0,0.0557,1,0.01567,0.00816,0.00951,0.03199,0.8143
depth,hoi4d,ZY20210800001_H1_C14_N31/S155_s02_T1_w4_f209,1,0.9286,1,0.00920,0.00554,0.01137,0.12250,0.8312
depth,hoi4d,ZY20210800001_H1_C14_N31/S155_s02_T1_w5_f241,1,0.9431,1,0.02350,0.02990,0.01601,0.10926,0.5070
depth,hoi4d,ZY20210800001_H1_C14_N31/S207_s02_T2_w0_f067,1,0.9480,1,0.01054,0.01926,0.02434,0.07841,0.6254
depth,hoi4d,ZY20210800001_H1_C14_N31/S207_s02_T2_w1_f092,1,0.9433,1,0.02105,0.03254,0.03120,0.09781,0.4812
depth,hoi4d,ZY20210800001_H1_C14_N31/S207_s02_T2_w2_f184,1,0.9290,1,0.02251,0.04849,0.03155,0.09341,0.6990
depth,hoi4d,ZY20210800001_H1_C14_N39/S155_s04_T1_w0_f039,0,0.0454,1,0.00566,0.01201,0.00689,0.01594,0.7363
depth,hoi4d,ZY20210800001_H1_C14_N39/S155_s04_T1_w1_f047,1,0.9404,1,0.01249,0.03891,0.02656,0.25068,0.8207
depth,hoi4d,ZY20210800001_H1_C14_N39/S155_s04_T1_w2_f085,1,0.9450,1,0.01192,0.03760,0.03307,0.21977,0.6469
depth,hoi4d,ZY20210800001_H1_C14_N39/S155_s04_T1_w3_f190,1,0.9464,1,0.00702,0.03459,0.02981,0.24527,0.8269
depth,hoi4d,ZY20210800001_H1_C14_N39/S155_s04_T1_w4_f222,1,0.9452,1,0.01202,0.05701,0.04805,0.26869,0.6933
