model,key,category,gt_type,moving,axis_unsigned_deg,axis_signed_deg,p_rev,type_ok,gt_hinge_to_point_frac
depth,ZY20210800001_H1_C14_N25/S158_s03_T1_w0_f056,C14,rot,Dustbincover,64.4356,64.4356,0.0552,0,0.0750
depth,ZY20210800001_H1_C14_N25/S158_s03_T1_w1_f064,C14,rot,Dustbincover,18.7565,18.7565,0.9502,1,0.0819
depth,ZY20210800001_H1_C14_N25/S158_s03_T1_w2_f088,C14,rot,Dustbincover,52.0726,127.9274,0.9409,1,0.0608
depth,ZY20210800001_H1_C14_N25/S158_s03_T1_w3_f185,C14,rot,Dustbincover,56.7148,56.7148,0.0593,0,0.0664
depth,ZY20210800001_H1_C14_N25/S158_s03_T1_w4_f195,C14,rot,Dustbincover,19.9916,19.9916,0.9461,1,0.0519
depth,ZY20210800001_H1_C14_N25/S158_s03_T1_w5_f214,C14,rot,Dustbincover,55.6727,124.3273,0.9501,1,0.1119
depth,ZY20210800001_H1_C14_N25/S209_s03_T2_w0_f052,C14,rot,Dustbincover,36.9035,36.9035,0.9442,1,0.0619
depth,ZY20210800001_H1_C14_N25/S209_s03_T2_w1_f082,C14,rot,Dustbincover,79.5117,100.4883,0.9521,1,0.1129
depth,ZY20210800001_H1_C14_N25/S209_s03_T2_w2_f166,C14,rot,Dustbincover,47.3735,47.3735,0.9422,1,0.0933
depth,ZY20210800001_H1_C14_N25/S367_s01_T2_w0_f050,C14,rot,Dustbincover,5.4866,5.4866,0.9341,1,0.0698
depth,ZY20210800001_H1_C14_N26/S333_s01_T1_w0_f069,C14,rot,Dustbincover,53.5587,53.5587,0.9348,1,0.0539
depth,ZY20210800001_H1_C14_N26/S333_s01_T1_w1_f105,C14,rot,Dustbincover,75.9003,104.0997,0.9447,1,0.0708
depth,ZY20210800001_H1_C14_N26/S333_s01_T1_w2_f207,C14,rot,Dustbincover,51.5483,51.5483,0.9373,1,0.0582
depth,ZY20210800001_H1_C14_N26/S333_s01_T1_w3_f237,C14,rot,Dustbincover,84.9289,95.0711,0.9346,1,0.0712
depth,ZY20210800001_H1_C14_N26/S333_s02_T2_w0_f060,C14,rot,Dustbincover,51.2951,51.2951,0.9494,1,0.0472
depth,ZY20210800001_H1_C14_N26/S333_s02_T2_w1_f087,C14,rot,Dustbincover,63.1260,116.8740,0.9532,1,0.0561
depth,ZY20210800001_H1_C14_N26/S333_s02_T2_w2_f176,C14,rot,Dustbincover,52.2279,52.2279,0.9457,1,0.0606
depth,ZY20210800001_H1_C14_N31/S155_s02_T1_w0_f051,C14,rot,Dustbincover,59.2554,59.2554,0.0475,0,0.0542
depth,ZY20210800001_H1_C14_N31/S155_s02_T1_w1_f059,C14,rot,Dustbincover,43.4827,136.5173,0.9233,1,0.0464
depth,ZY20210800001_H1_C14_N31/S155_s02_T1_w2_f097,C14,rot,Dustbincover,51.9595,128.0405,0.9506,1,0.0924
depth,ZY20210800001_H1_C14_N31/S155_s02_T1_w3_f201,C14,rot,Dustbincover,61.0102,61.0102,0.0557,0,0.1718
depth,ZY20210800001_H1_C14_N31/S155_s02_T1_w4_f209,C14,rot,Dustbincover,34.9899,34.9899,0.9286,1,0.1110
depth,ZY20210800001_H1_C14_N31/S155_s02_T1_w5_f241,C14,rot,Dustbincover,54.2279,125.7721,0.9431,1,0.0815
depth,ZY20210800001_H1_C14_N31/S207_s02_T2_w0_f067,C14,rot,Dustbincover,60.1084,60.1084,0.9480,1,0.0510
depth,ZY20210800001_H1_C14_N31/S207_s02_T2_w1_f092,C14,rot,Dustbincover,65.8428,114.1572,0.9433,1,0.0814
depth,ZY20210800001_H1_C14_N31/S207_s02_T2_w2_f184,C14,rot,Dustbincover,34.4332,34.4332,0.9290,1,0.0614
depth,ZY20210800001_H1_C14_N39/S155_s04_T1_w0_f039,C14,rot,Dustbincover,64.1471,64.1471,0.0454,0,0.1576
depth,ZY20210800001_H1_C14_N39/S155_s04_T1_w1_f047,C14,rot,Dustbincover,16.8378,163.1622,0.9404,1,0.1528
depth,ZY20210800001_H1_C14_N39/S155_s04_T1_w2_f085,C14,rot,Dustbincover,55.6173,124.3827,0.9450,1,0.0688
depth,ZY20210800001_H1_C14_N39/S155_s04_T1_w3_f190,C14,trans,Dustbincover,50.7703,50.7703,0.9464,0,nan
depth,ZY20210800001_H1_C14_N39/S155_s04_T1_w4_f222,C14,rot,Dustbincover,63.4220,116.5780,0.9452,1,0.0794
depth,ZY20210800001_H1_C14_N39/S207_s04_T2_w0_f044,C14,rot,Dustbincover,71.0783,71.0783,0.0505,0,0.1503
depth,ZY20210800001_H1_C14_N39/S207_s04_T2_w1_f051,C14,rot,Dustbincover,26.7744,26.7744,0.9482,1,0.1538
depth,ZY20210800001_H1_C14_N39/S207_s04_T2_w2_f076,C14,rot,Dustbincover,73.5236,106.4764,0.9469,1,0.0943
depth,ZY20210800001_H1_C14_N39/S207_s04_T2_w3_f160,C14,rot,Dustbincover,25.8962,154.1038,0.9453,1,0.0635
depth,ZY20210800001_H1_C3_N25/S19_s02_T2_w0_f032,C3,rot,Laptopdisplay,10.9471,10.9471,0.9439,1,0.3268
depth,ZY20210800001_H1_C3_N25/S19_s02_T2_w1_f131,C3,rot,Laptopdisplay,52.5248,127.4752,0.9459,1,0.2391
depth,ZY20210800001_H1_C3_N28/S19_s03_T2_w0_f040,C3,rot,Laptopdisplay,20.4250,20.4250,0.9448,1,0.3238
