model,idx,key,gt_type,pred_type,p_rev,axis_signed_deg,axis_unsigned_deg,origin_line_err_m,origin_qstar_err_m,point3d_err_m,point2d_err_frac,mask_iou,z_p_m,radius_m
depth,0,420693/42445168/7953.145/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,0.0531,3.8690,3.8690,nan,nan,0.4908,0.0321,0.0764,2.8408,0.1824
depth,1,420693/42445168/7953.245/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,0.0526,3.9547,3.9547,nan,nan,0.4449,0.0411,0.1438,2.7349,0.1560
depth,2,420693/42445168/7953.345/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,0.0531,3.2040,3.2040,nan,nan,0.4475,0.0377,0.0688,2.7068,0.2314
depth,3,420693/42445168/7953.445/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,0.0526,3.1879,3.1879,nan,nan,0.4915,0.0195,0.4543,2.6962,0.1610
depth,4,420693/42445168/7955.444/88f94051-70d3-4070-914c-a7e4e85d9494,0,0,0.0457,12.6843,12.6843,nan,nan,0.4093,0.0095,0.4293,1.8466,0.1240
depth,5,420693/42445168/7955.544/88f94051-70d3-4070-914c-a7e4e85d9494,0,0,0.0453,5.5758,5.5758,nan,nan,0.3603,0.0110,0.5927,1.7855,0.1462
depth,6,420693/42445168/7955.544/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,0.0547,4.5621,4.5621,nan,nan,0.4226,0.0043,0.5900,1.8851,0.2361
depth,7,420693/42445168/7955.644/88f94051-70d3-4070-914c-a7e4e85d9494,0,0,0.0427,5.3391,5.3391,nan,nan,0.3678,0.0104,0.3595,1.7771,0.1343
depth,8,420693/42445168/7955.644/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,0.0541,3.7235,3.7235,nan,nan,0.3516,0.0044,0.6311,1.8094,0.2341
depth,9,420693/42445168/7955.744/88f94051-70d3-4070-914c-a7e4e85d9494,0,0,0.0437,4.6096,4.6096,nan,nan,0.2656,0.0088,0.3979,1.6571,0.1348
depth,10,420693/42445168/7955.744/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,0.0524,3.9241,3.9241,nan,nan,0.3842,0.0051,0.6301,1.8136,0.1985
depth,11,420693/42445168/7955.844/88f94051-70d3-4070-914c-a7e4e85d9494,0,0,0.0600,2.3356,2.3356,nan,nan,0.3435,0.0053,0.4048,1.7010,0.1000
depth,12,420693/42445168/7955.844/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,0.0503,2.5652,2.5652,nan,nan,0.3341,0.0207,0.7431,1.7355,0.1890
depth,13,420693/42445168/7955.944/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,0.0537,0.4280,0.4280,nan,nan,0.3334,0.0004,0.6754,1.7051,0.0770
depth,14,420693/42445168/7956.044/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,0.0545,2.5670,2.5670,nan,nan,0.3550,0.0150,0.6098,1.6751,0.1140
depth,15,420693/42445168/7956.144/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,0.0546,4.8429,4.8429,nan,nan,0.1526,0.0010,0.7949,1.4351,0.2938
depth,16,420693/42445168/7956.244/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,0.0519,3.8291,3.8291,nan,nan,0.2396,0.0076,0.5932,1.4592,0.2534
depth,17,420693/42445168/7983.450/88f94051-70d3-4070-914c-a7e4e85d9494,0,0,0.0545,10.3510,10.3510,nan,nan,0.3401,0.0127,0.2706,1.4525,0.1453
depth,18,420693/42445168/7983.550/88f94051-70d3-4070-914c-a7e4e85d9494,0,0,0.0518,17.1510,17.1510,nan,nan,0.3765,0.0116,0.3243,1.4958,0.1571
depth,19,420693/42445168/7983.650/88f94051-70d3-4070-914c-a7e4e85d9494,0,0,0.0479,10.6585,10.6585,nan,nan,0.3752,0.0061,0.4056,1.5067,0.1099
depth,20,420693/42445168/7983.750/88f94051-70d3-4070-914c-a7e4e85d9494,0,0,0.0495,7.5757,7.5757,nan,nan,0.3174,0.0063,0.4280,1.4604,0.1116
depth,21,420693/42445168/7983.850/88f94051-70d3-4070-914c-a7e4e85d9494,0,0,0.0517,6.5870,6.5870,nan,nan,0.3017,0.0104,0.2487,1.4447,0.0923
depth,22,420693/42445168/7983.850/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,0.0533,7.0120,7.0120,nan,nan,0.1095,0.0081,0.5851,1.1235,0.3932
depth,23,420693/42445168/7983.950/88f94051-70d3-4070-914c-a7e4e85d9494,0,0,0.0509,3.3856,3.3856,nan,nan,0.2271,0.0101,0.3102,1.3773,0.0799
depth,24,420693/42445168/7983.950/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,0.0519,8.0374,8.0374,nan,nan,0.1155,0.0225,0.4935,1.1229,0.2757
depth,25,420693/42445168/7984.050/88f94051-70d3-4070-914c-a7e4e85d9494,0,0,0.0500,4.0922,4.0922,nan,nan,0.2390,0.0119,0.3390,1.3886,0.0722
depth,26,420693/42445168/7984.050/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,0.0525,7.4043,7.4043,nan,nan,0.0743,0.0170,0.6357,1.0883,0.2207
depth,27,420693/42445168/7984.150/88f94051-70d3-4070-914c-a7e4e85d9494,0,0,0.0505,2.4311,2.4311,nan,nan,0.2429,0.0115,0.5322,1.3909,0.0713
depth,28,420693/42445168/7984.150/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,0.0529,7.0325,7.0325,nan,nan,0.0965,0.0117,0.7380,1.1121,0.2633
depth,29,420693/42445168/7984.250/88f94051-70d3-4070-914c-a7e4e85d9494,0,0,0.0497,2.1059,2.1059,nan,nan,0.2023,0.0144,0.3180,1.3450,0.0864
depth,30,420693/42445168/7984.250/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,0.0524,6.2317,6.2317,nan,nan,0.1067,0.0260,0.6326,1.1152,0.1685
depth,31,420693/42445168/7984.350/88f94051-70d3-4070-914c-a7e4e85d9494,0,0,0.0504,4.4608,4.4608,nan,nan,0.1389,0.0094,0.5198,1.2754,0.0537
depth,32,420693/42445168/7984.350/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,0.0516,5.8189,5.8189,nan,nan,0.0750,0.0056,0.6965,1.0873,0.1556
depth,33,420693/42445168/7984.450/88f94051-70d3-4070-914c-a7e4e85d9494,0,0,0.0531,5.7281,5.7281,nan,nan,0.2976,0.0143,0.5546,1.4249,0.0667
depth,34,420693/42445168/7984.450/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,0.0526,6.3951,6.3951,nan,nan,0.0926,0.0194,0.7381,1.1010,0.2343
depth,35,420693/42445168/7984.550/88f94051-70d3-4070-914c-a7e4e85d9494,0,0,0.0514,5.4441,5.4441,nan,nan,0.2352,0.0169,0.3383,1.3498,0.0440
depth,36,420693/42445168/7984.550/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,0.0511,5.4571,5.4571,nan,nan,0.1249,0.0026,0.6742,1.1264,0.2488
