model,idx,key,gt_type,pred_type,p_rev,axis_signed_deg,axis_unsigned_deg,origin_line_err_m,origin_qstar_err_m,point3d_err_m,point2d_err_frac,mask_iou,z_p_m,radius_m,matched,confidence
mopd_rgb,0,420693/42445168/7953.145/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,nan,26.527251,26.527251,nan,nan,nan,nan,0.212219,nan,nan,1,0.002588
mopd_rgb,1,420693/42445168/7953.245/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,nan,19.729484,19.729484,nan,nan,nan,nan,0.199438,nan,nan,1,0.000836
mopd_rgb,2,420693/42445168/7953.345/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,nan,41.306866,41.306866,nan,nan,nan,nan,0.015674,nan,nan,1,0.000521
mopd_rgb,3,420693/42445168/7953.445/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,nan,16.542952,16.542952,nan,nan,nan,nan,0.088398,nan,nan,1,0.001117
mopd_rgb,4,420693/42445168/7955.444/88f94051-70d3-4070-914c-a7e4e85d9494,0,0,nan,23.464532,23.464532,nan,nan,nan,nan,0.690141,nan,nan,1,0.004209
mopd_rgb,5,420693/42445168/7955.544/88f94051-70d3-4070-914c-a7e4e85d9494,0,0,nan,41.211402,41.211402,nan,nan,nan,nan,0.662011,nan,nan,1,0.007012
mopd_rgb,6,420693/42445168/7955.544/a36b3f7b-da1a-43de-bf7f-66853430701a,0,-1,nan,90.000000,90.000000,nan,nan,nan,nan,0.000000,nan,nan,0,nan
mopd_rgb,7,420693/42445168/7955.644/88f94051-70d3-4070-914c-a7e4e85d9494,0,0,nan,38.981655,38.981655,nan,nan,nan,nan,0.649038,nan,nan,1,0.008267
mopd_rgb,8,420693/42445168/7955.644/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,nan,19.467688,19.467688,nan,nan,nan,nan,0.330477,nan,nan,1,0.002221
mopd_rgb,9,420693/42445168/7955.744/88f94051-70d3-4070-914c-a7e4e85d9494,0,0,nan,30.078480,30.078480,nan,nan,nan,nan,0.628499,nan,nan,1,0.007021
mopd_rgb,10,420693/42445168/7955.744/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,nan,10.183567,10.183567,nan,nan,nan,nan,0.610656,nan,nan,1,0.002374
mopd_rgb,11,420693/42445168/7955.844/88f94051-70d3-4070-914c-a7e4e85d9494,0,0,nan,32.037408,32.037408,nan,nan,nan,nan,0.757732,nan,nan,1,0.012153
mopd_rgb,12,420693/42445168/7955.844/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,nan,13.781033,13.781033,nan,nan,nan,nan,0.322513,nan,nan,1,0.002075
mopd_rgb,13,420693/42445168/7955.944/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,nan,15.852603,15.852603,nan,nan,nan,nan,0.753313,nan,nan,1,0.000120
mopd_rgb,14,420693/42445168/7956.044/a36b3f7b-da1a-43de-bf7f-66853430701a,0,1,nan,22.822407,22.822407,nan,nan,nan,nan,0.706963,nan,nan,1,0.000103
mopd_rgb,15,420693/42445168/7956.144/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,nan,13.072860,13.072860,nan,nan,nan,nan,0.788506,nan,nan,1,0.000307
mopd_rgb,16,420693/42445168/7956.244/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,nan,3.997758,3.997758,nan,nan,nan,nan,0.782638,nan,nan,1,0.713106
mopd_rgb,17,420693/42445168/7983.450/88f94051-70d3-4070-914c-a7e4e85d9494,0,0,nan,45.789643,45.789643,nan,nan,nan,nan,0.527778,nan,nan,1,0.002625
mopd_rgb,18,420693/42445168/7983.550/88f94051-70d3-4070-914c-a7e4e85d9494,0,0,nan,49.261052,49.261052,nan,nan,nan,nan,0.463370,nan,nan,1,0.001332
mopd_rgb,19,420693/42445168/7983.650/88f94051-70d3-4070-914c-a7e4e85d9494,0,0,nan,18.866611,18.866611,nan,nan,nan,nan,0.436090,nan,nan,1,0.000788
mopd_rgb,20,420693/42445168/7983.750/88f94051-70d3-4070-914c-a7e4e85d9494,0,0,nan,20.010694,20.010694,nan,nan,nan,nan,0.372712,nan,nan,1,0.000350
mopd_rgb,21,420693/42445168/7983.850/88f94051-70d3-4070-914c-a7e4e85d9494,0,0,nan,60.860491,60.860491,nan,nan,nan,nan,0.459203,nan,nan,1,0.000511
mopd_rgb,22,420693/42445168/7983.850/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,nan,34.005642,34.005642,nan,nan,nan,nan,0.455941,nan,nan,1,0.000543
mopd_rgb,23,420693/42445168/7983.950/88f94051-70d3-4070-914c-a7e4e85d9494,0,0,nan,36.195176,36.195176,nan,nan,nan,nan,0.439926,nan,nan,1,0.000262
mopd_rgb,24,420693/42445168/7983.950/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,nan,57.229262,57.229262,nan,nan,nan,nan,0.513203,nan,nan,1,0.000124
mopd_rgb,25,420693/42445168/7984.050/88f94051-70d3-4070-914c-a7e4e85d9494,0,0,nan,27.261341,27.261341,nan,nan,nan,nan,0.451376,nan,nan,1,0.000260
mopd_rgb,26,420693/42445168/7984.050/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,nan,78.392140,78.392140,nan,nan,nan,nan,0.110660,nan,nan,1,0.021251
mopd_rgb,27,420693/42445168/7984.150/88f94051-70d3-4070-914c-a7e4e85d9494,0,0,nan,60.429713,60.429713,nan,nan,nan,nan,0.341373,nan,nan,1,0.000161
mopd_rgb,28,420693/42445168/7984.150/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,nan,32.021962,32.021962,nan,nan,nan,nan,0.505909,nan,nan,1,0.000153
mopd_rgb,29,420693/42445168/7984.250/88f94051-70d3-4070-914c-a7e4e85d9494,0,0,nan,48.134644,48.134644,nan,nan,nan,nan,0.313230,nan,nan,1,0.000774
mopd_rgb,30,420693/42445168/7984.250/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,nan,66.364605,66.364605,nan,nan,nan,nan,0.209913,nan,nan,1,0.172219
mopd_rgb,31,420693/42445168/7984.350/88f94051-70d3-4070-914c-a7e4e85d9494,0,0,nan,59.895751,59.895751,nan,nan,nan,nan,0.132584,nan,nan,1,0.000624
mopd_rgb,32,420693/42445168/7984.350/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,nan,39.764660,39.764660,nan,nan,nan,nan,0.293651,nan,nan,1,0.300004
mopd_rgb,33,420693/42445168/7984.450/88f94051-70d3-4070-914c-a7e4e85d9494,0,0,nan,38.433617,38.433617,nan,nan,nan,nan,0.089431,nan,nan,1,0.000413
mopd_rgb,34,420693/42445168/7984.450/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,nan,33.389259,33.389259,nan,nan,nan,nan,0.361174,nan,nan,1,0.178940
mopd_rgb,35,420693/42445168/7984.550/88f94051-70d3-4070-914c-a7e4e85d9494,0,0,nan,25.126960,25.126960,nan,nan,nan,nan,0.122905,nan,nan,1,0.001294
mopd_rgb,36,420693/42445168/7984.550/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,nan,82.463328,82.463328,nan,nan,nan,nan,0.207756,nan,nan,1,0.622240
mopd_rgb,37,420693/42445168/7984.650/88f94051-70d3-4070-914c-a7e4e85d9494,0,0,nan,33.230805,33.230805,nan,nan,nan,nan,0.149406,nan,nan,1,0.000802
mopd_rgb,38,420693/42445168/7984.650/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,nan,47.934111,47.934111,nan,nan,nan,nan,0.298820,nan,nan,1,0.000265
mopd_rgb,39,420693/42445168/7984.749/88f94051-70d3-4070-914c-a7e4e85d9494,0,0,nan,14.865185,14.865185,nan,nan,nan,nan,0.049020,nan,nan,1,0.000421
mopd_rgb,40,420693/42445168/7984.749/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,nan,54.049904,54.049904,nan,nan,nan,nan,0.474487,nan,nan,1,0.558009
mopd_rgb,41,420693/42445168/7984.849/88f94051-70d3-4070-914c-a7e4e85d9494,0,0,nan,49.598916,49.598916,nan,nan,nan,nan,0.154135,nan,nan,1,0.000459
mopd_rgb,42,420693/42445168/7984.849/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,nan,29.738727,29.738727,nan,nan,nan,nan,0.470335,nan,nan,1,0.181571
mopd_rgb,43,420693/42445168/7984.949/88f94051-70d3-4070-914c-a7e4e85d9494,0,0,nan,36.719336,36.719336,nan,nan,nan,nan,0.064426,nan,nan,1,0.000417
mopd_rgb,44,420693/42445168/7985.049/88f94051-70d3-4070-914c-a7e4e85d9494,0,0,nan,31.822038,31.822038,nan,nan,nan,nan,0.301657,nan,nan,1,0.000797
mopd_rgb,45,420693/42445168/8018.353/6bed72dd-560e-4a8b-9514-f3947aebde36,1,0,nan,63.028087,63.028087,2.130731,2.539088,nan,nan,0.133106,nan,nan,1,0.000450
mopd_rgb,46,420693/42445168/8018.453/6bed72dd-560e-4a8b-9514-f3947aebde36,1,1,nan,77.264634,77.264634,1.392007,2.058487,nan,nan,0.087719,nan,nan,1,0.000503
