model,idx,key,gt_type,pred_type,p_rev,axis_signed_deg,axis_unsigned_deg,origin_line_err_m,origin_qstar_err_m,point3d_err_m,point2d_err_frac,mask_iou,z_p_m,radius_m,matched,confidence
opdformer_p_rgb,0,420693/42445168/7953.145/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,nan,58.771892,58.771892,nan,nan,nan,nan,0.209524,nan,nan,1,0.001109
opdformer_p_rgb,1,420693/42445168/7953.245/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,nan,14.988449,14.988449,nan,nan,nan,nan,0.283981,nan,nan,1,0.000728
opdformer_p_rgb,2,420693/42445168/7953.345/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,nan,51.399006,51.399006,nan,nan,nan,nan,0.087087,nan,nan,1,0.001138
opdformer_p_rgb,3,420693/42445168/7953.445/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,nan,28.844731,28.844731,nan,nan,nan,nan,0.300469,nan,nan,1,0.001294
opdformer_p_rgb,4,420693/42445168/7955.444/88f94051-70d3-4070-914c-a7e4e85d9494,0,0,nan,25.933819,25.933819,nan,nan,nan,nan,0.713483,nan,nan,1,0.000917
opdformer_p_rgb,5,420693/42445168/7955.544/88f94051-70d3-4070-914c-a7e4e85d9494,0,0,nan,41.077047,41.077047,nan,nan,nan,nan,0.666667,nan,nan,1,0.001819
opdformer_p_rgb,6,420693/42445168/7955.544/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,nan,14.965043,14.965043,nan,nan,nan,nan,0.177998,nan,nan,1,0.000562
opdformer_p_rgb,7,420693/42445168/7955.644/88f94051-70d3-4070-914c-a7e4e85d9494,0,0,nan,41.196048,41.196048,nan,nan,nan,nan,0.630380,nan,nan,1,0.000739
opdformer_p_rgb,8,420693/42445168/7955.644/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,nan,47.967181,47.967181,nan,nan,nan,nan,0.043621,nan,nan,1,0.000923
opdformer_p_rgb,9,420693/42445168/7955.744/88f94051-70d3-4070-914c-a7e4e85d9494,0,0,nan,32.877480,32.877480,nan,nan,nan,nan,0.671569,nan,nan,1,0.001314
opdformer_p_rgb,10,420693/42445168/7955.744/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,nan,8.187178,8.187178,nan,nan,nan,nan,0.607495,nan,nan,1,0.005900
opdformer_p_rgb,11,420693/42445168/7955.844/88f94051-70d3-4070-914c-a7e4e85d9494,0,0,nan,30.794223,30.794223,nan,nan,nan,nan,0.763780,nan,nan,1,0.004554
opdformer_p_rgb,12,420693/42445168/7955.844/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,nan,15.467559,15.467559,nan,nan,nan,nan,0.428428,nan,nan,1,0.004099
opdformer_p_rgb,13,420693/42445168/7955.944/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,nan,8.172709,8.172709,nan,nan,nan,nan,0.758836,nan,nan,1,0.118218
opdformer_p_rgb,14,420693/42445168/7956.044/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,nan,7.159636,7.159636,nan,nan,nan,nan,0.701183,nan,nan,1,0.106887
opdformer_p_rgb,15,420693/42445168/7956.144/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,nan,5.647644,5.647644,nan,nan,nan,nan,0.802450,nan,nan,1,0.000091
opdformer_p_rgb,16,420693/42445168/7956.244/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,nan,6.410813,6.410813,nan,nan,nan,nan,0.779412,nan,nan,1,0.296842
opdformer_p_rgb,17,420693/42445168/7983.450/88f94051-70d3-4070-914c-a7e4e85d9494,0,0,nan,33.466567,33.466567,nan,nan,nan,nan,0.529963,nan,nan,1,0.001827
opdformer_p_rgb,18,420693/42445168/7983.550/88f94051-70d3-4070-914c-a7e4e85d9494,0,0,nan,38.163189,38.163189,nan,nan,nan,nan,0.512150,nan,nan,1,0.000632
opdformer_p_rgb,19,420693/42445168/7983.650/88f94051-70d3-4070-914c-a7e4e85d9494,0,0,nan,19.782720,19.782720,nan,nan,nan,nan,0.441441,nan,nan,1,0.000159
opdformer_p_rgb,20,420693/42445168/7983.750/88f94051-70d3-4070-914c-a7e4e85d9494,0,0,nan,45.590891,45.590891,nan,nan,nan,nan,0.439236,nan,nan,1,0.000082
opdformer_p_rgb,21,420693/42445168/7983.850/88f94051-70d3-4070-914c-a7e4e85d9494,0,0,nan,77.638301,77.638301,nan,nan,nan,nan,0.456637,nan,nan,1,0.000354
opdformer_p_rgb,22,420693/42445168/7983.850/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,nan,35.344241,35.344241,nan,nan,nan,nan,0.510286,nan,nan,1,0.000630
opdformer_p_rgb,23,420693/42445168/7983.950/88f94051-70d3-4070-914c-a7e4e85d9494,0,0,nan,36.265952,36.265952,nan,nan,nan,nan,0.363118,nan,nan,1,0.000866
opdformer_p_rgb,24,420693/42445168/7983.950/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,nan,58.944545,58.944545,nan,nan,nan,nan,0.434633,nan,nan,1,0.008339
opdformer_p_rgb,25,420693/42445168/7984.050/88f94051-70d3-4070-914c-a7e4e85d9494,0,0,nan,34.896576,34.896576,nan,nan,nan,nan,0.401852,nan,nan,1,0.000402
opdformer_p_rgb,26,420693/42445168/7984.050/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,nan,75.805548,75.805548,nan,nan,nan,nan,0.228853,nan,nan,1,0.063658
opdformer_p_rgb,27,420693/42445168/7984.150/88f94051-70d3-4070-914c-a7e4e85d9494,0,0,nan,73.422336,73.422336,nan,nan,nan,nan,0.349638,nan,nan,1,0.000188
opdformer_p_rgb,28,420693/42445168/7984.150/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,nan,27.057418,27.057418,nan,nan,nan,nan,0.488271,nan,nan,1,0.027087
opdformer_p_rgb,29,420693/42445168/7984.250/88f94051-70d3-4070-914c-a7e4e85d9494,0,0,nan,41.602181,41.602181,nan,nan,nan,nan,0.295181,nan,nan,1,0.005680
opdformer_p_rgb,30,420693/42445168/7984.250/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,nan,50.097661,50.097661,nan,nan,nan,nan,0.249563,nan,nan,1,0.149720
opdformer_p_rgb,31,420693/42445168/7984.350/88f94051-70d3-4070-914c-a7e4e85d9494,0,0,nan,28.466455,28.466455,nan,nan,nan,nan,0.155642,nan,nan,1,0.000486
opdformer_p_rgb,32,420693/42445168/7984.350/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,nan,35.995641,35.995641,nan,nan,nan,nan,0.295872,nan,nan,1,0.492143
opdformer_p_rgb,33,420693/42445168/7984.450/88f94051-70d3-4070-914c-a7e4e85d9494,0,0,nan,42.616205,42.616205,nan,nan,nan,nan,0.217204,nan,nan,1,0.000432
