model,idx,key,gt_type,pred_type,p_rev,axis_signed_deg,axis_unsigned_deg,origin_line_err_m,origin_qstar_err_m,point3d_err_m,point2d_err_frac,mask_iou,z_p_m,radius_m,matched,confidence
opdformer_p_rgbd,0,420693/42445168/7953.145/a36b3f7b-da1a-43de-bf7f-66853430701a,0,-1,nan,90.000000,90.000000,nan,nan,nan,nan,0.000000,nan,nan,0,nan
opdformer_p_rgbd,1,420693/42445168/7953.245/a36b3f7b-da1a-43de-bf7f-66853430701a,0,-1,nan,90.000000,90.000000,nan,nan,nan,nan,0.000000,nan,nan,0,nan
opdformer_p_rgbd,2,420693/42445168/7953.345/a36b3f7b-da1a-43de-bf7f-66853430701a,0,-1,nan,90.000000,90.000000,nan,nan,nan,nan,0.000000,nan,nan,0,nan
opdformer_p_rgbd,3,420693/42445168/7953.445/a36b3f7b-da1a-43de-bf7f-66853430701a,0,-1,nan,90.000000,90.000000,nan,nan,nan,nan,0.000000,nan,nan,0,nan
opdformer_p_rgbd,4,420693/42445168/7955.444/88f94051-70d3-4070-914c-a7e4e85d9494,0,0,nan,23.717495,23.717495,nan,nan,nan,nan,0.783934,nan,nan,1,0.003152
opdformer_p_rgbd,5,420693/42445168/7955.544/88f94051-70d3-4070-914c-a7e4e85d9494,0,0,nan,1.219579,1.219579,nan,nan,nan,nan,0.701613,nan,nan,1,0.011605
opdformer_p_rgbd,6,420693/42445168/7955.544/a36b3f7b-da1a-43de-bf7f-66853430701a,0,1,nan,36.932637,36.932637,nan,nan,nan,nan,0.695971,nan,nan,1,0.002023
opdformer_p_rgbd,7,420693/42445168/7955.644/88f94051-70d3-4070-914c-a7e4e85d9494,0,0,nan,37.040848,37.040848,nan,nan,nan,nan,0.653580,nan,nan,1,0.001766
opdformer_p_rgbd,8,420693/42445168/7955.644/a36b3f7b-da1a-43de-bf7f-66853430701a,0,1,nan,68.401796,68.401796,nan,nan,nan,nan,0.463054,nan,nan,1,0.004915
opdformer_p_rgbd,9,420693/42445168/7955.744/88f94051-70d3-4070-914c-a7e4e85d9494,0,0,nan,112.526374,67.473626,nan,nan,nan,nan,0.688776,nan,nan,1,0.021048
opdformer_p_rgbd,10,420693/42445168/7955.744/a36b3f7b-da1a-43de-bf7f-66853430701a,0,1,nan,70.415720,70.415720,nan,nan,nan,nan,0.444695,nan,nan,1,0.001935
opdformer_p_rgbd,11,420693/42445168/7955.844/88f94051-70d3-4070-914c-a7e4e85d9494,0,0,nan,39.427142,39.427142,nan,nan,nan,nan,0.680628,nan,nan,1,0.001687
opdformer_p_rgbd,12,420693/42445168/7955.844/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,nan,21.067669,21.067669,nan,nan,nan,nan,0.646104,nan,nan,1,0.002304
opdformer_p_rgbd,13,420693/42445168/7955.944/a36b3f7b-da1a-43de-bf7f-66853430701a,0,1,nan,13.220136,13.220136,nan,nan,nan,nan,0.496343,nan,nan,1,0.002832
opdformer_p_rgbd,14,420693/42445168/7956.044/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,nan,12.379412,12.379412,nan,nan,nan,nan,0.602956,nan,nan,1,0.001525
opdformer_p_rgbd,15,420693/42445168/7956.144/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,nan,26.444913,26.444913,nan,nan,nan,nan,0.339076,nan,nan,1,0.127792
opdformer_p_rgbd,16,420693/42445168/7956.244/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,nan,14.289329,14.289329,nan,nan,nan,nan,0.516581,nan,nan,1,0.890157
opdformer_p_rgbd,17,420693/42445168/7983.450/88f94051-70d3-4070-914c-a7e4e85d9494,0,0,nan,21.262481,21.262481,nan,nan,nan,nan,0.482143,nan,nan,1,0.000439
opdformer_p_rgbd,18,420693/42445168/7983.550/88f94051-70d3-4070-914c-a7e4e85d9494,0,0,nan,8.161573,8.161573,nan,nan,nan,nan,0.588727,nan,nan,1,0.000152
opdformer_p_rgbd,19,420693/42445168/7983.650/88f94051-70d3-4070-914c-a7e4e85d9494,0,0,nan,19.254242,19.254242,nan,nan,nan,nan,0.606004,nan,nan,1,0.000288
