model,idx,key,gt_type,pred_type,p_rev,axis_signed_deg,axis_unsigned_deg,origin_line_err_m,origin_qstar_err_m,point3d_err_m,point2d_err_frac,mask_iou,z_p_m,radius_m,matched,confidence
usdnet,0,420693/42445168/7953.145/a36b3f7b-da1a-43de-bf7f-66853430701a,0,-1,nan,90.000000,90.000000,nan,nan,nan,nan,0.000000,nan,nan,0,nan
usdnet,1,420693/42445168/7953.245/a36b3f7b-da1a-43de-bf7f-66853430701a,0,-1,nan,90.000000,90.000000,nan,nan,nan,nan,0.000000,nan,nan,0,nan
usdnet,2,420693/42445168/7953.345/a36b3f7b-da1a-43de-bf7f-66853430701a,0,-1,nan,90.000000,90.000000,nan,nan,nan,nan,0.000000,nan,nan,0,nan
usdnet,3,420693/42445168/7953.445/a36b3f7b-da1a-43de-bf7f-66853430701a,0,-1,nan,90.000000,90.000000,nan,nan,nan,nan,0.000000,nan,nan,0,nan
usdnet,4,420693/42445168/7955.444/88f94051-70d3-4070-914c-a7e4e85d9494,0,0,nan,113.690272,66.309728,nan,nan,nan,nan,0.189711,nan,nan,1,0.902560
usdnet,5,420693/42445168/7955.544/88f94051-70d3-4070-914c-a7e4e85d9494,0,0,nan,113.690273,66.309727,nan,nan,nan,nan,0.198758,nan,nan,1,0.902560
usdnet,6,420693/42445168/7955.544/a36b3f7b-da1a-43de-bf7f-66853430701a,0,-1,nan,90.000000,90.000000,nan,nan,nan,nan,0.000000,nan,nan,0,nan
usdnet,7,420693/42445168/7955.644/88f94051-70d3-4070-914c-a7e4e85d9494,0,0,nan,113.690272,66.309728,nan,nan,nan,nan,0.175926,nan,nan,1,0.902560
usdnet,8,420693/42445168/7955.644/a36b3f7b-da1a-43de-bf7f-66853430701a,0,-1,nan,90.000000,90.000000,nan,nan,nan,nan,0.000000,nan,nan,0,nan
usdnet,9,420693/42445168/7955.744/88f94051-70d3-4070-914c-a7e4e85d9494,0,0,nan,113.690272,66.309728,nan,nan,nan,nan,0.179331,nan,nan,1,0.902560
usdnet,10,420693/42445168/7955.744/a36b3f7b-da1a-43de-bf7f-66853430701a,0,-1,nan,90.000000,90.000000,nan,nan,nan,nan,0.000000,nan,nan,0,nan
usdnet,11,420693/42445168/7955.844/88f94051-70d3-4070-914c-a7e4e85d9494,0,0,nan,113.690272,66.309728,nan,nan,nan,nan,0.187135,nan,nan,1,0.902560
usdnet,12,420693/42445168/7955.844/a36b3f7b-da1a-43de-bf7f-66853430701a,0,-1,nan,90.000000,90.000000,nan,nan,nan,nan,0.000000,nan,nan,0,nan
usdnet,13,420693/42445168/7955.944/a36b3f7b-da1a-43de-bf7f-66853430701a,0,-1,nan,90.000000,90.000000,nan,nan,nan,nan,0.000000,nan,nan,0,nan
usdnet,14,420693/42445168/7956.044/a36b3f7b-da1a-43de-bf7f-66853430701a,0,-1,nan,90.000000,90.000000,nan,nan,nan,nan,0.000000,nan,nan,0,nan
usdnet,15,420693/42445168/7956.144/a36b3f7b-da1a-43de-bf7f-66853430701a,0,-1,nan,90.000000,90.000000,nan,nan,nan,nan,0.000000,nan,nan,0,nan
usdnet,16,420693/42445168/7956.244/a36b3f7b-da1a-43de-bf7f-66853430701a,0,-1,nan,90.000000,90.000000,nan,nan,nan,nan,0.000000,nan,nan,0,nan
usdnet,17,420693/42445168/7983.450/88f94051-70d3-4070-914c-a7e4e85d9494,0,0,nan,113.690272,66.309728,nan,nan,nan,nan,0.134904,nan,nan,1,0.902560
usdnet,18,420693/42445168/7983.550/88f94051-70d3-4070-914c-a7e4e85d9494,0,0,nan,113.690272,66.309728,nan,nan,nan,nan,0.131579,nan,nan,1,0.902560
usdnet,19,420693/42445168/7983.650/88f94051-70d3-4070-914c-a7e4e85d9494,0,0,nan,113.690272,66.309728,nan,nan,nan,nan,0.129670,nan,nan,1,0.902560
usdnet,20,420693/42445168/7983.750/88f94051-70d3-4070-914c-a7e4e85d9494,0,0,nan,113.690272,66.309728,nan,nan,nan,nan,0.138085,nan,nan,1,0.902560
usdnet,21,420693/42445168/7983.850/88f94051-70d3-4070-914c-a7e4e85d9494,0,0,nan,113.690272,66.309728,nan,nan,nan,nan,0.136364,nan,nan,1,0.902560
usdnet,22,420693/42445168/7983.850/a36b3f7b-da1a-43de-bf7f-66853430701a,0,-1,nan,90.000000,90.000000,nan,nan,nan,nan,0.000000,nan,nan,0,nan
usdnet,23,420693/42445168/7983.950/88f94051-70d3-4070-914c-a7e4e85d9494,0,0,nan,113.690272,66.309728,nan,nan,nan,nan,0.143836,nan,nan,1,0.902560
usdnet,24,420693/42445168/7983.950/a36b3f7b-da1a-43de-bf7f-66853430701a,0,-1,nan,90.000000,90.000000,nan,nan,nan,nan,0.000000,nan,nan,0,nan
usdnet,25,420693/42445168/7984.050/88f94051-70d3-4070-914c-a7e4e85d9494,0,0,nan,113.690272,66.309728,nan,nan,nan,nan,0.140878,nan,nan,1,0.902560
usdnet,26,420693/42445168/7984.050/a36b3f7b-da1a-43de-bf7f-66853430701a,0,-1,nan,90.000000,90.000000,nan,nan,nan,nan,0.000000,nan,nan,0,nan
