model,idx,key,gt_type,pred_type,p_rev,axis_signed_deg,axis_unsigned_deg,origin_line_err_m,origin_qstar_err_m,point3d_err_m,point2d_err_frac,mask_iou,z_p_m,radius_m,matched,confidence
threedoi,0,420693/42445168/7953.145/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,nan,174.036071,5.963929,nan,nan,nan,nan,0.305586,nan,nan,1,1.000000
threedoi,1,420693/42445168/7953.245/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,nan,173.701128,6.298872,nan,nan,nan,nan,0.528716,nan,nan,1,1.000000
threedoi,2,420693/42445168/7953.345/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,nan,172.945395,7.054605,nan,nan,nan,nan,0.489985,nan,nan,1,1.000000
threedoi,3,420693/42445168/7953.445/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,nan,172.545908,7.454092,nan,nan,nan,nan,0.550489,nan,nan,1,1.000000
threedoi,4,420693/42445168/7955.444/88f94051-70d3-4070-914c-a7e4e85d9494,0,0,nan,3.220474,3.220474,nan,nan,nan,nan,0.689498,nan,nan,1,1.000000
threedoi,5,420693/42445168/7955.544/88f94051-70d3-4070-914c-a7e4e85d9494,0,0,nan,2.550295,2.550295,nan,nan,nan,nan,0.667377,nan,nan,1,1.000000
threedoi,6,420693/42445168/7955.544/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,nan,9.804600,9.804600,nan,nan,nan,nan,0.580622,nan,nan,1,1.000000
threedoi,7,420693/42445168/7955.644/88f94051-70d3-4070-914c-a7e4e85d9494,0,0,nan,4.224160,4.224160,nan,nan,nan,nan,0.741706,nan,nan,1,1.000000
threedoi,8,420693/42445168/7955.644/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,nan,10.672390,10.672390,nan,nan,nan,nan,0.608139,nan,nan,1,1.000000
threedoi,9,420693/42445168/7955.744/88f94051-70d3-4070-914c-a7e4e85d9494,0,0,nan,3.905945,3.905945,nan,nan,nan,nan,0.688172,nan,nan,1,1.000000
threedoi,10,420693/42445168/7955.744/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,nan,10.317219,10.317219,nan,nan,nan,nan,0.629826,nan,nan,1,1.000000
threedoi,11,420693/42445168/7955.844/88f94051-70d3-4070-914c-a7e4e85d9494,0,0,nan,6.748359,6.748359,nan,nan,nan,nan,0.774882,nan,nan,1,1.000000
threedoi,12,420693/42445168/7955.844/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,nan,11.138715,11.138715,nan,nan,nan,nan,0.684844,nan,nan,1,1.000000
threedoi,13,420693/42445168/7955.944/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,nan,11.689236,11.689236,nan,nan,nan,nan,0.731785,nan,nan,1,1.000000
threedoi,14,420693/42445168/7956.044/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,nan,11.580975,11.580975,nan,nan,nan,nan,0.682328,nan,nan,1,1.000000
threedoi,15,420693/42445168/7956.144/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,nan,11.521677,11.521677,nan,nan,nan,nan,0.729605,nan,nan,1,1.000000
threedoi,16,420693/42445168/7956.244/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,nan,12.182278,12.182278,nan,nan,nan,nan,0.758621,nan,nan,1,1.000000
threedoi,17,420693/42445168/7983.450/88f94051-70d3-4070-914c-a7e4e85d9494,0,0,nan,8.270847,8.270847,nan,nan,nan,nan,0.819417,nan,nan,1,1.000000
threedoi,18,420693/42445168/7983.550/88f94051-70d3-4070-914c-a7e4e85d9494,0,0,nan,9.296509,9.296509,nan,nan,nan,nan,0.813121,nan,nan,1,1.000000
threedoi,19,420693/42445168/7983.650/88f94051-70d3-4070-914c-a7e4e85d9494,0,0,nan,9.488614,9.488614,nan,nan,nan,nan,0.795019,nan,nan,1,1.000000
threedoi,20,420693/42445168/7983.750/88f94051-70d3-4070-914c-a7e4e85d9494,0,0,nan,7.536904,7.536904,nan,nan,nan,nan,0.759058,nan,nan,1,1.000000
threedoi,21,420693/42445168/7983.850/88f94051-70d3-4070-914c-a7e4e85d9494,0,0,nan,7.373238,7.373238,nan,nan,nan,nan,0.773897,nan,nan,1,1.000000
threedoi,22,420693/42445168/7983.850/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,nan,164.542848,15.457152,nan,nan,nan,nan,0.804124,nan,nan,1,1.000000
threedoi,23,420693/42445168/7983.950/88f94051-70d3-4070-914c-a7e4e85d9494,0,0,nan,8.046223,8.046223,nan,nan,nan,nan,0.743682,nan,nan,1,1.000000
threedoi,24,420693/42445168/7983.950/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,nan,165.959734,14.040266,nan,nan,nan,nan,0.788935,nan,nan,1,1.000000
threedoi,25,420693/42445168/7984.050/88f94051-70d3-4070-914c-a7e4e85d9494,0,0,nan,8.817239,8.817239,nan,nan,nan,nan,0.797271,nan,nan,1,1.000000
threedoi,26,420693/42445168/7984.050/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,nan,165.688186,14.311814,nan,nan,nan,nan,0.801153,nan,nan,1,1.000000
threedoi,27,420693/42445168/7984.150/88f94051-70d3-4070-914c-a7e4e85d9494,0,0,nan,8.015743,8.015743,nan,nan,nan,nan,0.764925,nan,nan,1,1.000000
threedoi,28,420693/42445168/7984.150/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,nan,165.829683,14.170317,nan,nan,nan,nan,0.751779,nan,nan,1,1.000000
threedoi,29,420693/42445168/7984.250/88f94051-70d3-4070-914c-a7e4e85d9494,0,0,nan,8.105667,8.105667,nan,nan,nan,nan,0.803059,nan,nan,1,1.000000
threedoi,30,420693/42445168/7984.250/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,nan,165.591890,14.408110,nan,nan,nan,nan,0.799522,nan,nan,1,1.000000
threedoi,31,420693/42445168/7984.350/88f94051-70d3-4070-914c-a7e4e85d9494,0,0,nan,6.663796,6.663796,nan,nan,nan,nan,0.753153,nan,nan,1,1.000000
threedoi,32,420693/42445168/7984.350/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,nan,164.087545,15.912455,nan,nan,nan,nan,0.778493,nan,nan,1,1.000000
threedoi,33,420693/42445168/7984.450/88f94051-70d3-4070-914c-a7e4e85d9494,0,0,nan,6.661324,6.661324,nan,nan,nan,nan,0.767442,nan,nan,1,1.000000
