model,idx,key,gt_type,pred_type,p_rev,axis_signed_deg,axis_unsigned_deg,origin_line_err_m,origin_qstar_err_m,point3d_err_m,point2d_err_frac,mask_iou,z_p_m,radius_m,matched,confidence
a3vlm_chain,0,420693/42445168/7953.145/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,nan,5.729905,5.729905,nan,nan,nan,nan,0.358006,nan,nan,1,1.000000
a3vlm_chain,1,420693/42445168/7953.245/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,nan,5.609149,5.609149,nan,nan,nan,nan,0.245310,nan,nan,1,1.000000
a3vlm_chain,2,420693/42445168/7953.345/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,nan,5.342334,5.342334,nan,nan,nan,nan,0.473684,nan,nan,1,1.000000
a3vlm_chain,3,420693/42445168/7953.445/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,nan,1.183989,1.183989,nan,nan,nan,nan,0.057566,nan,nan,1,1.000000
a3vlm_chain,4,420693/42445168/7955.444/88f94051-70d3-4070-914c-a7e4e85d9494,0,0,nan,42.922783,42.922783,nan,nan,nan,nan,0.463458,nan,nan,1,1.000000
a3vlm_chain,5,420693/42445168/7955.544/88f94051-70d3-4070-914c-a7e4e85d9494,0,0,nan,38.446984,38.446984,nan,nan,nan,nan,0.428076,nan,nan,1,1.000000
a3vlm_chain,6,420693/42445168/7955.544/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,nan,5.626292,5.626292,nan,nan,nan,nan,0.176541,nan,nan,1,1.000000
a3vlm_chain,7,420693/42445168/7955.644/88f94051-70d3-4070-914c-a7e4e85d9494,0,0,nan,14.758186,14.758186,nan,nan,nan,nan,0.278261,nan,nan,1,1.000000
a3vlm_chain,8,420693/42445168/7955.644/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,nan,2.236329,2.236329,nan,nan,nan,nan,0.608953,nan,nan,1,1.000000
a3vlm_chain,9,420693/42445168/7955.744/88f94051-70d3-4070-914c-a7e4e85d9494,0,0,nan,19.213401,19.213401,nan,nan,nan,nan,0.272420,nan,nan,1,1.000000
