model,idx,key,gt_type,pred_type,p_rev,axis_signed_deg,axis_unsigned_deg,origin_line_err_m,origin_qstar_err_m,point3d_err_m,point2d_err_frac,mask_iou,z_p_m,radius_m,matched,confidence
a3vlm_gtbox,0,420693/42445168/7953.145/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,nan,10.199057,10.199057,nan,nan,nan,nan,0.398134,nan,nan,1,1.000000
a3vlm_gtbox,1,420693/42445168/7953.245/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,nan,8.146130,8.146130,nan,nan,nan,nan,0.310757,nan,nan,1,1.000000
a3vlm_gtbox,2,420693/42445168/7953.345/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,nan,9.300905,9.300905,nan,nan,nan,nan,0.390968,nan,nan,1,1.000000
a3vlm_gtbox,3,420693/42445168/7953.445/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,nan,2.858948,2.858948,nan,nan,nan,nan,0.405114,nan,nan,1,1.000000
a3vlm_gtbox,4,420693/42445168/7955.444/88f94051-70d3-4070-914c-a7e4e85d9494,0,0,nan,28.781498,28.781498,nan,nan,nan,nan,0.609442,nan,nan,1,1.000000
a3vlm_gtbox,5,420693/42445168/7955.544/88f94051-70d3-4070-914c-a7e4e85d9494,0,0,nan,34.179822,34.179822,nan,nan,nan,nan,0.764865,nan,nan,1,1.000000
a3vlm_gtbox,6,420693/42445168/7955.544/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,nan,5.845522,5.845522,nan,nan,nan,nan,0.449630,nan,nan,1,1.000000
a3vlm_gtbox,7,420693/42445168/7955.644/88f94051-70d3-4070-914c-a7e4e85d9494,0,0,nan,35.617077,35.617077,nan,nan,nan,nan,0.656885,nan,nan,1,1.000000
a3vlm_gtbox,8,420693/42445168/7955.644/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,nan,3.105168,3.105168,nan,nan,nan,nan,0.476162,nan,nan,1,1.000000
a3vlm_gtbox,9,420693/42445168/7955.744/88f94051-70d3-4070-914c-a7e4e85d9494,0,0,nan,41.246077,41.246077,nan,nan,nan,nan,0.593220,nan,nan,1,1.000000
a3vlm_gtbox,10,420693/42445168/7955.744/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,nan,2.190362,2.190362,nan,nan,nan,nan,0.380755,nan,nan,1,1.000000
a3vlm_gtbox,11,420693/42445168/7955.844/88f94051-70d3-4070-914c-a7e4e85d9494,0,0,nan,34.273740,34.273740,nan,nan,nan,nan,0.629981,nan,nan,1,1.000000
a3vlm_gtbox,12,420693/42445168/7955.844/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,nan,2.790542,2.790542,nan,nan,nan,nan,0.382960,nan,nan,1,1.000000
a3vlm_gtbox,13,420693/42445168/7955.944/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,nan,2.690143,2.690143,nan,nan,nan,nan,0.397977,nan,nan,1,1.000000
