model,idx,key,gt_type,pred_type,p_rev,axis_signed_deg,axis_unsigned_deg,origin_line_err_m,origin_qstar_err_m,point3d_err_m,point2d_err_frac,mask_iou,z_p_m,radius_m,matched,confidence
mopd512_rgb,0,420693/42445168/7953.145/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,nan,13.877248,13.877248,nan,nan,nan,nan,0.604222,nan,nan,1,0.000621
mopd512_rgb,1,420693/42445168/7953.245/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,nan,30.263457,30.263457,nan,nan,nan,nan,0.536408,nan,nan,1,0.000696
mopd512_rgb,2,420693/42445168/7953.345/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,nan,3.919556,3.919556,nan,nan,nan,nan,0.710227,nan,nan,1,0.000179
mopd512_rgb,3,420693/42445168/7953.445/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,nan,10.737703,10.737703,nan,nan,nan,nan,0.771117,nan,nan,1,0.000323
mopd512_rgb,4,420693/42445168/7955.444/88f94051-70d3-4070-914c-a7e4e85d9494,0,0,nan,13.676507,13.676507,nan,nan,nan,nan,0.801105,nan,nan,1,0.000070
mopd512_rgb,5,420693/42445168/7955.544/88f94051-70d3-4070-914c-a7e4e85d9494,0,0,nan,10.714599,10.714599,nan,nan,nan,nan,0.827957,nan,nan,1,0.000100
mopd512_rgb,6,420693/42445168/7955.544/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,nan,7.785657,7.785657,nan,nan,nan,nan,0.592995,nan,nan,1,0.002357
mopd512_rgb,7,420693/42445168/7955.644/88f94051-70d3-4070-914c-a7e4e85d9494,0,0,nan,13.511067,13.511067,nan,nan,nan,nan,0.823370,nan,nan,1,0.000048
mopd512_rgb,8,420693/42445168/7955.644/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,nan,5.937023,5.937023,nan,nan,nan,nan,0.729566,nan,nan,1,0.000022
mopd512_rgb,9,420693/42445168/7955.744/88f94051-70d3-4070-914c-a7e4e85d9494,0,0,nan,7.717277,7.717277,nan,nan,nan,nan,0.802703,nan,nan,1,0.000223
mopd512_rgb,10,420693/42445168/7955.744/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,nan,3.680228,3.680228,nan,nan,nan,nan,0.664653,nan,nan,1,0.000576
mopd512_rgb,11,420693/42445168/7955.844/88f94051-70d3-4070-914c-a7e4e85d9494,0,0,nan,10.876233,10.876233,nan,nan,nan,nan,0.799465,nan,nan,1,0.000834
mopd512_rgb,12,420693/42445168/7955.844/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,nan,3.858661,3.858661,nan,nan,nan,nan,0.626506,nan,nan,1,0.001038
mopd512_rgb,13,420693/42445168/7955.944/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,nan,7.688586,7.688586,nan,nan,nan,nan,0.775130,nan,nan,1,0.000034
mopd512_rgb,14,420693/42445168/7956.044/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,nan,6.099734,6.099734,nan,nan,nan,nan,0.724887,nan,nan,1,0.000035
