model,idx,key,gt_type,pred_type,p_rev,axis_signed_deg,axis_unsigned_deg,origin_line_err_m,origin_qstar_err_m,point3d_err_m,point2d_err_frac,mask_iou,z_p_m,radius_m,matched,confidence
opdformer_c_rgbd_512,0,420693/42445168/7953.145/a36b3f7b-da1a-43de-bf7f-66853430701a,0,-1,nan,90.000000,90.000000,nan,nan,nan,nan,0.000000,nan,nan,0,nan
opdformer_c_rgbd_512,1,420693/42445168/7953.245/a36b3f7b-da1a-43de-bf7f-66853430701a,0,-1,nan,90.000000,90.000000,nan,nan,nan,nan,0.000000,nan,nan,0,nan
opdformer_c_rgbd_512,2,420693/42445168/7953.345/a36b3f7b-da1a-43de-bf7f-66853430701a,0,-1,nan,90.000000,90.000000,nan,nan,nan,nan,0.000000,nan,nan,0,nan
opdformer_c_rgbd_512,3,420693/42445168/7953.445/a36b3f7b-da1a-43de-bf7f-66853430701a,0,-1,nan,90.000000,90.000000,nan,nan,nan,nan,0.000000,nan,nan,0,nan
opdformer_c_rgbd_512,4,420693/42445168/7955.444/88f94051-70d3-4070-914c-a7e4e85d9494,0,0,nan,15.987154,15.987154,nan,nan,nan,nan,0.793956,nan,nan,1,0.000050
opdformer_c_rgbd_512,5,420693/42445168/7955.544/88f94051-70d3-4070-914c-a7e4e85d9494,0,0,nan,11.225801,11.225801,nan,nan,nan,nan,0.681416,nan,nan,1,0.000023
opdformer_c_rgbd_512,6,420693/42445168/7955.544/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,nan,6.602370,6.602370,nan,nan,nan,nan,0.849829,nan,nan,1,0.000200
opdformer_c_rgbd_512,7,420693/42445168/7955.644/88f94051-70d3-4070-914c-a7e4e85d9494,0,0,nan,11.503158,11.503158,nan,nan,nan,nan,0.748538,nan,nan,1,0.000110
opdformer_c_rgbd_512,8,420693/42445168/7955.644/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,nan,3.492983,3.492983,nan,nan,nan,nan,0.811409,nan,nan,1,0.002645
opdformer_c_rgbd_512,9,420693/42445168/7955.744/88f94051-70d3-4070-914c-a7e4e85d9494,0,0,nan,14.516750,14.516750,nan,nan,nan,nan,0.666667,nan,nan,1,0.000733
opdformer_c_rgbd_512,10,420693/42445168/7955.744/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,nan,1.524159,1.524159,nan,nan,nan,nan,0.796389,nan,nan,1,0.000026
opdformer_c_rgbd_512,11,420693/42445168/7955.844/88f94051-70d3-4070-914c-a7e4e85d9494,0,0,nan,16.482216,16.482216,nan,nan,nan,nan,0.787634,nan,nan,1,0.000578
opdformer_c_rgbd_512,12,420693/42445168/7955.844/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,nan,6.491202,6.491202,nan,nan,nan,nan,0.693621,nan,nan,1,0.000030
