model,idx,key,gt_type,pred_type,p_rev,axis_signed_deg,axis_unsigned_deg,origin_line_err_m,origin_qstar_err_m,point3d_err_m,point2d_err_frac,mask_iou,z_p_m,radius_m,matched,confidence
opdformer_p_rgb_512,0,420693/42445168/7953.145/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,nan,9.786991,9.786991,nan,nan,nan,nan,0.674352,nan,nan,1,0.002174
opdformer_p_rgb_512,1,420693/42445168/7953.245/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,nan,9.285965,9.285965,nan,nan,nan,nan,0.757895,nan,nan,1,0.019335
opdformer_p_rgb_512,2,420693/42445168/7953.345/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,nan,12.445610,12.445610,nan,nan,nan,nan,0.711688,nan,nan,1,0.164084
opdformer_p_rgb_512,3,420693/42445168/7953.445/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,nan,8.964348,8.964348,nan,nan,nan,nan,0.683099,nan,nan,1,0.008872
opdformer_p_rgb_512,4,420693/42445168/7955.444/88f94051-70d3-4070-914c-a7e4e85d9494,0,0,nan,15.073051,15.073051,nan,nan,nan,nan,0.818462,nan,nan,1,0.000050
opdformer_p_rgb_512,5,420693/42445168/7955.544/88f94051-70d3-4070-914c-a7e4e85d9494,0,0,nan,12.798938,12.798938,nan,nan,nan,nan,0.764706,nan,nan,1,0.000230
opdformer_p_rgb_512,6,420693/42445168/7955.544/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,nan,15.109884,15.109884,nan,nan,nan,nan,0.814004,nan,nan,1,0.000107
opdformer_p_rgb_512,7,420693/42445168/7955.644/88f94051-70d3-4070-914c-a7e4e85d9494,0,0,nan,34.913786,34.913786,nan,nan,nan,nan,0.803030,nan,nan,1,0.001173
opdformer_p_rgb_512,8,420693/42445168/7955.644/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,nan,9.123681,9.123681,nan,nan,nan,nan,0.772492,nan,nan,1,0.006717
opdformer_p_rgb_512,9,420693/42445168/7955.744/88f94051-70d3-4070-914c-a7e4e85d9494,0,0,nan,21.923535,21.923535,nan,nan,nan,nan,0.795666,nan,nan,1,0.000099
opdformer_p_rgb_512,10,420693/42445168/7955.744/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,nan,13.378061,13.378061,nan,nan,nan,nan,0.790625,nan,nan,1,0.000039
opdformer_p_rgb_512,11,420693/42445168/7955.844/88f94051-70d3-4070-914c-a7e4e85d9494,0,0,nan,36.475815,36.475815,nan,nan,nan,nan,0.782609,nan,nan,1,0.000183
opdformer_p_rgb_512,12,420693/42445168/7955.844/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,nan,6.357882,6.357882,nan,nan,nan,nan,0.754441,nan,nan,1,0.000175
opdformer_p_rgb_512,13,420693/42445168/7955.944/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,nan,11.085909,11.085909,nan,nan,nan,nan,0.655172,nan,nan,1,0.001409
opdformer_p_rgb_512,14,420693/42445168/7956.044/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,nan,2.144920,2.144920,nan,nan,nan,nan,0.614414,nan,nan,1,0.121200
opdformer_p_rgb_512,15,420693/42445168/7956.144/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,nan,5.279881,5.279881,nan,nan,nan,nan,0.628765,nan,nan,1,0.073691
opdformer_p_rgb_512,16,420693/42445168/7956.244/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,nan,6.495215,6.495215,nan,nan,nan,nan,0.697592,nan,nan,1,0.036026
opdformer_p_rgb_512,17,420693/42445168/7983.450/88f94051-70d3-4070-914c-a7e4e85d9494,0,0,nan,17.431429,17.431429,nan,nan,nan,nan,0.733716,nan,nan,1,0.003390
opdformer_p_rgb_512,18,420693/42445168/7983.550/88f94051-70d3-4070-914c-a7e4e85d9494,0,0,nan,13.842534,13.842534,nan,nan,nan,nan,0.641304,nan,nan,1,0.001986
opdformer_p_rgb_512,19,420693/42445168/7983.650/88f94051-70d3-4070-914c-a7e4e85d9494,0,0,nan,3.494654,3.494654,nan,nan,nan,nan,0.746421,nan,nan,1,0.000833
opdformer_p_rgb_512,20,420693/42445168/7983.750/88f94051-70d3-4070-914c-a7e4e85d9494,0,0,nan,5.502676,5.502676,nan,nan,nan,nan,0.716518,nan,nan,1,0.001858
opdformer_p_rgb_512,21,420693/42445168/7983.850/88f94051-70d3-4070-914c-a7e4e85d9494,0,0,nan,15.657065,15.657065,nan,nan,nan,nan,0.571101,nan,nan,1,0.002947
opdformer_p_rgb_512,22,420693/42445168/7983.850/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,nan,6.648735,6.648735,nan,nan,nan,nan,0.742037,nan,nan,1,0.922587
opdformer_p_rgb_512,23,420693/42445168/7983.950/88f94051-70d3-4070-914c-a7e4e85d9494,0,0,nan,31.718059,31.718059,nan,nan,nan,nan,0.534517,nan,nan,1,0.000310
opdformer_p_rgb_512,24,420693/42445168/7983.950/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,nan,6.614718,6.614718,nan,nan,nan,nan,0.769687,nan,nan,1,0.000557
opdformer_p_rgb_512,25,420693/42445168/7984.050/88f94051-70d3-4070-914c-a7e4e85d9494,0,0,nan,29.982976,29.982976,nan,nan,nan,nan,0.567442,nan,nan,1,0.000499
opdformer_p_rgb_512,26,420693/42445168/7984.050/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,nan,4.615131,4.615131,nan,nan,nan,nan,0.758564,nan,nan,1,0.040960
opdformer_p_rgb_512,27,420693/42445168/7984.150/88f94051-70d3-4070-914c-a7e4e85d9494,0,0,nan,29.339435,29.339435,nan,nan,nan,nan,0.492813,nan,nan,1,0.000540
opdformer_p_rgb_512,28,420693/42445168/7984.150/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,nan,9.049530,9.049530,nan,nan,nan,nan,0.702659,nan,nan,1,0.004668
opdformer_p_rgb_512,29,420693/42445168/7984.250/88f94051-70d3-4070-914c-a7e4e85d9494,0,0,nan,30.882462,30.882462,nan,nan,nan,nan,0.523422,nan,nan,1,0.000152
opdformer_p_rgb_512,30,420693/42445168/7984.250/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,nan,7.974875,7.974875,nan,nan,nan,nan,0.738938,nan,nan,1,0.002703
opdformer_p_rgb_512,31,420693/42445168/7984.350/88f94051-70d3-4070-914c-a7e4e85d9494,0,0,nan,26.857514,26.857514,nan,nan,nan,nan,0.504744,nan,nan,1,0.000530
opdformer_p_rgb_512,32,420693/42445168/7984.350/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,nan,9.170164,9.170164,nan,nan,nan,nan,0.615342,nan,nan,1,0.012497
opdformer_p_rgb_512,33,420693/42445168/7984.450/88f94051-70d3-4070-914c-a7e4e85d9494,0,0,nan,36.842663,36.842663,nan,nan,nan,nan,0.375954,nan,nan,1,0.000254
opdformer_p_rgb_512,34,420693/42445168/7984.450/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,nan,6.046039,6.046039,nan,nan,nan,nan,0.600735,nan,nan,1,0.013304
opdformer_p_rgb_512,35,420693/42445168/7984.550/88f94051-70d3-4070-914c-a7e4e85d9494,0,0,nan,79.673457,79.673457,nan,nan,nan,nan,0.254372,nan,nan,1,0.000206
opdformer_p_rgb_512,36,420693/42445168/7984.550/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,nan,8.555679,8.555679,nan,nan,nan,nan,0.409684,nan,nan,1,0.011038
opdformer_p_rgb_512,37,420693/42445168/7984.650/88f94051-70d3-4070-914c-a7e4e85d9494,0,0,nan,53.313546,53.313546,nan,nan,nan,nan,0.326496,nan,nan,1,0.000141
opdformer_p_rgb_512,38,420693/42445168/7984.650/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,nan,5.440025,5.440025,nan,nan,nan,nan,0.359917,nan,nan,1,0.014549
opdformer_p_rgb_512,39,420693/42445168/7984.749/88f94051-70d3-4070-914c-a7e4e85d9494,0,0,nan,43.896681,43.896681,nan,nan,nan,nan,0.326180,nan,nan,1,0.000120
opdformer_p_rgb_512,40,420693/42445168/7984.749/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,nan,3.813126,3.813126,nan,nan,nan,nan,0.380059,nan,nan,1,0.000346
opdformer_p_rgb_512,41,420693/42445168/7984.849/88f94051-70d3-4070-914c-a7e4e85d9494,0,0,nan,50.182529,50.182529,nan,nan,nan,nan,0.283802,nan,nan,1,0.000155
opdformer_p_rgb_512,42,420693/42445168/7984.849/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,nan,4.258416,4.258416,nan,nan,nan,nan,0.508551,nan,nan,1,0.004918
opdformer_p_rgb_512,43,420693/42445168/7984.949/88f94051-70d3-4070-914c-a7e4e85d9494,0,0,nan,47.526161,47.526161,nan,nan,nan,nan,0.298595,nan,nan,1,0.000114
opdformer_p_rgb_512,44,420693/42445168/7985.049/88f94051-70d3-4070-914c-a7e4e85d9494,0,0,nan,52.723106,52.723106,nan,nan,nan,nan,0.356627,nan,nan,1,0.000093
opdformer_p_rgb_512,45,420693/42445168/8018.353/6bed72dd-560e-4a8b-9514-f3947aebde36,1,-1,nan,90.000000,90.000000,nan,nan,nan,nan,0.000000,nan,nan,0,nan
opdformer_p_rgb_512,46,420693/42445168/8018.453/6bed72dd-560e-4a8b-9514-f3947aebde36,1,-1,nan,90.000000,90.000000,nan,nan,nan,nan,0.000000,nan,nan,0,nan
opdformer_p_rgb_512,47,420693/42445168/8018.553/6bed72dd-560e-4a8b-9514-f3947aebde36,1,-1,nan,90.000000,90.000000,nan,nan,nan,nan,0.000000,nan,nan,0,nan
opdformer_p_rgb_512,48,420693/42445168/8018.653/6bed72dd-560e-4a8b-9514-f3947aebde36,1,-1,nan,90.000000,90.000000,nan,nan,nan,nan,0.000000,nan,nan,0,nan
opdformer_p_rgb_512,49,420693/42445168/8018.753/6bed72dd-560e-4a8b-9514-f3947aebde36,1,-1,nan,90.000000,90.000000,nan,nan,nan,nan,0.000000,nan,nan,0,nan
opdformer_p_rgb_512,50,420693/42445168/8018.853/6bed72dd-560e-4a8b-9514-f3947aebde36,1,-1,nan,90.000000,90.000000,nan,nan,nan,nan,0.000000,nan,nan,0,nan
opdformer_p_rgb_512,51,420693/42445168/8018.953/6bed72dd-560e-4a8b-9514-f3947aebde36,1,0,nan,76.993536,76.993536,2.037933,2.049068,nan,nan,0.013056,nan,nan,1,0.000668
opdformer_p_rgb_512,52,420693/42445168/8025.650/6bed72dd-560e-4a8b-9514-f3947aebde36,1,-1,nan,90.000000,90.000000,nan,nan,nan,nan,0.000000,nan,nan,0,nan
opdformer_p_rgb_512,53,420693/42445168/8025.750/60b855c3-a87a-4add-9616-1e56c6b07836,1,-1,nan,90.000000,90.000000,nan,nan,nan,nan,0.000000,nan,nan,0,nan
