model,idx,key,gt_type,pred_type,p_rev,axis_signed_deg,axis_unsigned_deg,origin_line_err_m,origin_qstar_err_m,point3d_err_m,point2d_err_frac,mask_iou,z_p_m,radius_m,matched,confidence
usdnet_v1cm,0,420693/42445168/7953.145/a36b3f7b-da1a-43de-bf7f-66853430701a,0,-1,nan,90.000000,90.000000,nan,nan,nan,nan,0.000000,nan,nan,0,nan
usdnet_v1cm,1,420693/42445168/7953.245/a36b3f7b-da1a-43de-bf7f-66853430701a,0,-1,nan,90.000000,90.000000,nan,nan,nan,nan,0.000000,nan,nan,0,nan
usdnet_v1cm,2,420693/42445168/7953.345/a36b3f7b-da1a-43de-bf7f-66853430701a,0,-1,nan,90.000000,90.000000,nan,nan,nan,nan,0.000000,nan,nan,0,nan
usdnet_v1cm,3,420693/42445168/7953.445/a36b3f7b-da1a-43de-bf7f-66853430701a,0,-1,nan,90.000000,90.000000,nan,nan,nan,nan,0.000000,nan,nan,0,nan
usdnet_v1cm,4,420693/42445168/7955.444/88f94051-70d3-4070-914c-a7e4e85d9494,0,1,nan,162.631419,17.368581,nan,nan,nan,nan,0.088000,nan,nan,1,0.267445
usdnet_v1cm,5,420693/42445168/7955.544/88f94051-70d3-4070-914c-a7e4e85d9494,0,1,nan,162.631418,17.368582,nan,nan,nan,nan,0.088083,nan,nan,1,0.267445
usdnet_v1cm,6,420693/42445168/7955.544/a36b3f7b-da1a-43de-bf7f-66853430701a,0,-1,nan,90.000000,90.000000,nan,nan,nan,nan,0.000000,nan,nan,0,nan
usdnet_v1cm,7,420693/42445168/7955.644/88f94051-70d3-4070-914c-a7e4e85d9494,0,1,nan,162.631419,17.368581,nan,nan,nan,nan,0.079518,nan,nan,1,0.267445
usdnet_v1cm,8,420693/42445168/7955.644/a36b3f7b-da1a-43de-bf7f-66853430701a,0,-1,nan,90.000000,90.000000,nan,nan,nan,nan,0.000000,nan,nan,0,nan
usdnet_v1cm,9,420693/42445168/7955.744/88f94051-70d3-4070-914c-a7e4e85d9494,0,1,nan,162.631419,17.368581,nan,nan,nan,nan,0.076433,nan,nan,1,0.267445
usdnet_v1cm,10,420693/42445168/7955.744/a36b3f7b-da1a-43de-bf7f-66853430701a,0,-1,nan,90.000000,90.000000,nan,nan,nan,nan,0.000000,nan,nan,0,nan
usdnet_v1cm,11,420693/42445168/7955.844/88f94051-70d3-4070-914c-a7e4e85d9494,0,1,nan,162.631419,17.368581,nan,nan,nan,nan,0.063218,nan,nan,1,0.267445
usdnet_v1cm,12,420693/42445168/7955.844/a36b3f7b-da1a-43de-bf7f-66853430701a,0,-1,nan,90.000000,90.000000,nan,nan,nan,nan,0.000000,nan,nan,0,nan
usdnet_v1cm,13,420693/42445168/7955.944/a36b3f7b-da1a-43de-bf7f-66853430701a,0,-1,nan,90.000000,90.000000,nan,nan,nan,nan,0.000000,nan,nan,0,nan
usdnet_v1cm,14,420693/42445168/7956.044/a36b3f7b-da1a-43de-bf7f-66853430701a,0,-1,nan,90.000000,90.000000,nan,nan,nan,nan,0.000000,nan,nan,0,nan
usdnet_v1cm,15,420693/42445168/7956.144/a36b3f7b-da1a-43de-bf7f-66853430701a,0,-1,nan,90.000000,90.000000,nan,nan,nan,nan,0.000000,nan,nan,0,nan
usdnet_v1cm,16,420693/42445168/7956.244/a36b3f7b-da1a-43de-bf7f-66853430701a,0,-1,nan,90.000000,90.000000,nan,nan,nan,nan,0.000000,nan,nan,0,nan
usdnet_v1cm,17,420693/42445168/7983.450/88f94051-70d3-4070-914c-a7e4e85d9494,0,1,nan,162.631420,17.368580,nan,nan,nan,nan,0.074906,nan,nan,1,0.267445
usdnet_v1cm,18,420693/42445168/7983.550/88f94051-70d3-4070-914c-a7e4e85d9494,0,1,nan,162.631419,17.368581,nan,nan,nan,nan,0.074713,nan,nan,1,0.267445
usdnet_v1cm,19,420693/42445168/7983.650/88f94051-70d3-4070-914c-a7e4e85d9494,0,1,nan,162.631419,17.368581,nan,nan,nan,nan,0.074570,nan,nan,1,0.267445
usdnet_v1cm,20,420693/42445168/7983.750/88f94051-70d3-4070-914c-a7e4e85d9494,0,1,nan,162.631419,17.368581,nan,nan,nan,nan,0.074074,nan,nan,1,0.267445
usdnet_v1cm,21,420693/42445168/7983.850/88f94051-70d3-4070-914c-a7e4e85d9494,0,1,nan,162.631419,17.368581,nan,nan,nan,nan,0.066667,nan,nan,1,0.267445
usdnet_v1cm,22,420693/42445168/7983.850/a36b3f7b-da1a-43de-bf7f-66853430701a,0,-1,nan,90.000000,90.000000,nan,nan,nan,nan,0.000000,nan,nan,0,nan
usdnet_v1cm,23,420693/42445168/7983.950/88f94051-70d3-4070-914c-a7e4e85d9494,0,1,nan,162.631419,17.368581,nan,nan,nan,nan,0.056338,nan,nan,1,0.267445
usdnet_v1cm,24,420693/42445168/7983.950/a36b3f7b-da1a-43de-bf7f-66853430701a,0,-1,nan,90.000000,90.000000,nan,nan,nan,nan,0.000000,nan,nan,0,nan
usdnet_v1cm,25,420693/42445168/7984.050/88f94051-70d3-4070-914c-a7e4e85d9494,0,1,nan,162.631419,17.368581,nan,nan,nan,nan,0.060800,nan,nan,1,0.267445
usdnet_v1cm,26,420693/42445168/7984.050/a36b3f7b-da1a-43de-bf7f-66853430701a,0,-1,nan,90.000000,90.000000,nan,nan,nan,nan,0.000000,nan,nan,0,nan
usdnet_v1cm,27,420693/42445168/7984.150/88f94051-70d3-4070-914c-a7e4e85d9494,0,1,nan,162.631419,17.368581,nan,nan,nan,nan,0.061588,nan,nan,1,0.267445
usdnet_v1cm,28,420693/42445168/7984.150/a36b3f7b-da1a-43de-bf7f-66853430701a,0,-1,nan,90.000000,90.000000,nan,nan,nan,nan,0.000000,nan,nan,0,nan
usdnet_v1cm,29,420693/42445168/7984.250/88f94051-70d3-4070-914c-a7e4e85d9494,0,1,nan,162.631419,17.368581,nan,nan,nan,nan,0.063694,nan,nan,1,0.267445
usdnet_v1cm,30,420693/42445168/7984.250/a36b3f7b-da1a-43de-bf7f-66853430701a,0,-1,nan,90.000000,90.000000,nan,nan,nan,nan,0.000000,nan,nan,0,nan
usdnet_v1cm,31,420693/42445168/7984.350/88f94051-70d3-4070-914c-a7e4e85d9494,0,1,nan,162.631419,17.368581,nan,nan,nan,nan,0.045814,nan,nan,1,0.267445
usdnet_v1cm,32,420693/42445168/7984.350/a36b3f7b-da1a-43de-bf7f-66853430701a,0,-1,nan,90.000000,90.000000,nan,nan,nan,nan,0.000000,nan,nan,0,nan
usdnet_v1cm,33,420693/42445168/7984.450/88f94051-70d3-4070-914c-a7e4e85d9494,0,1,nan,162.631419,17.368581,nan,nan,nan,nan,0.062402,nan,nan,1,0.267445
usdnet_v1cm,34,420693/42445168/7984.450/a36b3f7b-da1a-43de-bf7f-66853430701a,0,-1,nan,90.000000,90.000000,nan,nan,nan,nan,0.000000,nan,nan,0,nan
usdnet_v1cm,35,420693/42445168/7984.550/88f94051-70d3-4070-914c-a7e4e85d9494,0,1,nan,162.631418,17.368582,nan,nan,nan,nan,0.064815,nan,nan,1,0.267445
usdnet_v1cm,36,420693/42445168/7984.550/a36b3f7b-da1a-43de-bf7f-66853430701a,0,-1,nan,90.000000,90.000000,nan,nan,nan,nan,0.000000,nan,nan,0,nan
usdnet_v1cm,37,420693/42445168/7984.650/88f94051-70d3-4070-914c-a7e4e85d9494,0,1,nan,162.631419,17.368581,nan,nan,nan,nan,0.056146,nan,nan,1,0.267445
usdnet_v1cm,38,420693/42445168/7984.650/a36b3f7b-da1a-43de-bf7f-66853430701a,0,-1,nan,90.000000,90.000000,nan,nan,nan,nan,0.000000,nan,nan,0,nan
usdnet_v1cm,39,420693/42445168/7984.749/88f94051-70d3-4070-914c-a7e4e85d9494,0,1,nan,162.631419,17.368581,nan,nan,nan,nan,0.058140,nan,nan,1,0.267445
usdnet_v1cm,40,420693/42445168/7984.749/a36b3f7b-da1a-43de-bf7f-66853430701a,0,-1,nan,90.000000,90.000000,nan,nan,nan,nan,0.000000,nan,nan,0,nan
usdnet_v1cm,41,420693/42445168/7984.849/88f94051-70d3-4070-914c-a7e4e85d9494,0,1,nan,162.631418,17.368582,nan,nan,nan,nan,0.050340,nan,nan,1,0.267445
usdnet_v1cm,42,420693/42445168/7984.849/a36b3f7b-da1a-43de-bf7f-66853430701a,0,-1,nan,90.000000,90.000000,nan,nan,nan,nan,0.000000,nan,nan,0,nan
usdnet_v1cm,43,420693/42445168/7984.949/88f94051-70d3-4070-914c-a7e4e85d9494,0,1,nan,162.631419,17.368581,nan,nan,nan,nan,0.055772,nan,nan,1,0.267445
usdnet_v1cm,44,420693/42445168/7985.049/88f94051-70d3-4070-914c-a7e4e85d9494,0,1,nan,162.631419,17.368581,nan,nan,nan,nan,0.053218,nan,nan,1,0.267445
usdnet_v1cm,45,420693/42445168/8018.353/6bed72dd-560e-4a8b-9514-f3947aebde36,1,-1,nan,90.000000,90.000000,nan,nan,nan,nan,0.000000,nan,nan,0,nan
usdnet_v1cm,46,420693/42445168/8018.453/6bed72dd-560e-4a8b-9514-f3947aebde36,1,-1,nan,90.000000,90.000000,nan,nan,nan,nan,0.000000,nan,nan,0,nan
usdnet_v1cm,47,420693/42445168/8018.553/6bed72dd-560e-4a8b-9514-f3947aebde36,1,-1,nan,90.000000,90.000000,nan,nan,nan,nan,0.000000,nan,nan,0,nan
usdnet_v1cm,48,420693/42445168/8018.653/6bed72dd-560e-4a8b-9514-f3947aebde36,1,-1,nan,90.000000,90.000000,nan,nan,nan,nan,0.000000,nan,nan,0,nan
usdnet_v1cm,49,420693/42445168/8018.753/6bed72dd-560e-4a8b-9514-f3947aebde36,1,-1,nan,90.000000,90.000000,nan,nan,nan,nan,0.000000,nan,nan,0,nan
usdnet_v1cm,50,420693/42445168/8018.853/6bed72dd-560e-4a8b-9514-f3947aebde36,1,-1,nan,90.000000,90.000000,nan,nan,nan,nan,0.000000,nan,nan,0,nan
usdnet_v1cm,51,420693/42445168/8018.953/6bed72dd-560e-4a8b-9514-f3947aebde36,1,-1,nan,90.000000,90.000000,nan,nan,nan,nan,0.000000,nan,nan,0,nan
usdnet_v1cm,52,420693/42445168/8025.650/6bed72dd-560e-4a8b-9514-f3947aebde36,1,-1,nan,90.000000,90.000000,nan,nan,nan,nan,0.000000,nan,nan,0,nan
usdnet_v1cm,53,420693/42445168/8025.750/60b855c3-a87a-4add-9616-1e56c6b07836,1,1,nan,112.145775,67.854225,2.428085,2.485656,nan,nan,0.293718,nan,nan,1,0.665371
usdnet_v1cm,54,420693/42445168/8025.750/6bed72dd-560e-4a8b-9514-f3947aebde36,1,-1,nan,90.000000,90.000000,nan,nan,nan,nan,0.000000,nan,nan,0,nan
usdnet_v1cm,55,420693/42445168/8025.850/60b855c3-a87a-4add-9616-1e56c6b07836,1,1,nan,112.145775,67.854225,2.428085,2.483294,nan,nan,0.386172,nan,nan,1,0.665371
usdnet_v1cm,56,420693/42445168/8025.850/6bed72dd-560e-4a8b-9514-f3947aebde36,1,-1,nan,90.000000,90.000000,nan,nan,nan,nan,0.000000,nan,nan,0,nan
usdnet_v1cm,57,420693/42445168/8025.950/60b855c3-a87a-4add-9616-1e56c6b07836,1,1,nan,112.145775,67.854225,2.428085,2.481394,nan,nan,0.420099,nan,nan,1,0.665371
usdnet_v1cm,58,420693/42445168/8025.950/6bed72dd-560e-4a8b-9514-f3947aebde36,1,-1,nan,90.000000,90.000000,nan,nan,nan,nan,0.000000,nan,nan,0,nan
