lr-AdamW,step,train_loss_ce,train_loss_mask,train_loss_dice,train_loss_origin,train_loss_axis,train_loss_ce_0,train_loss_mask_0,train_loss_dice_0,train_loss_origin_0,train_loss_axis_0,train_loss_ce_1,train_loss_mask_1,train_loss_dice_1,train_loss_origin_1,train_loss_axis_1,train_loss_ce_2,train_loss_mask_2,train_loss_dice_2,train_loss_origin_2,train_loss_axis_2,train_loss_ce_3,train_loss_mask_3,train_loss_dice_3,train_loss_origin_3,train_loss_axis_3,train_loss_ce_4,train_loss_mask_4,train_loss_dice_4,train_loss_origin_4,train_loss_axis_4,train_loss_ce_5,train_loss_mask_5,train_loss_dice_5,train_loss_origin_5,train_loss_axis_5,train_loss_ce_6,train_loss_mask_6,train_loss_dice_6,train_loss_origin_6,train_loss_axis_6,train_loss_ce_7,train_loss_mask_7,train_loss_dice_7,train_loss_origin_7,train_loss_axis_7,train_loss_ce_8,train_loss_mask_8,train_loss_dice_8,train_loss_origin_8,train_loss_axis_8,train_loss_ce_9,train_loss_mask_9,train_loss_dice_9,train_loss_origin_9,train_loss_axis_9,train_loss_ce_10,train_loss_mask_10,train_loss_dice_10,train_loss_origin_10,train_loss_axis_10,mean_loss_ce,mean_loss_mask,mean_loss_dice,epoch,train_loss_mean,M_ap50,MA_ap50,MO_ap50,MAO_ap50,MAO_ST_ap50,MI_ap50,MIVec_ap50,MIOut_ap50,MIGT_ap50,MIOutGT_ap50,val_mean_box_ap_25,val_mean_box_ap_50,val_translation_val_box_ap_50,val_rotation_val_box_ap_50,val_translation_val_box_ap_25,val_rotation_val_box_ap_25,val_rotation_val_ap,val_rotation_val_ap_50,val_rotation_val_ap_25,val_translation_val_ap,val_translation_val_ap_50,val_translation_val_ap_25,val_mean_ap,val_mean_ap_50,val_mean_ap_25,val_loss_ce,val_loss_mask,val_loss_dice,val_loss_origin,val_loss_axis,val_loss_ce_0,val_loss_mask_0,val_loss_dice_0,val_loss_origin_0,val_loss_axis_0,val_loss_ce_1,val_loss_mask_1,val_loss_dice_1,val_loss_origin_1,val_loss_axis_1,val_loss_ce_2,val_loss_mask_2,val_loss_dice_2,val_loss_origin_2,val_loss_axis_2,val_loss_ce_3,val_loss_mask_3,val_loss_dice_3,val_loss_origin_3,val_loss_axis_3,val_loss_ce_4,val_loss_mask_4,val_loss_dice_4,val_loss_origin_4,val_loss_axis_4,val_loss_ce_5,val_loss_mask_5,val_loss_dice_5,val_loss_origin_5,val_loss_axis_5,val_loss_ce_6,val_loss_mask_6,val_loss_dice_6,val_loss_origin_6,val_loss_axis_6,val_loss_ce_7,val_loss_mask_7,val_loss_dice_7,val_loss_origin_7,val_loss_axis_7,val_loss_ce_8,val_loss_mask_8,val_loss_dice_8,val_loss_origin_8,val_loss_axis_8,val_loss_ce_9,val_loss_mask_9,val_loss_dice_9,val_loss_origin_9,val_loss_axis_9,val_loss_ce_10,val_loss_mask_10,val_loss_dice_10,val_loss_origin_10,val_loss_axis_10
8.831144344981e-07,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,49,0.024260398000478745,0.0325615368783474,0.21036690473556519,0.05883456766605377,0.0008408427238464355,1.2416961193084717,0.12496817111968994,1.0856099128723145,0.8550798892974854,0.02519047260284424,0.9784040451049805,0.1823396235704422,0.9698873162269592,0.7897842526435852,0.0035042166709899902,0.1696241945028305,0.17503225803375244,0.9749581217765808,0.3474278450012207,0.0053643882274627686,0.09575674682855606,0.06249072402715683,0.3599083423614502,0.05316486209630966,0.0006997883319854736,0.06465082615613937,0.027040891349315643,0.2116466760635376,0.04779139533638954,0.00042551755905151367,0.06587063521146774,0.030686847865581512,0.2242862582206726,0.042322710156440735,0.0005727410316467285,0.11263319104909897,0.041361235082149506,0.25436168909072876,0.058917876332998276,0.002632647752761841,0.062149811536073685,0.03581034392118454,0.23068660497665405,0.052985142916440964,0.001269310712814331,0.015524206683039665,0.02827816642820835,0.21706026792526245,0.0624736063182354,0.0005189180374145508,0.018174469470977783,0.0352276936173439,0.230693519115448,0.052427761256694794,0.0010714828968048096,0.015308992937207222,0.037146955728530884,0.26334303617477417,0.07964015007019043,0.0008112192153930664,0.23867113888263702,0.06774537265300751,0.4360674023628235,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.13776842048475e-06,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,99,0.11656775325536728,0.01578550785779953,0.44779172539711,0.07654707878828049,0.004886937327682972,1.8394761085510254,0.17412371933460236,1.6196917295455933,1.2947269678115845,0.35590916872024536,0.6699910759925842,0.06586108356714249,0.8636208772659302,1.2861870527267456,0.0030277015175670385,0.3167429268360138,0.10203245282173157,0.9082614183425903,1.388518214225769,0.007748246192932129,0.4308803677558899,0.030538158491253853,0.5664075016975403,0.07296745479106903,0.005584001541137695,0.24346043169498444,0.02739580161869526,0.4914413392543793,0.07304112613201141,0.0045621516183018684,0.2786363661289215,0.029322242364287376,0.5070400834083557,0.07047422975301743,0.005236196797341108,0.2328188121318817,0.021185364574193954,0.4313521385192871,0.07310289889574051,0.007495701313018799,0.1563054919242859,0.014191215857863426,0.3827221393585205,0.07483170181512833,0.005531609058380127,0.08344332873821259,0.019874926656484604,0.4459332525730133,0.07596143335103989,0.005190706346184015,0.0880185067653656,0.020548654720187187,0.4650205671787262,0.07639715075492859,0.00713193416595459,0.07524584233760834,0.02108203060925007,0.5136622786521912,0.077950119972229,0.00807956513017416,0.3776322603225708,0.045161761343479156,0.6369121074676514,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.5594056207178167e-06,149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,149,0.045713089406490326,0.032423581928014755,0.08911478519439697,0.0007091530715115368,0.0017250776290893555,1.085229516029358,0.044873062521219254,0.32570910453796387,0.00974350981414318,0.017605066299438477,0.19963692128658295,0.03509117290377617,0.1598144769668579,0.0005417910288088024,0.001392960548400879,0.07381327450275421,0.0349045991897583,0.10049772262573242,0.0003803090949077159,0.00011414289474487305,0.11332625150680542,0.040491215884685516,0.10212087631225586,0.0005045224097557366,0.0006052255630493164,0.07336592674255371,0.054829660803079605,0.11254227161407471,0.0006664460524916649,0.0009593367576599121,0.05068771168589592,0.04682829976081848,0.10899019241333008,0.0006342852138914168,0.0011841058731079102,0.04558013379573822,0.04613151401281357,0.10826528072357178,0.0005964682204648852,0.0007357597351074219,0.07065542787313461,0.03269841521978378,0.09191024303436279,0.0002549470809753984,0.0007316470146179199,0.053499989211559296,0.04801712557673454,0.10587167739868164,0.0005875632050447166,0.0010657906532287598,0.04574423283338547,0.07251755148172379,0.12844133377075195,0.0008814010652713478,0.0015003681182861328,0.032991763204336166,0.04995854198932648,0.11156082153320312,0.000681106117554009,0.0013431906700134277,0.1575203537940979,0.044897060841321945,0.12873657047748566,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,24.59418296813965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.1404245911677123e-06,199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,199,0.10551173239946365,0.04320373386144638,0.1899327039718628,0.0074311671778559685,0.0007538199424743652,1.0847291946411133,0.052739016711711884,0.4648958444595337,0.013981210999190807,0.09480971097946167,0.24390657246112823,0.04631587862968445,0.23968780040740967,0.005825518164783716,0.0009644031524658203,0.07402675598859787,0.056073881685733795,0.26067018508911133,0.014195011928677559,0.0032916665077209473,0.048881225287914276,0.046377189457416534,0.22498977184295654,0.014495003037154675,0.0012704730033874512,0.029604703187942505,0.04719894379377365,0.22034382820129395,0.0181440319865942,0.0005235671997070312,0.03690902888774872,0.041633665561676025,0.18438231945037842,0.007168827578425407,0.0006250739097595215,0.030043845996260643,0.047213923186063766,0.19570589065551758,0.009049131534993649,0.0005881786346435547,0.048497240990400314,0.05075278878211975,0.22658562660217285,0.015689611434936523,0.0023776888847351074,0.052011653780937195,0.03890383243560791,0.19336748123168945,0.010393504053354263,0.0010236501693725586,0.07372039556503296,0.03961307927966118,0.19594287872314453,0.007258142810314894,0.0009192228317260742,0.08046028763055801,0.040494404733181,0.1995711326599121,0.0073059541173279285,0.0008791089057922363,0.15902522206306458,0.045876696705818176,0.2330062836408615,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.87035048952554e-06,249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
