lr-AdamW,step,train_loss_ce,train_loss_mask,train_loss_dice,train_loss_origin,train_loss_axis,train_loss_ce_0,train_loss_mask_0,train_loss_dice_0,train_loss_origin_0,train_loss_axis_0,train_loss_ce_1,train_loss_mask_1,train_loss_dice_1,train_loss_origin_1,train_loss_axis_1,train_loss_ce_2,train_loss_mask_2,train_loss_dice_2,train_loss_origin_2,train_loss_axis_2,train_loss_ce_3,train_loss_mask_3,train_loss_dice_3,train_loss_origin_3,train_loss_axis_3,train_loss_ce_4,train_loss_mask_4,train_loss_dice_4,train_loss_origin_4,train_loss_axis_4,train_loss_ce_5,train_loss_mask_5,train_loss_dice_5,train_loss_origin_5,train_loss_axis_5,train_loss_ce_6,train_loss_mask_6,train_loss_dice_6,train_loss_origin_6,train_loss_axis_6,train_loss_ce_7,train_loss_mask_7,train_loss_dice_7,train_loss_origin_7,train_loss_axis_7,train_loss_ce_8,train_loss_mask_8,train_loss_dice_8,train_loss_origin_8,train_loss_axis_8,train_loss_ce_9,train_loss_mask_9,train_loss_dice_9,train_loss_origin_9,train_loss_axis_9,train_loss_ce_10,train_loss_mask_10,train_loss_dice_10,train_loss_origin_10,train_loss_axis_10,mean_loss_ce,mean_loss_mask,mean_loss_dice,epoch,train_loss_mean,M_ap50,MA_ap50,MO_ap50,MAO_ap50,MAO_ST_ap50,MI_ap50,MIVec_ap50,MIOut_ap50,MIGT_ap50,MIOutGT_ap50,val_mean_box_ap_25,val_mean_box_ap_50,val_rotation_val_box_ap_50,val_translation_val_box_ap_50,val_rotation_val_box_ap_25,val_translation_val_box_ap_25,val_rotation_val_ap,val_rotation_val_ap_50,val_rotation_val_ap_25,val_translation_val_ap,val_translation_val_ap_50,val_translation_val_ap_25,val_mean_ap,val_mean_ap_50,val_mean_ap_25,val_loss_ce,val_loss_mask,val_loss_dice,val_loss_origin,val_loss_axis,val_loss_ce_0,val_loss_mask_0,val_loss_dice_0,val_loss_origin_0,val_loss_axis_0,val_loss_ce_1,val_loss_mask_1,val_loss_dice_1,val_loss_origin_1,val_loss_axis_1,val_loss_ce_2,val_loss_mask_2,val_loss_dice_2,val_loss_origin_2,val_loss_axis_2,val_loss_ce_3,val_loss_mask_3,val_loss_dice_3,val_loss_origin_3,val_loss_axis_3,val_loss_ce_4,val_loss_mask_4,val_loss_dice_4,val_loss_origin_4,val_loss_axis_4,val_loss_ce_5,val_loss_mask_5,val_loss_dice_5,val_loss_origin_5,val_loss_axis_5,val_loss_ce_6,val_loss_mask_6,val_loss_dice_6,val_loss_origin_6,val_loss_axis_6,val_loss_ce_7,val_loss_mask_7,val_loss_dice_7,val_loss_origin_7,val_loss_axis_7,val_loss_ce_8,val_loss_mask_8,val_loss_dice_8,val_loss_origin_8,val_loss_axis_8,val_loss_ce_9,val_loss_mask_9,val_loss_dice_9,val_loss_origin_9,val_loss_axis_9,val_loss_ce_10,val_loss_mask_10,val_loss_dice_10,val_loss_origin_10,val_loss_axis_10
8.831144344981e-07,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,49,0.6305351257324219,0.03637559711933136,0.7241258025169373,0.3981769382953644,0.12125041335821152,3.014493942260742,0.11992386728525162,1.8667938709259033,1.126390814781189,0.7015500664710999,2.5851829051971436,0.16432680189609528,1.8416153192520142,1.251891016960144,0.6576197743415833,1.6065654754638672,0.12237147986888885,1.7467774152755737,2.3520240783691406,0.7356282472610474,0.8868530988693237,0.11105506122112274,1.5415135622024536,1.69558584690094,0.2532656192779541,0.6440699696540833,0.12408412247896194,1.2743550539016724,1.39207923412323,0.3452644348144531,0.4988478124141693,0.09159772843122482,1.0824229717254639,1.7222095727920532,0.32542505860328674,0.3539280593395233,0.07524825632572174,1.0165817737579346,0.4275970458984375,0.17622868716716766,0.385946661233902,0.05405111610889435,0.8257248997688293,0.22237315773963928,0.21793532371520996,0.34257492423057556,0.047982096672058105,0.6444603800773621,0.4161545932292938,0.040760841220617294,0.3266465663909912,0.042143963277339935,0.6949851512908936,0.17077107727527618,0.057787735015153885,0.22974810004234314,0.03901714086532593,0.726374089717865,0.22217793762683868,0.13960401713848114,0.9587827324867249,0.08568143844604492,1.1654775142669678,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.13776842048475e-06,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,99,0.227744460105896,0.037095408886671066,1.036633849143982,0.2062416970729828,0.06183326244354248,1.0852638483047485,0.09233874082565308,1.9866793155670166,6.292710304260254,0.00221174955368042,0.6065837144851685,0.3335142135620117,1.995344638824463,5.993997097015381,0.08755481243133545,0.15956731140613556,0.43937331438064575,1.9991859197616577,5.968514442443848,0.07472604513168335,0.20497934520244598,0.03198684751987457,0.9973440170288086,0.2094024419784546,0.07252788543701172,0.22411152720451355,0.021965105086565018,0.8526990413665771,0.21448174118995667,0.054451823234558105,0.23706939816474915,0.030244888737797737,0.915265679359436,0.1967962086200714,0.07700115442276001,0.23113539814949036,0.03849722445011139,1.0123844146728516,0.20378172397613525,0.06745660305023193,0.20884162187576294,0.02862502634525299,0.9133520126342773,0.22549812495708466,0.05838882923126221,0.20408478379249573,0.025019710883498192,0.8791763782501221,0.20440514385700226,0.06258875131607056,0.19330808520317078,0.039363112300634384,1.0209323167800903,0.19752579927444458,0.07463955879211426,0.23387809097766876,0.04080886393785477,1.0481048822402954,0.2030821591615677,0.06580454111099243,0.31804728507995605,0.09656937420368195,1.221425175666809,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.5594056207178167e-06,149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,149,0.06387320905923843,0.03502919524908066,0.20107363164424896,0.4322815537452698,0.12443066388368607,1.8337653875350952,0.43965163826942444,1.683324933052063,7.85870885848999,0.1274000108242035,0.6466985940933228,0.22055111825466156,0.870932936668396,3.0507185459136963,0.13299444317817688,0.5319970846176147,0.09197017550468445,0.3766832649707794,0.4458135664463043,0.1371619701385498,0.3932989239692688,0.04202074930071831,0.22076036036014557,0.3543749153614044,0.12551790475845337,0.20357784628868103,0.05117768421769142,0.21668021380901337,0.34855231642723083,0.12600551545619965,0.2307213395833969,0.05245164409279823,0.22545547783374786,0.35972627997398376,0.13220813870429993,0.12324654310941696,0.05283690243959427,0.21046970784664154,0.3631741404533386,0.12806770205497742,0.1929924637079239,0.038754452019929886,0.184979647397995,0.4004496932029724,0.1285589337348938,0.09835811704397202,0.039613209664821625,0.18085438013076782,0.3869679868221283,0.12293147295713425,0.09529013186693192,0.04089199751615524,0.1889795958995819,0.39128243923187256,0.12926125526428223,0.08207830041646957,0.03944091498851776,0.18362616002559662,0.3669544458389282,0.125482439994812,0.37465816736221313,0.09536580741405487,0.3953183591365814,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,31.864351272583008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.1404245911677123e-06,199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,199,0.01288040541112423,0.018624037504196167,0.10730274021625519,0.07165766507387161,0.001301968120969832,1.592575192451477,0.29859238862991333,1.4606140851974487,11.17219352722168,0.3987312316894531,0.7984206676483154,0.08789783716201782,0.44921430945396423,0.6734250783920288,0.002837276551872492,0.23509031534194946,0.0821710005402565,0.41059502959251404,1.724097490310669,0.0019405604107305408,0.09168265014886856,0.01689150370657444,0.10922529548406601,0.08781462907791138,0.0014587879413738847,0.021254008635878563,0.018362972885370255,0.11511917412281036,0.0748351663351059,0.001224267529323697,0.015594483353197575,0.019215010106563568,0.10917027294635773,0.0751894935965538,0.0014710783725604415,0.01170560996979475,0.02081962302327156,0.11446645110845566,0.06908600777387619,0.0006030917284078896,0.012479291297495365,0.01909612864255905,0.11025092750787735,0.07154756784439087,0.0010069847339764237,0.012204506434500217,0.019434470683336258,0.11714114993810654,0.07363656163215637,0.0012244106037542224,0.009804854169487953,0.019494205713272095,0.11040222644805908,0.07492875307798386,0.0014029026497155428,0.010287843644618988,0.022162068635225296,0.11358239501714706,0.06348176300525665,0.0012156844604760408,0.23533165454864502,0.0535634383559227,0.2772569954395294,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.87035048952554e-06,249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
