lr-AdamW,step,train_loss_ce,train_loss_mask,train_loss_dice,train_loss_origin,train_loss_axis,train_loss_ce_0,train_loss_mask_0,train_loss_dice_0,train_loss_origin_0,train_loss_axis_0,train_loss_ce_1,train_loss_mask_1,train_loss_dice_1,train_loss_origin_1,train_loss_axis_1,train_loss_ce_2,train_loss_mask_2,train_loss_dice_2,train_loss_origin_2,train_loss_axis_2,train_loss_ce_3,train_loss_mask_3,train_loss_dice_3,train_loss_origin_3,train_loss_axis_3,train_loss_ce_4,train_loss_mask_4,train_loss_dice_4,train_loss_origin_4,train_loss_axis_4,train_loss_ce_5,train_loss_mask_5,train_loss_dice_5,train_loss_origin_5,train_loss_axis_5,train_loss_ce_6,train_loss_mask_6,train_loss_dice_6,train_loss_origin_6,train_loss_axis_6,train_loss_ce_7,train_loss_mask_7,train_loss_dice_7,train_loss_origin_7,train_loss_axis_7,train_loss_ce_8,train_loss_mask_8,train_loss_dice_8,train_loss_origin_8,train_loss_axis_8,train_loss_ce_9,train_loss_mask_9,train_loss_dice_9,train_loss_origin_9,train_loss_axis_9,train_loss_ce_10,train_loss_mask_10,train_loss_dice_10,train_loss_origin_10,train_loss_axis_10,mean_loss_ce,mean_loss_mask,mean_loss_dice,epoch,train_loss_mean,M_ap50,MA_ap50,MO_ap50,MAO_ap50,MAO_ST_ap50,MI_ap50,MIVec_ap50,MIOut_ap50,MIGT_ap50,MIOutGT_ap50,val_mean_box_ap_25,val_mean_box_ap_50,val_rotation_val_box_ap_50,val_translation_val_box_ap_50,val_rotation_val_box_ap_25,val_translation_val_box_ap_25,val_rotation_val_ap,val_rotation_val_ap_50,val_rotation_val_ap_25,val_translation_val_ap,val_translation_val_ap_50,val_translation_val_ap_25,val_mean_ap,val_mean_ap_50,val_mean_ap_25,val_loss_ce,val_loss_mask,val_loss_dice,val_loss_origin,val_loss_axis,val_loss_ce_0,val_loss_mask_0,val_loss_dice_0,val_loss_origin_0,val_loss_axis_0,val_loss_ce_1,val_loss_mask_1,val_loss_dice_1,val_loss_origin_1,val_loss_axis_1,val_loss_ce_2,val_loss_mask_2,val_loss_dice_2,val_loss_origin_2,val_loss_axis_2,val_loss_ce_3,val_loss_mask_3,val_loss_dice_3,val_loss_origin_3,val_loss_axis_3,val_loss_ce_4,val_loss_mask_4,val_loss_dice_4,val_loss_origin_4,val_loss_axis_4,val_loss_ce_5,val_loss_mask_5,val_loss_dice_5,val_loss_origin_5,val_loss_axis_5,val_loss_ce_6,val_loss_mask_6,val_loss_dice_6,val_loss_origin_6,val_loss_axis_6,val_loss_ce_7,val_loss_mask_7,val_loss_dice_7,val_loss_origin_7,val_loss_axis_7,val_loss_ce_8,val_loss_mask_8,val_loss_dice_8,val_loss_origin_8,val_loss_axis_8,val_loss_ce_9,val_loss_mask_9,val_loss_dice_9,val_loss_origin_9,val_loss_axis_9,val_loss_ce_10,val_loss_mask_10,val_loss_dice_10,val_loss_origin_10,val_loss_axis_10
8.831144344981e-07,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,49,0.23913848400115967,0.04110801964998245,0.6800252199172974,0.22439835965633392,0.22609813511371613,3.014287233352661,0.1207866370677948,1.866716980934143,0.9447717666625977,0.7011877298355103,0.402654767036438,0.0810580626130104,1.0869160890579224,0.31813114881515503,0.2451203316450119,0.2579566240310669,0.09383852779865265,1.0540032386779785,0.4100240170955658,0.27764153480529785,0.416374146938324,0.04420929402112961,0.7583072781562805,0.26422277092933655,0.21678785979747772,0.46187612414360046,0.044632941484451294,0.7049903869628906,0.21569596230983734,0.15476757287979126,0.16692829132080078,0.0727853924036026,0.7654396891593933,0.27435851097106934,0.2045079916715622,0.23884497582912445,0.06408658623695374,0.7447566986083984,0.2633359730243683,0.19587555527687073,0.23165830969810486,0.055682286620140076,0.7623978853225708,0.2637194097042084,0.2033277302980423,0.21186868846416473,0.061359159648418427,0.709550678730011,0.1920837163925171,0.12688100337982178,0.18509900569915771,0.058401137590408325,0.7007603049278259,0.24860970675945282,0.11963534355163574,0.13562504947185516,0.044770605862140656,0.7066377401351929,0.24693410098552704,0.1417437642812729,0.4968593120574951,0.06522655487060547,0.8783751726150513,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.13776842048475e-06,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,99,0.28439390659332275,0.03260602056980133,0.9479947090148926,0.21392899751663208,0.058008790016174316,1.0852493047714233,0.09447410702705383,1.9858169555664062,6.286243915557861,0.0020295381546020508,1.0016165971755981,0.14603419601917267,1.9822252988815308,6.1764655113220215,0.016914069652557373,0.8374105095863342,0.10737386345863342,1.9890021085739136,6.080029487609863,0.07097393274307251,0.20302727818489075,0.09605452418327332,1.992361068725586,6.176922798156738,0.04556131362915039,0.21781885623931885,0.145210400223732,1.9983965158462524,6.075041770935059,0.07352960109710693,0.22477082908153534,0.1590574085712433,1.9986501932144165,6.138026714324951,0.06796067953109741,0.1956259161233902,0.17197148501873016,1.9982049465179443,1.5733795166015625,0.10113078355789185,0.09202495217323303,0.40773797035217285,1.999314785003662,5.939542293548584,0.0855710506439209,0.3056367337703705,0.02132469043135643,0.8234250545501709,0.21626164019107819,0.05211097002029419,0.2887299060821533,0.027697868645191193,0.8562812805175781,0.19881661236286163,0.07491862773895264,0.4126499891281128,0.031582869589328766,0.8999780416488647,0.20461317896842957,0.06993257999420166,0.4290795624256134,0.12009378522634506,1.6226376295089722,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.5594056207178167e-06,149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,149,0.1325129270553589,0.039351657032966614,0.24524636566638947,0.41450127959251404,0.1273801624774933,1.8337637186050415,0.44465476274490356,1.6802647113800049,5.651318073272705,0.1257728934288025,0.5678830742835999,0.22199758887290955,0.8596384525299072,3.0358121395111084,0.12730622291564941,0.42854246497154236,0.08224134147167206,0.4523201584815979,0.5788177251815796,0.1371004283428192,0.19665442407131195,0.04718750715255737,0.2262987494468689,0.39530184864997864,0.12816956639289856,0.11237407475709915,0.04257694631814957,0.17527452111244202,0.36899131536483765,0.12546560168266296,0.09570913761854172,0.044882066547870636,0.19254164397716522,0.38814347982406616,0.12651503086090088,0.08910834044218063,0.04238434508442879,0.2113875448703766,0.3599294126033783,0.13029496371746063,0.1525973677635193,0.03481503948569298,0.20057880878448486,0.3360707461833954,0.12693330645561218,0.10872868448495865,0.037729937583208084,0.202911376953125,0.35695725679397583,0.12490904331207275,0.12108389288187027,0.04138519614934921,0.216487318277359,0.35797417163848877,0.12483732402324677,0.10154782980680466,0.043118853121995926,0.23579393327236176,0.3623887896537781,0.12360517680644989,0.3283754885196686,0.09352710098028183,0.40822863578796387,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,28.077957153320312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.1404245911677123e-06,199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,199,0.015599992126226425,0.01785481907427311,0.10783763229846954,0.07501013576984406,0.0011833787430077791,1.5924962759017944,0.30532389879226685,1.458639144897461,8.080683708190918,0.3568783700466156,0.3423474133014679,0.07907985150814056,0.44043198227882385,0.598839282989502,0.0010558366775512695,0.2305343896150589,0.049567706882953644,0.3288944661617279,0.4924943447113037,0.0010545373661443591,0.08945486694574356,0.01897960901260376,0.14357785880565643,0.06328300386667252,0.0009156942251138389,0.02289552055299282,0.018231676891446114,0.11336436122655869,0.07414233684539795,0.0005796790355816483,0.018949631601572037,0.01970180869102478,0.10951902717351913,0.0700872614979744,0.001311230706050992,0.013557178899645805,0.021318018436431885,0.10958518832921982,0.06475559622049332,0.00088162423344329,0.012522709555923939,0.017924243584275246,0.10904558002948761,0.07202819734811783,0.0010987281566485763,0.015742219984531403,0.018352070823311806,0.11362116783857346,0.07293824106454849,0.0013733626110479236,0.012360872700810432,0.019101647660136223,0.11101169884204865,0.07167726755142212,0.0012940288288518786,0.011911838315427303,0.020175816491246223,0.11370577663183212,0.072813980281353,0.0010038971668109298,0.19819773733615875,0.0504675954580307,0.2716028094291687,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.87035048952554e-06,249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
