lr-AdamW,step,train_loss_ce,train_loss_mask,train_loss_dice,train_loss_origin,train_loss_axis,train_loss_ce_0,train_loss_mask_0,train_loss_dice_0,train_loss_origin_0,train_loss_axis_0,train_loss_ce_1,train_loss_mask_1,train_loss_dice_1,train_loss_origin_1,train_loss_axis_1,train_loss_ce_2,train_loss_mask_2,train_loss_dice_2,train_loss_origin_2,train_loss_axis_2,train_loss_ce_3,train_loss_mask_3,train_loss_dice_3,train_loss_origin_3,train_loss_axis_3,train_loss_ce_4,train_loss_mask_4,train_loss_dice_4,train_loss_origin_4,train_loss_axis_4,train_loss_ce_5,train_loss_mask_5,train_loss_dice_5,train_loss_origin_5,train_loss_axis_5,train_loss_ce_6,train_loss_mask_6,train_loss_dice_6,train_loss_origin_6,train_loss_axis_6,train_loss_ce_7,train_loss_mask_7,train_loss_dice_7,train_loss_origin_7,train_loss_axis_7,train_loss_ce_8,train_loss_mask_8,train_loss_dice_8,train_loss_origin_8,train_loss_axis_8,train_loss_ce_9,train_loss_mask_9,train_loss_dice_9,train_loss_origin_9,train_loss_axis_9,train_loss_ce_10,train_loss_mask_10,train_loss_dice_10,train_loss_origin_10,train_loss_axis_10,mean_loss_ce,mean_loss_mask,mean_loss_dice,epoch,train_loss_mean,M_ap50,MA_ap50,MO_ap50,MAO_ap50,MAO_ST_ap50,MI_ap50,MIVec_ap50,MIOut_ap50,MIGT_ap50,MIOutGT_ap50,val_mean_box_ap_25,val_mean_box_ap_50,val_translation_val_box_ap_50,val_rotation_val_box_ap_50,val_translation_val_box_ap_25,val_rotation_val_box_ap_25,val_rotation_val_ap,val_rotation_val_ap_50,val_rotation_val_ap_25,val_translation_val_ap,val_translation_val_ap_50,val_translation_val_ap_25,val_mean_ap,val_mean_ap_50,val_mean_ap_25,val_loss_ce,val_loss_mask,val_loss_dice,val_loss_origin,val_loss_axis,val_loss_ce_0,val_loss_mask_0,val_loss_dice_0,val_loss_origin_0,val_loss_axis_0,val_loss_ce_1,val_loss_mask_1,val_loss_dice_1,val_loss_origin_1,val_loss_axis_1,val_loss_ce_2,val_loss_mask_2,val_loss_dice_2,val_loss_origin_2,val_loss_axis_2,val_loss_ce_3,val_loss_mask_3,val_loss_dice_3,val_loss_origin_3,val_loss_axis_3,val_loss_ce_4,val_loss_mask_4,val_loss_dice_4,val_loss_origin_4,val_loss_axis_4,val_loss_ce_5,val_loss_mask_5,val_loss_dice_5,val_loss_origin_5,val_loss_axis_5,val_loss_ce_6,val_loss_mask_6,val_loss_dice_6,val_loss_origin_6,val_loss_axis_6,val_loss_ce_7,val_loss_mask_7,val_loss_dice_7,val_loss_origin_7,val_loss_axis_7,val_loss_ce_8,val_loss_mask_8,val_loss_dice_8,val_loss_origin_8,val_loss_axis_8,val_loss_ce_9,val_loss_mask_9,val_loss_dice_9,val_loss_origin_9,val_loss_axis_9,val_loss_ce_10,val_loss_mask_10,val_loss_dice_10,val_loss_origin_10,val_loss_axis_10
8.831144344981e-07,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,49,0.3856852352619171,0.05258642137050629,0.86940598487854,0.3666459619998932,0.19466854631900787,3.107513427734375,0.20933224260807037,1.9248161315917969,2.227810859680176,0.45525264739990234,0.6294189691543579,0.10867814719676971,1.2694146633148193,0.8118650913238525,0.2379806637763977,0.4633978009223938,0.07304637879133224,1.1975958347320557,0.6047388315200806,0.1879609376192093,0.31010544300079346,0.07152073830366135,1.0315560102462769,0.40220052003860474,0.2322959452867508,0.3840199410915375,0.06190462410449982,0.9166589379310608,0.41335442662239075,0.2638978362083435,0.4079205095767975,0.05967192351818085,0.9187662601470947,0.38404974341392517,0.24619871377944946,0.450635701417923,0.05432605743408203,0.889037549495697,0.4340113699436188,0.24550005793571472,0.3346543312072754,0.06038852408528328,0.8869737386703491,0.31684795022010803,0.15520212054252625,0.3243592381477356,0.053918205201625824,0.8772638440132141,0.2967057228088379,0.202150359749794,0.32185497879981995,0.06268439441919327,0.8986073732376099,0.3489066958427429,0.1939874291419983,0.4556097388267517,0.05727611109614372,0.8905889987945557,0.3950847387313843,0.19932354986667633,0.6312646269798279,0.0771111473441124,1.0475571155548096,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.13776842048475e-06,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,99,0.049418553709983826,0.08850903064012527,0.10318128764629364,0.0690520852804184,0.0013304352760314941,1.3752102851867676,0.5750758647918701,1.2122021913528442,1.5700562000274658,0.05932891368865967,0.40168774127960205,0.10218082368373871,0.1455148160457611,0.11271395534276962,0.001741170883178711,0.13058173656463623,0.08352832496166229,0.0905434712767601,0.07073383033275604,0.0011342366924509406,0.1971028596162796,0.08056432753801346,0.09269051253795624,0.06750231981277466,0.00038061541272327304,0.059334248304367065,0.08708979934453964,0.09266909211874008,0.06668959558010101,0.0006867846241220832,0.05689481645822525,0.08449513465166092,0.09082818031311035,0.06930111348628998,0.001027445076033473,0.05520107224583626,0.08878013491630554,0.09032869338989258,0.06479816883802414,0.001071075676009059,0.053671952337026596,0.08838982880115509,0.10042059421539307,0.06965252757072449,0.0008528034086339176,0.037521183490753174,0.08948608487844467,0.09738834947347641,0.06896062195301056,0.0009557406301610172,0.040369585156440735,0.08572828024625778,0.08966036885976791,0.07153892517089844,0.0010274052619934082,0.04283786937594414,0.08703085780143738,0.08866783231496811,0.06825435161590576,0.0012533466797322035,0.20831932127475739,0.1284048706293106,0.19117461144924164,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.5594056207178167e-06,149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,149,0.12465155869722366,0.09313064813613892,0.3020036816596985,0.23532700538635254,0.9992942810058594,1.241450309753418,0.2660793364048004,1.1384944915771484,1.5794658660888672,0.9994879961013794,0.5460507869720459,0.09170372039079666,0.39408183097839355,0.1737290620803833,0.9974620938301086,0.1838093101978302,0.08413105458021164,0.32363539934158325,0.20915858447551727,0.9974546432495117,0.21967515349388123,0.08608449250459671,0.3176444172859192,0.2170642912387848,0.9987090826034546,0.2142816185951233,0.09499596059322357,0.28853273391723633,0.22576212882995605,0.99857497215271,0.19781872630119324,0.10386939346790314,0.287600576877594,0.22708064317703247,0.9995551109313965,0.1359669268131256,0.1400633007287979,0.3767281770706177,0.20175372064113617,0.9989796876907349,0.1294109970331192,0.09317362308502197,0.3052794337272644,0.23928183317184448,0.9988299608230591,0.14192785322666168,0.09242565184831619,0.2863689661026001,0.23501934111118317,0.9991193413734436,0.1329285055398941,0.09236185252666473,0.2789419889450073,0.23287621140480042,0.9984400272369385,0.1174851581454277,0.10771571099758148,0.3084295392036438,0.23917952179908752,0.998595118522644,0.2821214199066162,0.11214455962181091,0.3839784264564514,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,25.270992279052734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.1404245911677123e-06,199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,199,0.03565144166350365,0.06512518227100372,0.28906187415122986,0.5105910301208496,0.0008408725261688232,1.4909985065460205,0.2921195328235626,1.4403319358825684,2.964947462081909,0.2964123487472534,0.5387001633644104,0.2086845189332962,0.8373825550079346,1.994736671447754,0.007966861128807068,0.16887947916984558,0.12121342122554779,0.5869157910346985,1.3179614543914795,0.0019280612468719482,0.19119791686534882,0.10334177315235138,0.4360763430595398,1.2033179998397827,0.0018973946571350098,0.16765040159225464,0.07541246712207794,0.3099103271961212,0.6506702303886414,0.0010062158107757568,0.16422103345394135,0.07463923841714859,0.30941399931907654,0.6433876752853394,0.0022807419300079346,0.1265636533498764,0.07834261655807495,0.33471137285232544,0.5520453453063965,0.0021624118089675903,0.09147074073553085,0.07595307379961014,0.33848029375076294,0.5146454572677612,0.002448633313179016,0.09459662437438965,0.06493740528821945,0.2690213918685913,0.5486940145492554,0.0010352879762649536,0.09864494204521179,0.06431218981742859,0.2701199948787689,0.5353016257286072,0.0021461546421051025,0.04985765367746353,0.0657106265425682,0.3193821310997009,0.541527509689331,0.001371920108795166,0.2682027220726013,0.1074826717376709,0.47840067744255066,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.87035048952554e-06,249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
