lr-AdamW,step,train_loss_ce,train_loss_mask,train_loss_dice,train_loss_origin,train_loss_axis,train_loss_ce_0,train_loss_mask_0,train_loss_dice_0,train_loss_origin_0,train_loss_axis_0,train_loss_ce_1,train_loss_mask_1,train_loss_dice_1,train_loss_origin_1,train_loss_axis_1,train_loss_ce_2,train_loss_mask_2,train_loss_dice_2,train_loss_origin_2,train_loss_axis_2,train_loss_ce_3,train_loss_mask_3,train_loss_dice_3,train_loss_origin_3,train_loss_axis_3,train_loss_ce_4,train_loss_mask_4,train_loss_dice_4,train_loss_origin_4,train_loss_axis_4,train_loss_ce_5,train_loss_mask_5,train_loss_dice_5,train_loss_origin_5,train_loss_axis_5,train_loss_ce_6,train_loss_mask_6,train_loss_dice_6,train_loss_origin_6,train_loss_axis_6,train_loss_ce_7,train_loss_mask_7,train_loss_dice_7,train_loss_origin_7,train_loss_axis_7,train_loss_ce_8,train_loss_mask_8,train_loss_dice_8,train_loss_origin_8,train_loss_axis_8,train_loss_ce_9,train_loss_mask_9,train_loss_dice_9,train_loss_origin_9,train_loss_axis_9,train_loss_ce_10,train_loss_mask_10,train_loss_dice_10,train_loss_origin_10,train_loss_axis_10,mean_loss_ce,mean_loss_mask,mean_loss_dice,epoch,train_loss_mean,M_ap50,MA_ap50,MO_ap50,MAO_ap50,MAO_ST_ap50,MI_ap50,MIVec_ap50,MIOut_ap50,MIGT_ap50,MIOutGT_ap50,val_mean_box_ap_25,val_mean_box_ap_50,val_rotation_val_box_ap_50,val_translation_val_box_ap_50,val_rotation_val_box_ap_25,val_translation_val_box_ap_25,val_rotation_val_ap,val_rotation_val_ap_50,val_rotation_val_ap_25,val_translation_val_ap,val_translation_val_ap_50,val_translation_val_ap_25,val_mean_ap,val_mean_ap_50,val_mean_ap_25,val_loss_ce,val_loss_mask,val_loss_dice,val_loss_origin,val_loss_axis,val_loss_ce_0,val_loss_mask_0,val_loss_dice_0,val_loss_origin_0,val_loss_axis_0,val_loss_ce_1,val_loss_mask_1,val_loss_dice_1,val_loss_origin_1,val_loss_axis_1,val_loss_ce_2,val_loss_mask_2,val_loss_dice_2,val_loss_origin_2,val_loss_axis_2,val_loss_ce_3,val_loss_mask_3,val_loss_dice_3,val_loss_origin_3,val_loss_axis_3,val_loss_ce_4,val_loss_mask_4,val_loss_dice_4,val_loss_origin_4,val_loss_axis_4,val_loss_ce_5,val_loss_mask_5,val_loss_dice_5,val_loss_origin_5,val_loss_axis_5,val_loss_ce_6,val_loss_mask_6,val_loss_dice_6,val_loss_origin_6,val_loss_axis_6,val_loss_ce_7,val_loss_mask_7,val_loss_dice_7,val_loss_origin_7,val_loss_axis_7,val_loss_ce_8,val_loss_mask_8,val_loss_dice_8,val_loss_origin_8,val_loss_axis_8,val_loss_ce_9,val_loss_mask_9,val_loss_dice_9,val_loss_origin_9,val_loss_axis_9,val_loss_ce_10,val_loss_mask_10,val_loss_dice_10,val_loss_origin_10,val_loss_axis_10
8.831144344981e-07,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,49,0.14159207046031952,0.033818818628787994,0.6352526545524597,0.18337403237819672,0.10944079607725143,3.0137650966644287,0.1195979043841362,1.866637110710144,0.8197477459907532,0.6983340382575989,0.35244524478912354,0.08703197538852692,1.0983171463012695,0.3070060610771179,0.2304968386888504,0.5040537118911743,0.062056224793195724,0.982887864112854,0.3592086434364319,0.2160901576280594,0.4282575249671936,0.050053805112838745,0.8419980406761169,0.22644686698913574,0.1807587444782257,0.27846285700798035,0.05711673945188522,0.7344986796379089,0.11782548576593399,0.11030631512403488,0.23304380476474762,0.05901629477739334,0.7199410796165466,0.12493202835321426,0.10690104961395264,0.2267301380634308,0.04656050354242325,0.7084305882453918,0.14963267743587494,0.1294795125722885,0.1790209859609604,0.04986527934670448,0.7298030853271484,0.1890103667974472,0.11497632414102554,0.2041557878255844,0.04188857600092888,0.5791810154914856,0.16554652154445648,0.12005133926868439,0.14791710674762726,0.041973233222961426,0.5975983738899231,0.14432071149349213,0.11051984876394272,0.134072408080101,0.042725853621959686,0.5986652970314026,0.15207448601722717,0.12355426698923111,0.4869597256183624,0.05764210224151611,0.8411009311676025,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.13776842048475e-06,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,99,0.16995073854923248,0.03324247896671295,0.982274055480957,0.2139003574848175,0.0571860671043396,1.085781216621399,0.09210296720266342,1.986214518547058,6.296651840209961,0.0022569894790649414,0.3996696472167969,0.3101234436035156,1.9992303848266602,5.997575759887695,0.08279997110366821,0.10418473184108734,0.4344657361507416,1.999338150024414,5.980406761169434,0.07297873497009277,0.08011724799871445,0.45160794258117676,1.9993155002593994,5.944894790649414,0.08286327123641968,0.28223273158073425,0.02920859307050705,0.9737958908081055,0.2151562124490738,0.05479550361633301,0.29159626364707947,0.03797902911901474,0.9735884666442871,0.19546782970428467,0.07079267501831055,0.3116425573825836,0.04127752408385277,1.046886920928955,0.21244163811206818,0.06029641628265381,0.30352047085762024,0.039151035249233246,1.0437359809875488,0.22420774400234222,0.05267155170440674,0.22126297652721405,0.02814585156738758,0.9373207092285156,0.20755183696746826,0.05707508325576782,0.21775460243225098,0.044827502220869064,1.065744400024414,0.20397838950157166,0.07172918319702148,0.26949381828308105,0.042144350707530975,1.038271188735962,0.20315447449684143,0.062315285205841064,0.31143391132354736,0.13202303647994995,1.337143063545227,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.5594056207178167e-06,149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,149,0.07056476175785065,0.03660314157605171,0.218744158744812,0.43739449977874756,0.12794247269630432,1.8337321281433105,0.44387489557266235,1.6811697483062744,3.7373242378234863,0.12902307510375977,1.2430498600006104,0.1930064707994461,0.707570493221283,1.5217359066009521,0.13193151354789734,0.5856242179870605,0.06670143455266953,0.23764772713184357,0.3436141610145569,0.13079772889614105,0.29779475927352905,0.05161121115088463,0.2048112004995346,0.31722378730773926,0.12594208121299744,0.16173028945922852,0.058852214366197586,0.18948987126350403,0.3123025894165039,0.12357562780380249,0.16158637404441833,0.04335805028676987,0.1775914430618286,0.37205374240875244,0.1255510151386261,0.11054447293281555,0.041432350873947144,0.17431658506393433,0.3743046522140503,0.128464475274086,0.06667571514844894,0.03395036235451698,0.18508338928222656,0.36766210198402405,0.12723679840564728,0.04813627153635025,0.03572526574134827,0.17763078212738037,0.37051066756248474,0.12485865503549576,0.05173607915639877,0.042674943804740906,0.1955297887325287,0.36340516805648804,0.12646420300006866,0.042984433472156525,0.04298737645149231,0.22184373438358307,0.3608522415161133,0.12366636842489243,0.3895132839679718,0.09089814126491547,0.36428573727607727,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,24.179615020751953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.1404245911677123e-06,199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,199,0.014996395446360111,0.018022391945123672,0.10659308731555939,0.06930649280548096,0.0011428355937823653,1.5926400423049927,0.30667805671691895,1.4580020904541016,5.14111852645874,0.24266619980335236,0.3160860240459442,0.08708342909812927,0.5668041110038757,0.9033449292182922,0.001396787236444652,0.21501648426055908,0.02318562939763069,0.13503313064575195,0.05097850039601326,0.0007511854055337608,0.05765345320105553,0.01751101389527321,0.10962381213903427,0.06399699300527573,0.0007203698041848838,0.02528059110045433,0.018308009952306747,0.11083457618951797,0.07344215363264084,0.0006163358921185136,0.022679245099425316,0.019842421635985374,0.10744791477918625,0.07298573106527328,0.0010245084995403886,0.020800288766622543,0.02232448197901249,0.1117500588297844,0.06068244203925133,0.0009714007610455155,0.02374398522078991,0.01876487210392952,0.10866935551166534,0.0673704668879509,0.0007683992735110223,0.015526351518929005,0.019245443865656853,0.11475515365600586,0.0667017251253128,0.0010700107086449862,0.010905810631811619,0.019496304914355278,0.11079507321119308,0.06461282074451447,0.0010447502136230469,0.011592106893658638,0.02086855284869671,0.11592107266187668,0.06869907677173615,0.000688660133164376,0.19391006231307983,0.04927755147218704,0.2630191147327423,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.87035048952554e-06,249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
