lr-AdamW,step,train_loss_ce,train_loss_mask,train_loss_dice,train_loss_origin,train_loss_axis,train_loss_ce_0,train_loss_mask_0,train_loss_dice_0,train_loss_origin_0,train_loss_axis_0,train_loss_ce_1,train_loss_mask_1,train_loss_dice_1,train_loss_origin_1,train_loss_axis_1,train_loss_ce_2,train_loss_mask_2,train_loss_dice_2,train_loss_origin_2,train_loss_axis_2,train_loss_ce_3,train_loss_mask_3,train_loss_dice_3,train_loss_origin_3,train_loss_axis_3,train_loss_ce_4,train_loss_mask_4,train_loss_dice_4,train_loss_origin_4,train_loss_axis_4,train_loss_ce_5,train_loss_mask_5,train_loss_dice_5,train_loss_origin_5,train_loss_axis_5,train_loss_ce_6,train_loss_mask_6,train_loss_dice_6,train_loss_origin_6,train_loss_axis_6,train_loss_ce_7,train_loss_mask_7,train_loss_dice_7,train_loss_origin_7,train_loss_axis_7,train_loss_ce_8,train_loss_mask_8,train_loss_dice_8,train_loss_origin_8,train_loss_axis_8,train_loss_ce_9,train_loss_mask_9,train_loss_dice_9,train_loss_origin_9,train_loss_axis_9,train_loss_ce_10,train_loss_mask_10,train_loss_dice_10,train_loss_origin_10,train_loss_axis_10,mean_loss_ce,mean_loss_mask,mean_loss_dice,epoch,train_loss_mean,M_ap50,MA_ap50,MO_ap50,MAO_ap50,MAO_ST_ap50,MI_ap50,MIVec_ap50,MIOut_ap50,MIGT_ap50,MIOutGT_ap50,val_mean_box_ap_25,val_mean_box_ap_50,val_rotation_val_box_ap_50,val_translation_val_box_ap_50,val_rotation_val_box_ap_25,val_translation_val_box_ap_25,val_rotation_val_ap,val_rotation_val_ap_50,val_rotation_val_ap_25,val_translation_val_ap,val_translation_val_ap_50,val_translation_val_ap_25,val_mean_ap,val_mean_ap_50,val_mean_ap_25,val_loss_ce,val_loss_mask,val_loss_dice,val_loss_origin,val_loss_axis,val_loss_ce_0,val_loss_mask_0,val_loss_dice_0,val_loss_origin_0,val_loss_axis_0,val_loss_ce_1,val_loss_mask_1,val_loss_dice_1,val_loss_origin_1,val_loss_axis_1,val_loss_ce_2,val_loss_mask_2,val_loss_dice_2,val_loss_origin_2,val_loss_axis_2,val_loss_ce_3,val_loss_mask_3,val_loss_dice_3,val_loss_origin_3,val_loss_axis_3,val_loss_ce_4,val_loss_mask_4,val_loss_dice_4,val_loss_origin_4,val_loss_axis_4,val_loss_ce_5,val_loss_mask_5,val_loss_dice_5,val_loss_origin_5,val_loss_axis_5,val_loss_ce_6,val_loss_mask_6,val_loss_dice_6,val_loss_origin_6,val_loss_axis_6,val_loss_ce_7,val_loss_mask_7,val_loss_dice_7,val_loss_origin_7,val_loss_axis_7,val_loss_ce_8,val_loss_mask_8,val_loss_dice_8,val_loss_origin_8,val_loss_axis_8,val_loss_ce_9,val_loss_mask_9,val_loss_dice_9,val_loss_origin_9,val_loss_axis_9,val_loss_ce_10,val_loss_mask_10,val_loss_dice_10,val_loss_origin_10,val_loss_axis_10
8.831144344981e-07,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,49,0.12054841220378876,0.09834693372249603,0.6922569870948792,0.38532695174217224,0.2353104054927826,2.331207513809204,0.3280392289161682,1.8438587188720703,2.6450583934783936,0.6121881604194641,1.158409833908081,0.18479129672050476,1.3976333141326904,1.197094440460205,0.4190579354763031,0.505405843257904,0.16004860401153564,1.0903986692428589,0.7128884196281433,0.2577749788761139,0.3848765790462494,0.12242446839809418,0.8570241928100586,0.639411985874176,0.23714517056941986,0.28312623500823975,0.10398803651332855,0.6953164935112,0.3287341296672821,0.2658478319644928,0.2280956655740738,0.123911052942276,0.7246093153953552,0.3042164146900177,0.26245707273483276,0.19088903069496155,0.09277290105819702,0.7255511283874512,0.32036301493644714,0.2478509545326233,0.20673511922359467,0.09191875159740448,0.6795826554298401,0.3011696934700012,0.2799878716468811,0.10066775977611542,0.09854099154472351,0.6712377071380615,0.26208552718162537,0.2267887443304062,0.09590732306241989,0.10533120483160019,0.667863130569458,0.2595096230506897,0.22056251764297485,0.4607778489589691,0.06636970490217209,0.5956810116767883,0.292532742023468,0.1822395771741867,0.5055539011955261,0.1313735991716385,0.886751115322113,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.13776842048475e-06,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,99,0.08114264160394669,0.035027824342250824,0.11793315410614014,0.17917148768901825,0.0009249448776245117,1.0859196186065674,0.05983114242553711,0.4167296886444092,0.20593580603599548,0.05191361904144287,0.29672589898109436,0.03890145942568779,0.14776062965393066,0.14590218663215637,0.00033545494079589844,0.12499205768108368,0.04030052199959755,0.1247473955154419,0.14774900674819946,0.0011416077613830566,0.12427786737680435,0.037735965102910995,0.11606073379516602,0.17171542346477509,0.0012235641479492188,0.08028195053339005,0.031990449875593185,0.11636471748352051,0.18053701519966125,0.0004886388778686523,0.08497627824544907,0.0356140211224556,0.12338721752166748,0.16600841283798218,0.0007874369621276855,0.06584001332521439,0.036674175411462784,0.12215149402618408,0.17315462231636047,0.0008199214935302734,0.08965298533439636,0.036458127200603485,0.11748683452606201,0.18449705839157104,0.0013399720191955566,0.06045587360858917,0.030366461724042892,0.11727404594421387,0.1806148886680603,0.0006316900253295898,0.05109493434429169,0.03157748281955719,0.12277555465698242,0.1681002676486969,0.0003922581672668457,0.03168318793177605,0.03187481686472893,0.1259746551513672,0.17323485016822815,0.0007551312446594238,0.18142028152942657,0.03719603642821312,0.14738717675209045,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.5594056207178167e-06,149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,149,0.15329350531101227,0.04601313918828964,0.30186766386032104,0.5498378276824951,0.008178859949111938,1.490583062171936,0.20038850605487823,1.4273720979690552,1.7490260601043701,0.02279733121395111,0.4657180607318878,0.09044341742992401,0.8636785745620728,0.8439517021179199,0.01342521607875824,0.46338656544685364,0.038874391466379166,0.3313426673412323,0.4935210347175598,0.009033724665641785,0.5220754742622375,0.04557475447654724,0.3273988962173462,0.5285326838493347,0.012508794665336609,0.22349931299686432,0.05433296784758568,0.2943434715270996,0.5655324459075928,0.012037709355354309,0.20428170263767242,0.05587746202945709,0.2849685251712799,0.5826356410980225,0.013083845376968384,0.20702040195465088,0.04092026501893997,0.28387874364852905,0.5614950656890869,0.006737083196640015,0.21326026320457458,0.045363251119852066,0.2938779890537262,0.5765422582626343,0.011298030614852905,0.12696295976638794,0.04760514944791794,0.28607305884361267,0.5684638023376465,0.008267581462860107,0.14097389578819275,0.0490177646279335,0.2759069800376892,0.586904764175415,0.006250068545341492,0.1340373158454895,0.04005526006221771,0.2869552969932556,0.5653215646743774,0.0036085695028305054,0.3620910346508026,0.06287219375371933,0.4381386637687683,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,22.749958038330078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.1404245911677123e-06,199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,199,0.06851155310869217,0.034831900149583817,0.33000192046165466,0.2786906063556671,0.40004467964172363,1.5922333002090454,0.21038055419921875,1.5278581380844116,3.2183308601379395,0.4583456516265869,0.7442064881324768,0.16076907515525818,0.810823917388916,1.5751522779464722,0.4008418023586273,0.2803442180156708,0.07034516334533691,0.48896312713623047,0.9638598561286926,0.40100058913230896,0.2849333882331848,0.032151512801647186,0.3426915109157562,0.25827309489250183,0.4015560746192932,0.2022007405757904,0.03454902768135071,0.3487239181995392,0.27474740147590637,0.40028318762779236,0.1703781634569168,0.041523486375808716,0.37574321031570435,0.29245084524154663,0.40018054842948914,0.13667139410972595,0.03981906920671463,0.34995490312576294,0.24080264568328857,0.4004569947719574,0.17381790280342102,0.03735389932990074,0.3197745084762573,0.2370632141828537,0.4007391035556793,0.14228928089141846,0.03331025689840317,0.31779131293296814,0.24161405861377716,0.40008291602134705,0.10595507174730301,0.03574642911553383,0.3152225911617279,0.2101711481809616,0.4014293849468231,0.05631875619292259,0.034228309988975525,0.32237717509269714,0.20838724076747894,0.4003818929195404,0.3298216760158539,0.063750721514225,0.4874938428401947,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.87035048952554e-06,249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
