model,object,axis_unsigned_deg,axis_signed_deg,p_rev,radius_m,hinge_offset_frac,z_p
L2_2pi,capsulemachine/capsulemachine,47.908,47.908,0.9306,6.3718,0.1406,0.118
L2_2pi,capsulemachine/capsulemachine,72.211,72.211,0.9303,2.5244,0.1268,2.623
L2_2pi,capsulemachine/capsulemachine,33.433,33.433,0.9406,2.4217,0.1211,4.307
L2_2pi,capsulemachine/capsulemachine,13.039,13.039,0.9337,2.5459,0.1741,1.150
L2_2pi,capsulemachine/capsulemachine,47.090,132.910,0.9241,0.8949,0.0460,3.079
L2_2pi,capsulemachine/capsulemachine,52.766,127.234,0.8669,0.2934,0.0987,2.370
L2_2pi,capsulemachine/capsulemachine,73.182,73.182,0.9142,1.2291,0.0981,3.240
L2_2pi,capsulemachine/capsulemachine,31.816,148.184,0.9332,2.9142,0.0240,1.762
L2_2pi,capsulemachine/capsulemachine,74.401,74.401,0.9145,5.1017,0.0233,0.195
L2_2pi,capsulemachine/capsulemachine,52.708,52.708,0.9339,3.2183,0.3304,4.704
L2_2pi,capsulemachine/capsulemachine,89.329,90.671,0.9218,1.1588,0.3800,1.805
L2_2pi,capsulemachine/capsulemachine,15.204,164.796,0.9323,5.9174,0.0597,0.112
L2_2pi,capsulemachine/capsulemachine,66.112,66.112,0.9226,3.7590,0.0638,1.653
L2_2pi,capsulemachine/capsulemachine,10.619,10.619,0.8955,2.3627,0.2122,3.796
L2_2pi,scissors/scissors,69.218,69.218,0.9566,0.5163,0.1105,2.310
L2_2pi,scissors/scissors,80.511,99.489,0.9627,0.1595,0.0020,1.745
L2_2pi,scissors/scissors,87.351,92.649,0.9549,0.3511,0.0587,1.958
L2_2pi,scissors/scissors,67.467,67.467,0.9506,0.3717,0.1242,2.114
L2_2pi,scissors/scissors,37.511,37.511,0.9521,0.8205,0.0780,2.109
L2_2pi,scissors/scissors,74.068,74.068,0.9559,0.7747,0.0598,0.223
